x_P,median_s_models,share_mN_gt0_models,median_s_units,share_mN_gt0_units,s_agg_2023,s_agg_2023_mm,median_s_2023,s_agg_2024,s_agg_2024_mm,median_s_2024,s_agg_2025,s_agg_2025_mm,median_s_2025,scenario
0.0,0.7491366913433287,0.974025974025974,0.7345318547777187,0.9795918367346939,0.27073534599212346,0.27073534599212346,0.5535544164609436,0.5847245285923777,0.5847245285923777,0.8206948197148135,0.8291467257178425,0.8291467257178425,0.8679236578309063,
0.002,0.7490107633626486,0.974025974025974,0.7343908332320068,0.9795918367346939,0.26979235929123196,0.27018615568903204,0.5531554067947135,0.5838939776495624,0.5843793344567572,0.8206304926014316,0.8288050191692783,0.829088324078954,0.8678887602923063,
0.026,0.7474897065837457,0.974025974025974,0.7326868132448033,0.9795918367346939,0.2585794343026391,0.2635307650546293,0.5483110521514002,0.5739273663357796,0.5801917912458069,0.8198549513407947,0.8247045405865064,0.8283843773506042,0.8674685468223969,
0.135,0.7403430056255033,0.948051948051948,0.7246643197090717,0.9387755102040817,0.21143615834546775,0.23332017628738258,0.5249192361899244,0.5286623399523487,0.5600605607594876,0.816246611269608,0.8060815336897512,0.8251129216729983,0.8655259442417453,
0.21,0.7351859439865606,0.935064935064935,0.7188587024271904,0.9387755102040817,0.18502013498138098,0.21550122935331417,0.5073647764700173,0.49766587072985763,0.5451972319952397,0.813678680891338,0.7932675381185893,0.8227885218485037,0.8641558810194789,
0.32,0.7272405860468341,0.9090909090909091,0.7098867940801045,0.8979591836734694,0.1501903174951185,0.1891600180783348,0.47913689762465955,0.4554270995886251,0.5246962816304583,0.8097798291190985,0.7744736779475521,0.8192654151252412,0.862095189699043,
,0.7490107633626486,0.974025974025974,,,0.26979235929123196,0.27018615568903204,0.5531554067947135,0.5838939776495624,0.5843793344567572,0.8206304926014316,0.8060815336897512,0.8251129216729983,0.8655259442417453,"x_P = 0.135 for 2025 releases, 0.002 before"
