set,n,median_s_lab_one_rule,median_s_reference
all lab-own models,22,0.5240794592719221,0.6460906435718373
without Llama 1 and 2,15,0.5324490814433323,0.6987202269866623
without Llama 1 and 2 and without AI2,6,0.7102277396751633,0.6460906435718373
without AI2 (version 3 set),13,0.6419673413310052,0.5571620025816658
