uid,model,dev,lab_path,conv,M_conv,Mstar_lab,w_lab1,w_lab1_lo,w_lab1_hi,s_lab1,w_sens_lab-specific curvature,w_sens_Meta 10-budget planning law,"w_sens_Meta 10-budget law, Meta curvature (ra2 primary)",w_sens_OLMo ladder kappa = 1 path,"w_sens_OLMo ladder kappa free, own curvature (ra2 primary)",w_ref,w_primary,year,date
B:meta-llama/Llama-2-7b-hf,Llama-2-7b-hf,Meta,meta,total,296.80558548411165,15.619272645982129,3.8188282052560947,2.3923315900382103,6.388899122676694,0.738139568932785,4.573519617426424,3.026533435020094,3.512819075429354,,,3.0433828355478063,3.5128190754293476,2023,2023-07-18 00:00:00
B:meta-llama/Llama-2-13b-hf,Llama-2-13b-hf,Meta,meta,total,153.65860902228286,15.704523133423201,2.823235572537852,1.7536764927757988,4.678553680966194,0.6457964720595087,3.24647431446581,2.1941571798085886,2.4388476138099877,,,2.3015790923908654,2.4388476138099864,2023,2023-07-18 00:00:00
B:meta-llama/Llama-2-70b-hf,Llama-2-70b-hf,Meta,meta,total,28.99531803831451,15.922552219567299,1.313584047852456,0.7704321365870103,2.2444050835275724,0.23872400731809004,1.3627016893161328,0.9715410170241401,0.9677742461186831,,,1.1342082029477754,0.9677742461186838,2023,2023-07-18 00:00:00
B:huggyllama/llama-7b,llama-7b,Meta,meta,total,148.40279274205582,15.530015485377595,2.7930412932651243,1.8545029636648032,4.329895069736759,0.6419673413310052,3.207108992420318,2.259625772593145,2.5215725334969017,,,2.2581621401727494,2.521572533496897,2023,2023-02-24 00:00:00
B:huggyllama/llama-13b,llama-13b,Meta,meta,total,76.82930451114143,15.614778804394023,2.0648777873432564,1.3523659372362993,3.196522869355962,0.515709837100512,2.276539260466479,1.6381692847820335,1.7506541112186582,,,1.7077505689864003,1.7506541112186569,2023,2023-02-27 00:00:00
B:huggyllama/llama-30b,llama-30b,Meta,meta,total,43.038588995038886,15.777311858477393,1.5787907661089988,0.9795479820986123,2.569400742269268,0.36660384550858177,1.6788680111463896,1.206781431576046,1.237689184456351,,,1.3382207429418487,1.237689184456354,2023,2023-02-27 00:00:00
B:huggyllama/llama-65b,llama-65b,Meta,meta,total,21.44421724150592,15.868448859631226,1.1468594928820806,0.6879486750743505,1.9076632435293515,0.12805360534010993,1.168206275321926,0.8586681435301858,0.8412434131361799,,,0.9957237297255829,0.8412434131361805,2023,2023-02-24 00:00:00
B:meta-llama/Meta-Llama-3-70B,Meta-Llama-3-70B,Meta,meta,total,212.60399694026586,16.193057744509126,3.2274717320667636,1.66464073563114,6.46596972304271,0.6901599508790636,3.778756334985316,2.2468566134343413,2.505412034805277,,,2.6746307161288074,2.5054120348052806,2024,2024-04-18 00:00:00
B:meta-llama/Meta-Llama-3-8B,Meta-Llama-3-8B,Meta,meta,total,1867.9342473118006,15.904704478799918,8.747627548549858,4.575404496887148,18.126057957764626,0.8856832901892611,11.712693738903063,6.495967601989219,8.355713625033404,,,6.726198783692177,8.355713625033404,2024,2024-04-18 00:00:00
B:meta-llama/Llama-3.1-405B,Llama-3.1-405B,Meta,meta,total,38.437525546170825,16.43433492597179,1.4720310891412616,0.7046855616977835,3.0961614167610203,0.3206665216674399,1.550659633860034,0.9717357346717274,0.967994309107684,,,1.294637585696465,0.9679943091076826,2024,2024-07-23 00:00:00
B:deepseek-ai/deepseek-llm-67b-base,deepseek-llm-67b-base,DeepSeek,deepseek,ds,27.894928543101347,14.008681540755843,1.3681062995031097,1.279662849994312,1.4755568152362655,0.2690626449398006,,,,,,1.148289251101515,1.342332580993408,2024,2024-01-05 00:00:00
B:deepseek-ai/deepseek-llm-7b-base,deepseek-llm-7b-base,DeepSeek,deepseek,ds,279.0267262066544,15.667623306010256,3.7077620342436575,2.80389952397152,5.0862570458424985,0.7302955284712631,,,,,,2.994591864090517,3.424351338515145,2024,2024-01-05 00:00:00
B:allenai/OLMo-1B-hf,OLMo-1B-hf,AI2,ai2,olmo,2793.9677238464365,82.04916735277159,4.979801598129115,3.496148553497093,7.421108953899837,0.7991887868834584,19.20026205220515,,,4.4655533207877225,19.20026205220515,7.599357530431011,19.20026205220526,2024,2024-02-01 00:00:00
B:allenai/OLMo-7B-hf,OLMo-7B-hf,AI2,ai2,olmo,374.1366482566693,103.0405477120056,1.7982130425366203,1.5094167933186167,2.2419620410600545,0.4438923662852728,2.944878859146477,,,1.47243655660921,2.944878859146477,3.3191740354760872,2.944878859146488,2024,2024-02-01 00:00:00
B:allenai/OLMo-7B-0424-hf,OLMo-7B-0424-hf,AI2,ai2,olmo,306.79205157046874,100.24894044388071,1.6636031371631816,1.4129384582950248,2.037381813825877,0.3988950984396282,2.551937625289234,,,1.3772214218293661,2.551937625289234,3.047365754006383,2.5519376252892503,2024,2024-04-17 00:00:00
B:allenai/OLMo-2-0425-1B,OLMo-2-0425-1B,AI2,ai2,olmo,3165.5566427353688,87.6285857287877,5.115492307872314,3.5733976933928013,7.7065317258387935,0.8045153936677641,20.17424089160014,,,4.468405525189801,20.17424089160014,7.834719517998362,20.174240891600228,2025,2025-04-17 22:45:45
B:allenai/OLMo-2-1124-7B,OLMo-2-1124-7B,AI2,ai2,olmo,588.015328387065,110.61816273079666,2.1388044816316594,1.7429972156297817,2.7687660362908533,0.5324490814433323,4.05248805618966,,,1.702441423029988,4.05248805618966,3.986234596660721,4.052488056189682,2024,2024-12-31 00:00:00
B:allenai/OLMo-2-1124-13B,OLMo-2-1124-13B,AI2,ai2,olmo,390.0807048650175,125.13524842274626,1.6776252385045005,1.3987515500956356,2.1064158446138217,0.4039193157993746,2.591669068688633,,,1.27125310334474,2.591669068688633,3.3823441819031577,2.5916690686886463,2024,2024-12-31 00:00:00
B:allenai/OLMo-2-0325-32B,OLMo-2-0325-32B,AI2,ai2,olmo,193.8810650627599,144.78848272531485,1.1420935201411113,0.9668008704523036,1.395239595877325,0.12441496045223596,1.2770480396458803,,,0.816516098017694,1.2770480396458803,2.540531887552256,1.2770480396458865,2025,2025-03-13 00:00:00
B:allenai/Olmo-3-1025-7B,Olmo-3-1025-7B,AI2,ai2,olmo,875.5280186064163,116.88219173428764,2.5000916284469503,1.9821089107041192,3.33561515434894,0.6000146600142023,5.40117608996731,,,1.9467663831622393,5.40117608996731,4.731512601723413,5.401176089967331,2025,2025-09-12 19:24:57
B:allenai/Olmo-3-1125-32B,Olmo-3-1125-32B,AI2,ai2,olmo,176.54421672782718,142.92299534604027,1.1009104000689618,0.9337538344351044,1.3401079594706262,0.09166086546429272,1.1935752439146117,,,0.7911554035553439,1.1935752439146117,2.4401251592773328,1.1935752439146199,2025,2025-11-20 00:00:00
B:marin-community/marin-8b-base,marin-8b-base,Marin,marin,total,1581.5176627239916,41.85704899428868,5.221094375858128,2.0132969534525307,14.600802293653784,0.8084692732956695,4.574299908876947,,,,,6.261061640533761,5.081706446921882,2025,2025-05-19 00:00:00
