group,n,median_s_reference,median_s_lab_one_rule,median_s_ra2_labown,median_s_lab-specific curvature,median_s_Meta 10-budget planning law,"median_s_Meta 10-budget law, Meta curvature (ra2 primary)",median_s_OLMo ladder kappa = 1 path,"median_s_OLMo ladder kappa free, own curvature (ra2 primary)"
all lab-own models,22,0.6460906435718374,0.5240794592719221,0.6057814844063034,0.6743100783486453,0.48817072386430255,0.48817072386430255,0.4494679798943832,0.643881906695257
without Llama 1 and 2,15,0.6987202269866621,0.5324490814433323,0.6604274580279919,0.7302955284712631,0.5324490814433323,0.5324490814433323,0.41260827745825746,0.6901599508790635
without Llama 1 and 2 and without AI2,6,0.6460906435718374,0.7102277396751633,0.6544189726215709,0.7328290975434213,0.6426146497456307,0.6655797917608524,0.7102277396751633,0.7102277396751633
"Meta, Llama 3 herd only",3,0.6261166096800928,0.6901599508790635,0.6008640550504423,0.7353626666155795,0.5549337710199982,0.6008640550504416,0.6901599508790635,0.6901599508790635
without AI2,13,0.5571620025816658,0.6419673413310052,0.5899702817275276,0.6881926986692999,0.5442441365630712,0.589970281727528,0.6419673413310052,0.6419673413310052
Meta,10,0.48579819736135477,0.5788385892157586,0.5093776089156382,0.624464731869135,0.46690330692102855,0.5093776089156385,0.5788385892157586,0.5788385892157586
AI2,9,0.7043470604350721,0.44389236628527284,0.6604274580279919,0.6604274580279907,0.44389236628527284,0.44389236628527284,0.32085359093308374,0.6604274580279907
