sample,n,var_along,var_trans,share_trans,var_trans_given_c,corr_nd
full (n=240),240,1.8325178168729659,0.9027420638670781,0.3300388640302927,0.9020469291728301,0.3376049690998746
on-path band |dlnN|<=0.15,41,1.971804877339462,0.015425242919388312,0.0077621825284024315,0.015312007963384847,0.9845590085229424
on-path band |dlnN|<=0.1,26,2.0138274667355947,0.006268731588504294,0.003103184686801017,0.0061229893157133735,0.9939264978475816
A2 argmins (9 pseudo-obs.),9,2.0184446216927032,0.038105480437942756,0.01852883642293196,0.035998166078365285,0.9649625669361204
full (n=245),245,1.8374219408332557,1.1196258638733074,0.37862961230835135,1.1170015937086284,0.24382653643672672
IsoFLOP-profile runs (n=240 sample),132,1.8633778958852492,1.1120591391870254,0.37374648701312985,1.0992703651128717,0.2573533165218566
off-profile runs (n=240 sample),108,1.7857711760183423,0.4746567796417384,0.2099853607159672,0.4438492824350413,0.585642737289444
