sample,estimator,n,objective,cond_raw,cond_scaled,share_linear_huber,E,A,B,alpha,beta,a,gamma,sigma_star,G,K,lnG,lnK,Mstar_1e+21,Mstar_5.76e+23,Mstar_1e+26,w_chin70b,se_pairs_E,lo_pairs_E,hi_pairs_E,se_pairs_A,lo_pairs_A,hi_pairs_A,se_pairs_B,lo_pairs_B,hi_pairs_B,se_pairs_alpha,lo_pairs_alpha,hi_pairs_alpha,se_pairs_beta,lo_pairs_beta,hi_pairs_beta,se_pairs_a,lo_pairs_a,hi_pairs_a,se_pairs_gamma,lo_pairs_gamma,hi_pairs_gamma,se_pairs_sigma_star,lo_pairs_sigma_star,hi_pairs_sigma_star,se_pairs_lnG,lo_pairs_lnG,hi_pairs_lnG,se_pairs_lnK,lo_pairs_lnK,hi_pairs_lnK,se_pairs_Mstar_1e+21,lo_pairs_Mstar_1e+21,hi_pairs_Mstar_1e+21,se_pairs_Mstar_5.76e+23,lo_pairs_Mstar_5.76e+23,hi_pairs_Mstar_5.76e+23,se_pairs_Mstar_1e+26,lo_pairs_Mstar_1e+26,hi_pairs_Mstar_1e+26,se_pairs_w_chin70b,lo_pairs_w_chin70b,hi_pairs_w_chin70b,nfail_pairs,se_cluster_E,lo_cluster_E,hi_cluster_E,se_cluster_A,lo_cluster_A,hi_cluster_A,se_cluster_B,lo_cluster_B,hi_cluster_B,se_cluster_alpha,lo_cluster_alpha,hi_cluster_alpha,se_cluster_beta,lo_cluster_beta,hi_cluster_beta,se_cluster_a,lo_cluster_a,hi_cluster_a,se_cluster_gamma,lo_cluster_gamma,hi_cluster_gamma,se_cluster_sigma_star,lo_cluster_sigma_star,hi_cluster_sigma_star,se_cluster_lnG,lo_cluster_lnG,hi_cluster_lnG,se_cluster_lnK,lo_cluster_lnK,hi_cluster_lnK,se_cluster_Mstar_1e+21,lo_cluster_Mstar_1e+21,hi_cluster_Mstar_1e+21,se_cluster_Mstar_5.76e+23,lo_cluster_Mstar_5.76e+23,hi_cluster_Mstar_5.76e+23,se_cluster_Mstar_1e+26,lo_cluster_Mstar_1e+26,hi_cluster_Mstar_1e+26,se_cluster_w_chin70b,lo_cluster_w_chin70b,hi_cluster_w_chin70b,nfail_cluster,a_norm,b_norm,Nbar,Dbar,se_pairs_a_norm,lo_pairs_a_norm,hi_pairs_a_norm,se_pairs_b_norm,lo_pairs_b_norm,hi_pairs_b_norm,se_cluster_a_norm,lo_cluster_a_norm,hi_cluster_a_norm,se_cluster_b_norm,lo_cluster_b_norm,hi_cluster_b_norm
n240,huber,240,0.0010182740178005995,2003.187122938979,219.56979556170168,0.8375,1.8172180999695942,477.8258652876895,2143.4173935594295,0.3473104985599139,0.36717243336250377,0.5138995166400605,0.17848269733395822,0.7367885708471132,0.1132077806366545,1981.4820746314233,-2.178530382035745,7.591600366226424,21.384524643853098,17.921011738152615,15.527603558575906,1.0402021033327846,0.027131136030392636,1.7670279047679345,1.876333241487769,128.7717797364142,288.69585062784006,749.6143489327118,1628.362165889744,1075.1335471692707,7013.772958683676,0.015614173424226436,0.3168642767154785,0.3736771912820318,0.02118930355254467,0.3337211120968477,0.4242590209996592,0.01961208965706249,0.48232976185614906,0.5582010562907261,0.005763819135570621,0.168350331046851,0.19185205204041597,0.006393689405153219,0.7220699141400698,0.7479244575143353,0.8359144901024911,-4.116168754027725,-0.844325368922583,0.21707013498490682,7.209999927307685,8.095768986095976,3.4510407324024968,15.48315265832626,28.365950030833762,7.441094709844012,7.77870524277061,35.12089067174666,10.484677174113639,4.28094298123902,41.31212112240461,0.16341592317630785,0.8209335895712889,1.4215700276503518,0,0.04638029664382924,1.7061488485569305,1.8898405722642586,370.1829708823199,264.4915884023822,1236.6743068225837,3205.2685815957025,250.28031231434952,11395.499376197475,0.023546222778945254,0.31089338089924046,0.4017123878146979,0.046066146337559934,0.26149192558187784,0.44970675334865473,0.04414335124416273,0.4002373401409298,0.5926097979603354,0.00999768234675547,0.15666144923869815,0.1935620836656838,0.010291233850660936,0.7175274923700432,0.7557649244906722,1.915238113745691,-5.4719021507949295,2.8034857970443285,0.37941865904384564,6.7655188849464185,8.156721826311758,6.825528225247149,10.66406620810402,37.90572463703006,39.51358137125621,3.1663931631026534,125.79945429338783,183.11793357383385,1.2058989418598087,357.0056000065941,0.3357746233075857,0.5383532174820556,2.0071043762708647,0,,,,,,,,,,,,,,,,
n240,lad_log,240,1.1295023076295547,2006.0877060251341,220.27262039092602,,1.8166874980830054,480.9073734249573,2083.644608498063,0.34767488287940757,0.3658180729716941,0.5127143442296808,0.17825789958064647,0.7370573767981975,0.1192832487445692,1964.4279129152892,-2.12625437260741,7.58295634344883,21.509285808294482,18.29919845170278,16.05027759472779,1.032406926994357,0.027456363142101235,1.7706384259044243,1.8772791099337134,133.68476041471075,282.37488029996626,769.4052377028476,1691.1951333789918,1151.2687458913465,6431.033306217752,0.016271727907547388,0.3160105328645558,0.3750843388729566,0.021282488349304584,0.33689924991526365,0.4205298216041624,0.02012883936909992,0.47988259432504377,0.560309200791796,0.005797001152580238,0.1690438618359174,0.19183894139602975,0.006426347351135467,0.7210756466143178,0.7471575245075276,0.8575746988098181,-4.161373886076413,-0.7556186418827504,0.21827053934577065,7.240097452744203,8.097690002061425,3.5701769253555673,15.024093364258286,29.161536385152957,7.640097997761886,7.195721616551918,36.762618997105406,10.681040090702304,3.8175339223478235,45.921170877732884,0.16845984426027785,0.8046827443120054,1.4532652730857911,0,0.04538100949188916,1.7120310150407034,1.8918349371256586,377.76603367952777,245.16745377194835,1317.779825485069,3078.108680818505,248.18047208129138,12122.35377874302,0.024373104455479716,0.3074032770818347,0.40481066171510927,0.04572428563753856,0.2620635523189995,0.4526918795429107,0.04464160786658074,0.4053889259715394,0.5954026544851434,0.009734648418070844,0.15651098209427078,0.19391410685043017,0.010016138877687033,0.7185223044410641,0.7559643287278743,1.9359276728526373,-5.632220313844683,2.6655952933316223,0.36909648033245723,6.749106117013241,8.180939384262633,6.945293758259104,10.487145021714573,38.06385165562864,39.042587874557746,3.2188936711095013,127.47002843498059,169.23573821583076,1.2030102762755452,336.85817359016266,0.3397152513772557,0.5348058340023376,2.0513206050297614,0,,,,,,,,,,,,,,,,
n240,gauss_log,240,0.005730943495849296,1866.5058546176917,206.02015512974006,,1.8645500951673692,593.3221010908776,4875.637804064135,0.36025279812154415,0.4058833618175497,0.5297796697780411,0.19085460842544696,0.7230302068875877,0.05475571786698161,3189.183794524604,-2.904873479811974,8.067520299254777,20.832485570619355,14.266983194695573,10.494080513629276,1.1386744331077296,0.02917244488636095,1.793156079740111,1.91356946128546,139.97091205412997,379.7863643091583,890.2492040282365,2588.8831593981035,1666.7317351286717,11333.0857691256,0.013439236364337147,0.33361042823966824,0.384046295931436,0.02481096616838768,0.3543277993600967,0.44648703965521086,0.017223862532676163,0.49467591754378304,0.5615452775711114,0.007076662218324123,0.1749851567303711,0.20346467318228958,0.007752338279397987,0.7099856755437858,0.7407469420899571,0.7397636693700774,-4.228915957954663,-1.4080540054493398,0.2689608130644702,7.469461242054783,8.540678317917367,2.8768603421282335,16.48935472195978,27.37595320299957,5.94854571660714,7.644754040838241,29.318609034869965,8.035901511532282,4.0369186294318045,30.770609626170618,0.15156327922335525,0.8769289702338293,1.4418324134096838,0,0.059431664383048505,1.7368642868924744,1.9502021906356133,811.0240531606153,392.0832526164082,1664.9495050433309,7720.7558057763945,330.84378887882855,21678.20577954977,0.024945081968687933,0.33625912167383604,0.41958732233531576,0.05419926916844065,0.2766618824535658,0.48034182963168426,0.04200016235436321,0.410101346666279,0.5763526661589546,0.014249669581380662,0.16255163104656348,0.2115638919923617,0.014776960160597123,0.7008481508711217,0.7519832679832077,1.8323402255191295,-4.835037869106529,2.379740118295252,0.5434326135421335,6.980346399200405,8.838466603494126,6.13862192380073,12.693284768632253,36.429278038272045,39.577910343848316,4.899720655150884,114.84634852525973,207.23413230669829,2.229393334857121,293.632773294195,0.3413126445653883,0.5596749358859109,1.78940754172959,0,,,,,,,,,,,,,,,,
n240,nls_lev,240,0.04160190384665047,1841.9502361301627,206.61978416995186,,1.8828136134026114,567.8054277817686,7581.852363127269,0.3576150884797981,0.42762062126619943,0.5445761265805437,0.19474863969108686,0.7180720802198791,0.029356046411749628,3682.2681524163454,-3.528256743303513,8.211284187065246,18.271806593570926,10.367728254854084,6.546666592223771,1.2952259347471786,0.02865140449538733,1.813852764404615,1.927081628870719,128.6158583831248,377.59856017940194,855.3667948619399,3994.0537744145654,2148.9538955401995,17025.628273475086,0.013028889777299187,0.33311095096742666,0.382663095043624,0.026256256563391554,0.3672271523984556,0.4667429233069851,0.017330323588206242,0.5072226857138691,0.5726601924842816,0.007085622813165777,0.1780572957866294,0.2053676008762504,0.007914528969913215,0.7064927677244065,0.7371579669409122,0.7415120587383477,-4.737282604617985,-1.9464139703985586,0.2691014050017436,7.577154329517437,8.615298819476239,2.638354014436195,14.52812676681133,24.602067633066447,4.577021508808102,5.708196688258677,21.951731314340716,5.40957412513455,2.6283261711045594,20.38850244862148,0.18054057028535625,0.9663344489914976,1.6594046418021502,0,0.05688711828427622,1.7616311437069256,1.9618569491250288,794.7001271357076,372.35386947410063,1684.412611492375,10183.47620380532,414.91317887669936,28787.93127599967,0.02604847316483242,0.33150600255588736,0.4188046213741255,0.05498513477015645,0.288039865328714,0.4938886376313074,0.041944603012912154,0.41985734637370337,0.588920185528474,0.013996888047375733,0.1668571342477063,0.21406249633135518,0.014790158068088873,0.6977283054903908,0.747625292156434,1.8219268450590422,-5.376215571175263,1.985423388307089,0.5337132153667659,7.147632155764356,8.936238947990722,5.9183799272352875,11.268425951348279,33.85710085504338,34.47985396573931,3.703401110375401,93.3504123268507,168.4931055444085,1.4825953214445278,213.24032326522837,0.38800693113891804,0.5953456883083763,2.0344786386238836,0,,,,,,,,,,,,,,,,
n240,vpnls,240,0.04160190384664765,1841.9502478967631,206.61978556542266,,1.8828136067800425,567.805395084758,7581.851836494816,0.35761508517919066,0.4276206178609246,0.544576126894575,0.19474863800595715,0.7180720819487477,0.029356045923817436,3682.2679172558646,-3.528256759924695,8.211284123202303,18.27180666662484,10.36772825491777,6.546666571060609,1.2952259318892734,0.028651404160950293,1.8138527624720833,1.9270816298727709,128.61585839525966,377.5985669125942,855.3667609049436,3994.053776859001,2148.9540564598465,17025.628154630132,0.013028889806365969,0.33311095200806673,0.3826630922724455,0.026256256556364595,0.3672271562188448,0.46674292332151174,0.01733032380058107,0.5072226862871646,0.5726601891593514,0.007085622732030635,0.17805729539297735,0.2053676012900395,0.007914528894689854,0.7064927677583784,0.7371579661039526,0.7415120676276268,-4.737282461072439,-1.946413921357492,0.26910140199023047,7.577154314686304,8.615298834945252,2.6383540497950033,14.528126658532026,24.602067784101134,4.5770215527284215,5.7081966064701,21.951730997359217,5.409574170336877,2.6283259435715496,20.388502055622066,0.18054057318730732,0.966334454118937,1.6594046693729934,0,0.05688711812919355,1.7616311422701343,1.9618569585058412,794.7001293533651,372.35387461648503,1684.4126195826004,10183.47640894798,414.91315005404357,28787.929326300065,0.02604847315519423,0.3315059998668333,0.4188046216739266,0.054985134831588935,0.28803986185991204,0.49388863426014945,0.04194460307561084,0.4198573461927818,0.5889201906633449,0.013996888003730019,0.16685713401561406,0.2140624965541252,0.014790158045384933,0.6977283033790674,0.7476252926741556,1.821926846882,-5.376215785889861,1.9854233891643414,0.5337132136831603,7.147632118674564,8.93623895776389,5.918379956114648,11.268425731536745,33.85710088275012,34.47985334493981,3.703401070367528,93.35041446296044,168.49309852662694,1.4825952992111882,213.2403315059491,0.388006935216813,0.5953456858771472,2.0344786505366472,0,,,,,,,,,,,,,,,,
n240,norm,240,0.0010182740178006006,61.90683481180424,33.000285634411554,,1.817218098807287,477.8258675515641,2143.4173544829723,0.34731049881525083,0.36717243242115877,0.51389951581596,0.17848269717895696,0.7367885710333155,0.11320778456190388,1981.4820644376136,-2.178530347362781,7.591600361081886,21.384524802065904,17.921012058483793,15.52760396810227,1.0402020966385204,0.02713113635744788,1.7670278951675258,1.8763332490427362,128.77178150765482,288.69586304991276,749.6143550214418,1628.362196199332,1075.1336370032952,7013.772816494952,0.015614173646016348,0.31686427650626137,0.37367719175842556,0.02118930412211304,0.3337211162845976,0.42425901999874904,0.01961209013984576,0.482329761783071,0.5582010578278547,0.005763819234409421,0.16835033165377933,0.19185205344809236,0.006393689535742881,0.7220699125822027,0.7479244598439039,0.8359145118517554,-4.116168697409379,-0.8443252930156088,0.217070138869287,7.209999895430065,8.095769036839583,3.4510407639309624,15.483151981532343,28.36595010969935,7.441094886975575,7.7787052967227055,35.120891087902734,10.484677618187408,4.280943002108181,41.312119603630876,0.1634159264658399,0.8209335961781857,1.4215700780749412,0,0.0463802962812036,1.7061488588592426,1.889840573488404,370.1829561106423,264.49159713535744,1236.6742701952937,3205.2678033889156,250.28027453217513,11395.500085904145,0.02354622229654501,0.3108933827770976,0.4017123861049677,0.04606614595992818,0.2614919181258999,0.44970675650145886,0.044143350957314725,0.4002373343628738,0.5926098043176948,0.009997682262149277,0.15666145099103465,0.19356208346329623,0.010291233747128375,0.7175274925018931,0.7557649252216995,1.91523810144353,-5.471902422305914,2.803486062155187,0.3794186559529705,6.765518786607237,8.156721865645716,6.825528252269466,10.664066075935022,37.90572624112635,39.51358197643264,3.16639314518022,125.7994666716516,183.11794678354553,1.205898705771005,357.0056559003969,0.3357745961493573,0.5383532346009552,2.007104379266852,0,0.37862526230634025,0.37608484124791275,848756234.976131,16944876540.081877,0.028512561532649576,0.3296616906300817,0.4378429766938967,0.022853672531866244,0.3264203701566122,0.41930802409902784,0.06452567535192331,0.26808356928342947,0.5167541916968598,0.040254593703195916,0.32978906261766205,0.4849050654011062
n245,huber,245,0.0018260105230693308,1770.5337093332896,207.82015422490917,0.8489795918367347,1.8913385047640103,495.7260195429532,12845.613989138626,0.3493128951838599,0.4530492982902599,0.5646443737941063,0.19723756095929681,0.713683621859235,0.012518791648399563,4055.203858799605,-4.380524431674037,8.307756238725947,15.503068939845825,6.815945553541965,3.499241693436263,1.5417650344671137,0.04209326692394565,1.7998939996030994,1.9566521027643924,141.7185644590449,260.37951671715405,733.0890335806396,60253.91364662488,1912.760744787439,213738.12625181177,0.017729453802588044,0.3107019164329801,0.3726952687137203,0.05354816354174301,0.36127737903912455,0.5843956031123781,0.032901945836672115,0.503022737340205,0.6283845258954189,0.010826360265170821,0.1758919595663298,0.21604471766859498,0.013745093345541986,0.6828154745247731,0.7388743962562885,1.4158649812662305,-7.152954479325546,-1.7133549193026758,0.41317980427064327,7.499315317919372,9.026362052944625,3.7683058034557426,10.028573631900423,24.576917997121235,5.616443548246861,2.0532522728497153,23.413818180785903,5.926571262256018,0.5462141459001701,22.5302882968984,0.5124490927389759,0.9447192997294083,2.8716569686618896,0,0.08351649684836261,1.6977805426811192,1.978223970544259,418.01058853364907,257.509533744541,1715.72930638698,37399.994447821904,204.10032204365822,112256.30085373517,0.027553406324645903,0.3087079869943652,0.4190705812921509,0.09262097020105103,0.251889187506028,0.5587994217866556,0.0657271260768911,0.3909041209323676,0.6294192348751284,0.020985139537596228,0.15301192077510137,0.22393639472032337,0.023332505311221625,0.6861976074059192,0.7573416600233278,2.8499298891251246,-7.083013398964585,3.311729338963669,0.8034056999596733,6.619102971203493,9.34018041817386,8.702289777582982,8.197981989326433,39.490045159611476,39.478248726474014,1.5755332888165043,152.03326278613017,122.451695450586,0.4147211665527434,468.86661779460655,0.7132837592643444,0.5099157386855953,2.979753665819371,0,,,,,,,,,,,,,,,,
n245,lad_log,245,1.9399187642206575,1774.1446719970713,209.52593158017893,,1.8852677169440513,463.03704794754077,12515.806528483698,0.34532433119730505,0.45183735934763447,0.5668076686409236,0.1957324790909306,0.7150105075299964,0.011411957909377036,3828.4310188013897,-4.473093533915197,8.250210342577454,15.252131341826185,6.523726648595296,3.275320851803724,1.5645884952806184,0.043392467377497565,1.7977441479013578,1.9580132840922055,147.26259716368256,246.66524672021086,756.7498985404977,61115.95993685218,1870.0662570614859,202608.9362612741,0.018539640621670864,0.30740879324008646,0.374567084223675,0.05427279200188461,0.36008468339737953,0.5821850268908142,0.03355966306814119,0.5003022952171213,0.630289191549374,0.011089140759757244,0.17518261982608352,0.2156854421909176,0.013993915518350886,0.6821317832747157,0.7393765873427116,1.4442150747956137,-7.2070050523026765,-1.6397982339532837,0.42290762444736735,7.4716430765727955,9.01132943843485,3.867994091325997,9.928923859692025,24.38935106757933,5.830051920624323,1.9224855418489424,23.651521576862205,6.2488303837126935,0.5078779485883991,23.413505915949152,0.522881427952181,0.9392481787932254,2.900840109144049,0,0.0841547246980705,1.6903749278230495,1.9795213493601902,406.2804207798561,250.2878295537765,1729.2354077376174,38853.34083276093,199.68111259984957,117960.65923142352,0.027764780512904094,0.30816699552761845,0.4193989247086117,0.09343615504023113,0.25084859710253804,0.5616101340067285,0.06663427603568176,0.3903102074950262,0.6315758251141819,0.021151795064004733,0.15164467227406223,0.2236018258088677,0.023445897881457275,0.6857447222170856,0.7591431457515663,2.8896831604633526,-7.163392792464969,3.29216334609556,0.8099028200323235,6.565792045267782,9.3200429352908,8.8491680539762,8.22959990762484,39.46589762018347,40.61175019650613,1.5510723852380341,153.44416550828043,127.66287572777021,0.39709636934416476,475.46571374698533,0.7199879086248843,0.5175178400527184,3.0103171686066235,0,,,,,,,,,,,,,,,,
n245,gauss_log,245,0.03549521578931469,1561.517550215258,193.33846113639004,,1.9918303277635399,749.5378721281954,370523.1720495152,0.37209787420400453,0.6120482466477323,0.6219078993249808,0.2314106072895034,0.6702084680187038,0.0011040006573792161,15183.515384545197,-6.808814735675222,9.627965604148674,9.63063964540183,2.044657267647232,0.5815353770638416,3.07913110131602,0.034650116839039936,1.8945814348726782,2.0358050342608154,245.17953053283722,367.12306660725255,1330.4959880179085,631640.4690693353,15065.321037010812,1550435.6799739294,0.01886319192879332,0.3313966265683501,0.40575368216317564,0.05296791255507292,0.45896370612573234,0.6803577995524328,0.024840491925343093,0.5561961243998775,0.6587081016059255,0.011376719483407882,0.20023648451351364,0.2474918601871089,0.013257683094820377,0.6527820144382904,0.7093692705835858,1.0448915659667415,-8.362947815034053,-4.038992687373394,0.43722786774042083,8.442699272967102,10.254150297778827,2.6702309887188864,6.6977087128644595,17.720485935343838,1.9874229791715818,0.9221884948779228,8.671607620758301,1.2948722003543545,0.1787051178643985,4.70563785980738,0.8335741291931267,1.41784082684712,4.834360824703251,0,0.11627021305981074,1.7261622054532921,2.0916842765087518,1152.332047548289,330.9506997139311,4723.733646703088,662512.7807021814,285.89718966348767,2299937.042677745,0.03871591780779619,0.32298217474013896,0.47430262772015647,0.15187808210453305,0.26774832447616065,0.7039999506153815,0.0796714919542354,0.40150607861111337,0.6673440829397946,0.03567250579891858,0.1591823976284464,0.2701394145706913,0.03987565166632307,0.6419282988306865,0.7527386318810978,3.4149367579462506,-8.694269721065929,2.7626703228864553,1.3730992262236486,6.857432401994306,11.152897579969522,9.991895803081382,5.358796245086242,37.28985083407606,36.24237644146407,0.6305516453136503,135.07065665592586,107.33289898886599,0.10967624833347404,372.7007340750322,1.6261040499954003,0.5308005219013805,5.973535088949385,0,,,,,,,,,,,,,,,,
n245,nls_lev,245,0.4218869057841348,1502.9851638519965,192.70552046926116,,2.0105676404277095,711.8305352897522,1013617.0197018855,0.368435980408409,0.6613968067094748,0.6422370844887126,0.23662324987823705,0.6601024348615925,0.0004910388981645526,18356.64010529076,-7.618987210976613,9.817746646626635,7.331191915723118,1.2020034013447447,0.27720671333145774,4.266665824544079,0.03496997436238249,1.9242825131233507,2.0609997777225746,251.7970272170646,343.1990768430029,1279.241845095703,9768575.1721698,31693.42246769589,25802334.115489397,0.0205397561533579,0.32690437887166884,0.4019227121397219,0.06614483686695719,0.496566460970254,0.8182231846956708,0.028117791430566277,0.5799820961740558,0.7026388098341719,0.011872985775745248,0.2068814574210516,0.2553398710145563,0.014933350567983584,0.6306396529450287,0.7011579153407329,1.1572534120350408,-10.023979571798852,-5.01543655840921,0.4553802896809081,8.672589769504208,10.542155071582984,2.548750069555695,3.3256220528479035,14.53082897526785,1.3589404673623944,0.24708486986908787,5.276475459540328,0.7445762066023288,0.030540009835839047,2.262799106565432,2.477733758687304,1.796035995361027,13.395523737024485,0,0.11562254565861578,1.7449225603225111,2.103058231991709,1253.6274733323291,309.4962614626315,5160.769040646983,869680.3866322999,340.2926400117804,2835162.04337716,0.040888362991836805,0.32046383656528876,0.48111832256116993,0.1615142332442142,0.27691121667300744,0.7138699413896001,0.08081978687651678,0.4080362247622995,0.6808513127230054,0.03651087340063338,0.16271690028064623,0.2788834297984832,0.04178092142623132,0.6355913858919244,0.7490678883148029,3.4443073403709064,-9.204044213284492,2.511285555295009,1.4037979676311125,6.989960381776794,11.47380684423819,9.738544707026048,4.591090438782774,36.058396856266256,31.325005958912417,0.4684428610390258,114.75754469862909,87.6207177675539,0.07428014958112845,288.4314119455214,1.9936379282434513,0.5462452222631459,6.8898437957236585,0,,,,,,,,,,,,,,,,
