set,n,share_w_gt1_identified,share_w_lt1_identified,share_ambiguous,median_s_lo,median_s_hi,e_lo,e_hi
"PI-1 IsoFLOP anchors, e from A2/published paths",77.0,0.8571428571428571,0.0,0.14285714285714285,0.5889070644225153,0.9329377040528779,-0.15599999999999992,0.19014108250350914
PI-2 PI-1 + M* nondecreasing in C,77.0,0.8571428571428571,0.0,0.14285714285714285,0.5889070644225153,0.8872925662929824,0.0,0.19014108250350914
PI-3 PI-1 with own-lab anchor,77.0,0.7662337662337663,0.0,0.23376623376623376,0.5452075206407168,0.940661659323523,-0.15599999999999992,0.19014108250350914
"PI-4 all ex-ante technologies as anchors, e from all paths",77.0,0.23376623376623376,0.0,0.7662337662337663,-1.4312702499601875,0.9773303263715117,-0.15599999999999992,0.31099144862852035
