E,mse,alpha_param,beta_data,gamma,alpha_year,beta_year,g_C,TC_months,LR
0.0,0.04530295381622625,0.07755855925652905,0.03132283540019782,0.022311929353291574,0.027389616783993587,0.014490660349138951,0.8157704514898289,10.196209180571246,0.0
0.1,0.04536613459636184,0.07998796122053861,0.032554884761193933,0.02313784441029822,0.028213604332244305,0.014847768520455227,0.8088073320076117,10.283989570264016,0.3219346930491633
0.2,0.04543686800630566,0.08257966145415702,0.033879814224289095,0.02402366636525507,0.029094488459358935,0.015218498624547628,0.8015110022123391,10.377606974527557,0.6818219331984294
0.3,0.04551626917378959,0.08535035963630652,0.035308287190039096,0.024976038510932667,0.030037594613191207,0.01560417424728616,0.7938736859526104,10.477442839963164,1.0851433560084047
0.4,0.04560565212673436,0.088318986016387,0.03685266756775854,0.026002614317109908,0.031048648397520674,0.016006513497572827,0.7858892209901023,10.583891399146827,1.53832670547825
0.5,0.045706572114056244,0.09150755685213612,0.03852719896022861,0.027112211863525824,0.032134339999739574,0.016427323668404326,0.7775484770771108,10.697424548996262,2.0489380011144913
0.6,0.04582087849673191,0.09494114421133092,0.04034863273947961,0.028315113277493004,0.03330177519597356,0.016869019007790254,0.7688438637297571,10.818537493905232,2.6259187418570114
0.7,0.04595078126973999,0.0986489718181578,0.04233652444270634,0.029623292589612424,0.03455889288996351,0.017334477048639618,0.7597668477869652,10.947787720597677,3.2798801212782074
0.8,0.04609893530036305,0.10266481092719777,0.044514117077008225,0.031050867643033754,0.03591442158852744,0.017827198128437038,0.7503062630968309,11.08582798228074,4.023469822607998
0.9,0.04626854778819398,0.10702839025526498,0.04690890877016988,0.032614480220760654,0.03737777473789795,0.018351613137511786,0.7404504140704902,11.233387150118467,4.871831765940521
1.0,0.04646351644968292,0.11178628217248393,0.049553937239537126,0.03433397097886756,0.0389591886065296,0.01891312191899076,0.730182323261912,11.391355147522258,5.843185688387043
1.1,0.046688608778125334,0.11699409870937032,0.052488813838350606,0.03623304187442896,0.04066936093044291,0.019518631203884588,0.7194815929991132,11.560776881097492,6.959562345279554
1.2,0.04694969685711016,0.12271839111549913,0.05576159173620022,0.0383402817199489,0.0425192472101872,0.020176843460152426,0.7083194389069134,11.7429590518586,8.247742479081822
1.3,0.04725406828498172,0.12903991433202117,0.05943080876506889,0.04069038599579517,0.04451955948264649,0.02089880543625159,0.6966554674426457,11.939569206645361,9.74046507664323
1.4,0.047610842876973855,0.1360581089878725,0.06356813666553783,0.04332576830409356,0.04667990389608292,0.021698589549790554,0.6844317990713262,12.152804966112525,11.477995177222232
1.5,0.048031538681399956,0.14389692305773544,0.06826202654190687,0.046298756661465046,0.049007216245051215,0.022594222309184304,0.6715642270289028,12.385659974055411,13.510177061372119
