lnN,lnD,N,M,sigma_np,epsN_np,epsD_np,neff,sigma_np_lo,sigma_np_hi,sigma_np_se,sigma_chin,sigma_farseer
19.119950582728578,21.422535675722624,201228287.99999976,10.00000000000001,0.9871426466550103,0.051758599802045904,0.07553957897990551,26.745298024870767,0.8347730890593614,1.1916355956737406,0.09445028296381133,0.7732133635000251,0.7660889603031428
19.119950582728578,21.998181948971137,201228287.99999976,17.782794100389268,0.9155573709085262,0.05539436463858375,0.0668468765235822,33.23813340303233,0.832944025623573,1.0314815517720934,0.05007022207527568,0.7723953007138669,0.7443440090245113
19.119950582728578,22.573828222219646,201228287.99999976,31.62277660168379,0.8569669829329478,0.05890977275303519,0.05798360388816757,35.999309094770794,0.8115527142648089,0.9130958165524149,0.028048493885298755,0.7715654935783315,0.7278722537613831
19.119950582728578,23.14947449546816,201228287.99999976,56.234132519034965,0.8033700328105502,0.062187514597274396,0.048931086622644976,36.54020988644118,0.7734789255697808,0.8356656754438715,0.016440441475337905,0.7707371510494712,0.715951294118166
19.119950582728578,23.72512076871667,201228287.99999976,100.00000000000023,0.7471657104133657,0.06572647241748157,0.04011677961702199,36.59208666296717,0.728456358732787,0.76774503157449,0.01041328509593262,0.769923389429234,0.7078204670485463
19.119950582728578,24.30076704196518,201228287.99999976,177.82794100389225,0.7037711954829473,0.06983135452796736,0.032063364875997716,36.54992692628065,0.6860961590821661,0.721332622205984,0.008919321939944134,0.7691364157640015,0.702741447014314
19.119950582728578,24.876413315213693,201228287.99999976,316.22776601683825,0.6789554008631261,0.07404033668598428,0.025122700601347237,36.09891720119288,0.660803919310364,0.6938653755556681,0.00848784647759943,0.7683868290237237,0.7000309963693068
19.119950582728578,25.452059588462205,201228287.99999976,562.3413251903503,0.6561161887481975,0.07788192713095961,0.019347104102009165,33.677357134248716,0.6317584958072656,0.6753445354084017,0.010965605884108451,0.767683119156827,0.6990856929710938
19.119950582728578,26.027705861710714,201228287.99999976,999.9999999999998,0.6209620617900975,0.0812936408429284,0.014525769682093197,27.377194397364164,0.5795539086893196,0.6550201336075432,0.019956342478180927,0.7670314040450718,0.6993969520187187
19.80139154597802,21.528330365723555,397772800.00000036,5.62341325190349,0.7201584625527748,0.03909378186184861,0.07788902645811116,29.191691392592784,0.6656650927652126,0.7707857371449159,0.02728621196962725,0.773914974158866,0.7591236057227437
19.80139154597802,22.103976638972064,397772800.00000036,9.999999999999975,0.6960787378815153,0.042359770044579186,0.06933463148493854,34.65155219343787,0.6628473490970925,0.7282821416757048,0.0171679906175137,0.7731176566822238,0.7392034184945636
19.80139154597802,22.679622912220577,397772800.00000036,17.782794100389204,0.6776461447195795,0.046330424503717806,0.060625707958246955,36.57779265137619,0.6589225433238762,0.6981947013030056,0.010033748439846604,0.7722975332728076,0.7250435844632122
19.80139154597802,23.25526918546909,397772800.00000036,31.62277660168379,0.6683571688053842,0.050656398694084635,0.05178601645716037,36.895762597137484,0.6560650876159773,0.6804434794052948,0.006529473188522101,0.7714672047513587,0.7154634847945917
19.80139154597802,23.830915458717598,397772800.00000036,56.234132519034766,0.6685934966713232,0.055048694780734264,0.04334832046031299,36.922955634312366,0.6591635549160729,0.6809394251533925,0.005638414081158163,0.770639913116141,0.7094617776185002
19.80139154597802,24.40656173196611,397772800.00000036,99.99999999999987,0.6705325352185341,0.05948951924006684,0.035763643901924734,36.892549635511486,0.6604470309196775,0.6826054119325075,0.006055006603813947,0.7698287083360541,0.7062191233655919
19.80139154597802,24.982208005214623,397772800.00000036,177.82794100389225,0.6656151436221682,0.06410866535063177,0.029195795224907006,36.53034001269525,0.6553496487792061,0.6764130381256976,0.005293651368123687,0.7690456404809453,0.7050614638609354
19.80139154597802,25.557854278463132,397772800.00000036,316.2277660168371,0.648643248881173,0.06892254005869382,0.023484139782630857,34.37205360436466,0.6384249072521745,0.6585079753655254,0.005241794107834078,0.7683010808121945,0.7054324065521729
19.80139154597802,26.133500551711645,397772800.00000036,562.3413251903482,0.6117935738303363,0.07373409809546719,0.018112245046626087,28.365278151962606,0.5969805890129842,0.6272470861798373,0.008209169950301864,0.7676032477382146,0.7068775562939525
20.498208455426926,21.64950100192395,798470399.9999989,3.1622776601683866,0.6831966167487227,0.03293290415579772,0.07902952127052842,30.89258398072926,0.631794094734662,0.743426453040127,0.029496890181222125,0.774588112925282,0.7500989097352844
20.498208455426926,22.22514727517246,798470399.9999989,5.62341325190349,0.7040031579797645,0.03609673111869228,0.07110436490929312,35.745793950879175,0.6596502599836386,0.7603914497260408,0.02720054960761471,0.773820163848809,0.7306568073776875
20.498208455426926,22.800793548420973,798470399.9999989,10.00000000000001,0.7198183312389191,0.03954904654969077,0.06299450727643778,37.6284116504937,0.6800806104559308,0.7730638005650511,0.02420118473010356,0.7730194590387978,0.7179885652782829
20.498208455426926,23.376439821669486,798470399.9999989,17.782794100389268,0.7220717989796895,0.04350449163640107,0.05508869538858188,38.194758584943735,0.6908056731292245,0.7587874555436671,0.01828073295959627,0.7721974116425874,0.7103514380329542
