item,study,n_budgets,df,curvature,t,p,slope_at_anchor,slope_at_anchor_se,linear_slope,share_models,share_models_cw,share_decisions,share_decisions_cw,Mstar_1e24_hi,slopes
quadratic path,Chinchilla,9.0,6.0,0.0634271534434901,7.153847209768952,0.0003762752495478581,0.4013041853101489,0.05873475525067898,-0.0033086562576918888,,,,,,
quadratic path,Llama 3,8.0,5.0,0.046443970522130014,2.394036762538078,0.06207688414838245,0.24511916373401554,0.10284081851981054,0.008268003741692398,,,,,,
quadratic path,Marin,19.0,14.0,-0.05603964068512569,-3.110546467588522,0.007670010631418624,-0.04986801473507377,0.08310009258354131,0.1984999385410169,,,,,,
sensitivity,S1 plus Chinchilla and Llama 3 at their top-budget local slopes,,,,,,,,,0.7532467532467533,0.19841295444212043,0.6938775510204082,0.1386968460757243,338.76168337723425,Chinchilla (local slope 0.40); Llama 3 (local slope 0.25)
sensitivity,"same, local slopes plus one standard error",,,,,,,,,0.7142857142857143,0.17300136200037866,0.6530612244897959,0.11578325886444348,476.51321349565075,Chinchilla (local slope 0.46); Llama 3 (local slope 0.35)
