cell,label,R,cover_truth,share_ci_hits_grid_edge,share_flat_everywhere,share_ci_empty_on_grid,median_ci_width,median_ci_lo,median_ci_hi,mean_LR_understatement_old,p90_LR_understatement_old,share_flat_old_denominator,share_sig_hat_off_grid,share_flat_on_v1_grid,cover_truth_mcse,share_accept_all_below_050,share_accept_all_above_090,median_LR_at_050,median_LR_at_095,mean_LR_0.050,mean_LR_0.100,mean_LR_0.150,mean_LR_0.200,mean_LR_0.250,mean_LR_0.300,mean_LR_0.350,mean_LR_0.400,mean_LR_0.450,mean_LR_0.500,mean_LR_0.550,mean_LR_0.600,mean_LR_0.650,mean_LR_0.680,mean_LR_0.700,mean_LR_0.720,mean_LR_0.728,mean_LR_0.732,mean_LR_0.737,mean_LR_0.742,mean_LR_0.746,mean_LR_0.750,mean_LR_0.770,mean_LR_0.800,mean_LR_0.850,mean_LR_0.900,mean_LR_0.950,mean_LR_0.970,mean_LR_0.990,median_LR_0.050,median_LR_0.100,median_LR_0.150,median_LR_0.200,median_LR_0.250,median_LR_0.300,median_LR_0.350,median_LR_0.400,median_LR_0.450,median_LR_0.500,median_LR_0.550,median_LR_0.600,median_LR_0.650,median_LR_0.680,median_LR_0.700,median_LR_0.720,median_LR_0.728,median_LR_0.732,median_LR_0.737,median_LR_0.742,median_LR_0.746,median_LR_0.750,median_LR_0.770,median_LR_0.800,median_LR_0.850,median_LR_0.900,median_LR_0.950,median_LR_0.970,median_LR_0.990
onpath,(i) On-path (s=0.02),150,1.0,0.94,0.9133333333333333,0.0,0.94,0.05,0.99,0.006179180445501343,0.00016850322156224657,0.9133333333333333,0.13333333333333333,0.94,0.0,0.9266666666666666,0.92,0.2912620861080806,0.4899902295787547,0.9689876239348295,0.7748191254635252,0.733900958574822,0.5375800687520053,0.4774099736832118,0.4122487617945166,0.42008097692850777,0.4060232609689816,0.43616712828429705,0.4515811936972898,0.471834662319964,0.5171993158954267,0.5023854570702377,0.5793026929179589,0.5437578558810611,0.572727941739257,0.5705492527414685,0.5706570739672039,0.5608031309186647,0.5667307246855744,0.5708216623104836,0.5742619067504975,0.5900309994862015,0.6335528500236488,0.7468483011687617,0.8531239928616473,0.980942200707629,1.0707047808295693,1.1566039137321416,0.2912620861080806,0.1801783685721508,0.24358043642052918,0.19137942628163984,0.18320835531937918,0.18034871574283112,0.21682167896069948,0.21531644845440073,0.23238278462726028,0.21110890584858888,0.21217242539245296,0.19203408375900372,0.19253698877094977,0.21142739368355074,0.21505393064101996,0.21940706096935142,0.2189010581800261,0.2190015267512872,0.21714771137400812,0.2187566326757906,0.21914522917297735,0.20730547954605746,0.1946855584422599,0.2235523194956871,0.2871161084157423,0.2812214054903879,0.3582801455203921,0.396023356423452,0.4899902295787547
iso16,"(ii) IsoFLOP, +-16x",150,0.94,0.0,0.0,0.0,0.016117034848266543,0.7290179599678187,0.7454299923552049,0.09170631024321574,0.2613626705106106,0.0,0.0,0.0,0.019390719429665325,0.0,0.0,306.36562936900145,349.5386843915967,308.9524121618226,308.90983137128615,308.4680456185825,307.1204055740445,304.5563563076669,300.5254753331544,294.6463231825648,286.290657679207,274.47064560977077,257.64392925990734,233.3146938569757,197.15990001907693,141.1016172899092,92.45935113704647,53.19074557135605,15.462733918579039,5.360352893968355,2.377589759373659,1.0176016261484597,2.4840334373025277,5.677098132455699,10.52591969176677,51.22579072865981,123.0555525954393,215.90659238036082,279.56280173498175,324.64956257895636,338.95345285796424,351.5680057928026,306.36562936900145,306.3213489881589,305.8676411051681,304.48752163543224,301.87666062441144,297.8132695542081,291.98395504717803,283.6545018576202,272.0957398674565,255.8111638176125,231.59447065488922,195.54491966628066,139.9874262776768,91.63144238996173,52.652563051892514,14.709671875050438,4.684516410473948,1.5955815167532759,0.3964266854696221,1.3234299682776731,4.274115801999017,9.077474117149588,50.03826444896937,121.6426343815217,214.88087805287176,278.06542462611515,322.65619319876174,336.89278800430486,349.5386843915967
iso4,"(ii') IsoFLOP, +-4x",150,0.9333333333333333,0.0,0.0,0.0,0.04687489500920783,0.7143798093194005,0.7596099303634756,0.06305502064088953,0.23664679048288714,0.0,0.0,0.0,0.02036700308869262,0.0,0.0,269.3638844913335,124.88065711889301,268.7496015983948,267.8033482962341,264.81705472404343,259.67478859455684,252.12847081529966,241.70431531564574,227.82382596559125,209.85841053102092,187.14882537375485,159.03869710535437,125.0301751065772,85.41611243223345,43.437662222726225,21.225515981101783,10.018613945548502,3.129133817607623,1.7692579888790552,1.3994103175184511,1.2265785923137131,1.3709188859965338,1.7092033539659488,2.2395948148765283,7.505777879527453,21.545871268113935,51.83683749959421,81.67700532674672,107.59201221979588,116.7658971432321,125.34513490997541,269.3638844913335,268.46656408018373,265.64390268396824,260.6468901534198,253.2044912676169,242.70206217190355,229.00851037117394,210.89846180414798,188.40057493687058,159.51338217083924,124.93394010954705,83.69703053173845,41.6963707461007,19.63265542945574,8.915491725196187,1.9776130137945858,0.7043544574851748,0.4419080097541225,0.5065181617802492,0.773836311482866,0.9561457431145609,1.3517204056835728,6.657369771323767,20.59595661571174,50.90235719164451,80.75733868226834,107.06894182525792,116.41823050346989,124.88065711889301
fact,(iii) Factorial grid,150,0.9466666666666667,0.0,0.0,0.0,0.018628336138383605,0.7269675073167473,0.746410437613195,0.07147805000086609,0.17347437270885288,0.0,0.0,0.0,0.018346459947155818,0.0,0.0,364.8681784102514,278.5764897540008,365.64513318157117,364.6270144875782,362.3771679148826,358.92483834291966,353.96419946261335,347.0488721782606,337.5631813789156,324.636235887836,307.01671008801816,282.88586126422086,249.54791613679902,202.8200051497076,135.95641048163145,83.0748913060507,44.371855000901945,11.658021524891412,3.946261522167118,1.8269919689581695,0.9792041468252165,2.1595868758355836,4.506612887733979,7.9911891913672966,37.24476974489093,91.67991209881893,165.7192742138567,217.55612540555381,255.11111043719265,267.35075820000253,278.3631794098925,364.8681784102514,363.95814894443015,361.8065856731643,358.41295503100866,353.50053156371234,346.59657516614845,336.7365006086259,323.67008230509555,306.21564367915767,281.7606111979442,247.9518354154693,200.08100007273202,133.36242627166078,81.46268200147321,42.637509334288694,10.791133052135375,2.970723824317604,1.0352179383981182,0.3975270978438885,1.1362701620244593,3.499653213767435,6.920414320378679,36.55085671615679,91.17006749139142,167.07359650008326,218.39778585375427,255.56802727837027,267.6818172040431,278.5764897540008
opt_s0,"(iv) Optimizing labs, s=0",150,1.0,0.9666666666666667,0.9533333333333334,0.0,0.94,0.05,0.99,0.00028682646232727977,2.993675547645443e-05,0.9533333333333334,0.0,0.9733333333333334,0.0,0.9533333333333334,0.96,0.03309309192389079,0.017723336329793768,0.638621192462558,0.5776193475300027,0.514052052367316,0.4334270903324759,0.3810515532203016,0.37356365220558047,0.3095721821976928,0.2463440112055771,0.21069353886957315,0.2529161435380501,0.237212765511496,0.24540960955883817,0.18009124553626277,0.1636040503885373,0.18445071060048415,0.1589745685313715,0.16257200667566896,0.16686034704740596,0.16693670625024953,0.17035292808797609,0.17187757798600556,0.1749700299778458,0.1845371898059943,0.2086535328245464,0.2980781348489894,0.3946821427557997,0.49156824780283886,0.5970027674230842,0.6829918612932768,0.03309309192389079,0.037912376627463024,0.03304317823523509,0.017263285507043275,0.010855555457960808,0.020799892259033538,0.005244443251720681,0.008209769683135738,5.528682835012585e-06,0.0003733631722211778,9.047761726783374e-06,0.00030575424671768755,0.0001706956409900449,0.0004891829733936456,0.00030182838397440324,0.0015870406316149908,0.0012223067398172084,0.0010272917044463373,0.0010648549826645557,0.001077352813872578,0.0012360919939437918,0.002066959512535071,0.0020288107740393975,0.005006420811157087,0.006987010741473712,0.011420995555909728,0.008781055131833922,0.01573411295575991,0.017723336329793768
opt_s0.05,"(iv) Optimizing labs, s=0.05",150,0.96,0.9533333333333334,0.7866666666666666,0.0,0.94,0.05,0.99,0.012962311537050847,0.00011370769133685804,0.7866666666666666,0.16666666666666666,0.9133333333333333,0.016000000000000007,0.8266666666666667,0.9,1.2551627507508691,1.10353502568589,1.8428466913421684,0.9206914807911217,0.6864081759775049,0.6184529569685666,0.5896491760652222,0.5756269460225054,0.5916575967769336,0.6004956850047225,0.6786640103362135,0.6755312556114003,0.6923062154681766,0.7361023502939936,0.761203685147431,0.7833519933876282,0.7998064756580525,0.8167469491378618,0.8241742529425755,0.8280066492149594,0.8355286174874714,0.8494323374738169,0.8625367962682433,0.8710878177280906,0.8928974423003047,0.939911299625755,1.07270637082858,1.2105902803402913,1.4323774251565382,1.5439648005344726,1.6842507358830558,1.2551627507508691,0.672736072134577,0.4747175328263436,0.40739224676662505,0.33236636060962355,0.34596288957746923,0.3242358979530695,0.29194077182461287,0.2831121847228487,0.2577691280806661,0.2674178205782973,0.2701350874050936,0.2506863187857919,0.24824911717625736,0.2534336985734885,0.262401244470107,0.2735482766070062,0.2752327061135017,0.28063009859983856,0.292756240827019,0.2962512290238992,0.3021127085352734,0.3172382619959292,0.3636446586718567,0.4496286956873523,0.6897108586911043,0.934228380397548,1.0188213921797082,1.10353502568589
opt_s0.1,"(iv) Optimizing labs, s=0.1",150,0.9666666666666667,0.96,0.21333333333333335,0.0,0.9025916507568639,0.08266889725457029,0.99,0.0010405147007225288,1.3317192918300483e-05,0.21333333333333335,0.02,0.9266666666666666,0.014656562175858798,0.28,0.88,6.294320147572819,0.9525636557850707,6.956449918189419,3.0503144635092547,1.7290852005632356,1.202554403734711,0.9633590584196474,0.8445249303442433,0.7811949255351616,0.7452005752508457,0.7249245310755748,0.7136308445052264,0.707562709296466,0.7058854816815395,0.7067523026580336,0.7082702479344196,0.7098417397995428,0.7128605655002395,0.7132739285970934,0.7138527423388122,0.7147410303033923,0.7154288163487125,0.7161456369493349,0.7168945328682077,0.7213474318546056,0.7334019749527422,0.7901266724513645,0.9356160700328837,1.2188835371490536,1.396077693968625,1.6082183614475665,6.294320147572819,2.444268099768353,1.0777413002270388,0.7665665682684981,0.5761393568163544,0.5515312351736388,0.49980919601924423,0.4365220444043103,0.3941910554721204,0.40697325612849544,0.3651915900066265,0.3416550006153216,0.33079937568991535,0.33661270735379456,0.3407133245288495,0.3301562528085558,0.32108028888677576,0.3236693558677116,0.32799497919759013,0.3101329773644892,0.2938376902458499,0.2862984058688988,0.2504907326568824,0.22583141789751773,0.24220165100836058,0.4042901473772419,0.6389013877616394,0.7694521692713753,0.9525636557850707
opt_s0.2,"(iv) Optimizing labs, s=0.2",150,0.98,0.8533333333333334,0.0,0.0,0.7043215972744019,0.2789318414877711,0.99,0.006635031322741272,0.02014011931264293,0.0,0.03333333333333333,0.8933333333333333,0.01143095213298817,0.0,0.8533333333333334,35.17419920862396,1.302877986501377,35.712272382530436,23.188662134134532,14.135943630948198,8.663618283029654,5.478615884188359,3.611625895617292,2.4951289792042486,1.8138085704915663,1.3917885004549693,1.128626215197996,0.9652187955431922,0.8656749635523416,0.8074700960353228,0.7860433191478805,0.7758436123761014,0.7681649026246776,0.7656631895150724,0.7645165492206142,0.7631661360418246,0.7619244125081396,0.7609898251081305,0.7601101343821923,0.7564743889427034,0.7532210629432253,0.7750397776728429,0.9077921884118816,1.301206799246406,1.5796939199225413,2.0020395435564833,35.17419920862396,22.62262114411695,13.623326312604643,8.249173026040262,4.930304564622858,3.0070907817160926,1.798069464290177,1.0802417916471727,0.8087058109955565,0.6730983035943942,0.556672288397921,0.5877470597277556,0.4736750109813441,0.44965951535500415,0.4192677260496004,0.4033344515924134,0.40610513190607134,0.4079526140173798,0.41749336436757745,0.4160637914990555,0.4102141077512479,0.41438218726838727,0.3790891198052616,0.3518599901893331,0.30062585656585233,0.34611065431487165,0.7255541623062525,0.9855288237510564,1.302877986501377
opt_s0.3,"(iv) Optimizing labs, s=0.3",150,0.9533333333333334,0.76,0.0,0.0,0.550741243335394,0.42081018666035097,0.99,0.00857382405420655,0.025182996640135853,0.0,0.006666666666666667,0.6533333333333333,0.017221863795553384,0.0,0.76,73.27393674349611,1.695986942730293,71.79216092690277,56.93846172672542,41.48236725086562,28.726205897657348,19.304816033947553,12.756971770244917,8.361624636198554,5.474094978022993,3.6092789863344064,2.4286731345417754,1.704016258701109,1.2834068745961738,1.0659429874006918,1.0039438247765617,0.9842862398853284,0.9789434976265458,0.9803148120810589,0.981687578767198,0.98403266918524,0.9870034139793614,0.9898458060432154,0.9930767544140402,1.0146090180487746,1.0612340132031397,1.1664079709488748,1.2954285329051232,1.6272090496156624,1.9463335648388682,2.5112732735004264,73.27393674349611,57.672917691305486,42.0943941056398,29.038857069277128,19.30350057900224,12.186580842866071,7.675738606104037,4.6380963634806225,2.7483067546454714,1.6517312140236204,1.0442473468958984,0.7409608702573243,0.6310711475460116,0.5977075117757543,0.5886862970922859,0.5509455885238304,0.5333426598069275,0.5090450599259311,0.5120690530980327,0.522704234582037,0.5289986176181469,0.535356622428951,0.4834989716817918,0.5024131281222164,0.48927380856970437,0.46403489862731506,0.7073233954187432,1.0647834388455388,1.695986942730293
opt_s0.5,"(iv) Optimizing labs, s=0.5",150,0.9266666666666666,0.4533333333333333,0.0,0.0,0.3435857543109735,0.584851218129004,0.9798471434756975,0.015804028975366095,0.034872451678000765,0.0,0.013333333333333334,0.006666666666666667,0.02128466671190877,0.0,0.4533333333333333,136.07425245513576,4.310676521305069,135.6783909074617,125.2721206323849,110.24699486215046,92.85383481087112,74.95014827848567,57.96734763547819,42.8991805551382,30.306202401258393,20.360473608075736,12.934409719522657,7.7124637544665955,4.296498697239211,2.284809779751683,1.6002729126774613,1.319169690304644,1.1575113648676723,1.1226798302109073,1.1111749662716466,1.1020724550012155,1.0987412420892628,1.100011388755975,1.1046899402946369,1.1756860789814878,1.4114111533267915,2.0658766964942097,2.9404663019223802,4.036278495028755,4.668205436687445,5.724467221596269,136.07425245513576,125.41822158309446,110.53479632653082,93.70568623867872,75.36164946871605,56.69238724294803,41.187900196963376,27.818338174280413,18.407721672676253,11.16519963230974,5.8964749633659,2.9543431852070983,1.2278887263131795,0.7410150894262548,0.5593823902410631,0.5883685621140196,0.6029636935146387,0.6049646276934431,0.6369753347765277,0.623080375313279,0.6285269998589215,0.6178207277410369,0.5089193578261251,0.5492535157464247,1.0081760892119238,1.8318029873761046,2.95453355526545,3.44990256818366,4.310676521305069
