corpus,valset,conv,fit,n_cells,residual_sd,residual_mad_sd
edu,own,P,chin_huber,44,0.01021003473118901,0.008314088361443043
edu,own,P,kappa_huber,44,0.005891738537711145,0.0023159939905271734
edu,own,T,chin_huber,44,0.01027448668027922,0.007675424083594684
edu,own,T,kappa_huber,44,0.007161734194152418,0.00276421431227594
