sample,runs,on_isoflop_profiles,off_profile,n_budgets,off_profile_trunks,flop_min,flop_max,iso_flop_min,iso_flop_max,off_flop_min,off_flop_max,N_min,N_max,c_offset_dex
all digitized runs,245,137,108,9,35,1.3972367362937152e+18,1.2956022673438285e+22,5.266353412114683e+18,3.019197987836002e+21,1.3972367362937152e+18,1.2956022673438285e+22,57334197.40687078,16183346310.7305,-0.018422608971405907
baseline sample (5 highest-loss runs dropped),240,132,108,9,35,1.3972367362937152e+18,1.2956022673438285e+22,5.266353412114683e+18,3.019197987836002e+21,1.3972367362937152e+18,1.2956022673438285e+22,57334197.40687078,16183346310.7305,-0.018422608971405907
