year,sample,n,median_w,share_w_lt1,share_w_gt2,median_M
2019,main,4,1.6975543495841352,0.0,0.25,96.87
2020,main,10,1.589780054677405,0.2,0.4,79.12629610742817
2021,main,19,1.1786196085686915,0.47368421052631576,0.3157894736842105,30.785641025641024
2022,main,34,1.0641423306821454,0.4117647058823529,0.20588235294117646,23.020094118227767
2023,main,97,1.8272073441951473,0.17525773195876287,0.4329896907216495,107.14285714285714
2024,main,106,3.4499852856247504,0.0,0.8207547169811321,611.8974418390032
2025,main,61,4.675609531649943,0.01639344262295082,0.9508196721311475,1303.433690636833
2026,main,4,3.7741699032620355,0.0,1.0,686.0119047619048
2019,drop D/C mismatch,4,1.6975543495841352,0.0,0.25,96.87
2020,drop D/C mismatch,9,1.3375115929706876,0.2222222222222222,0.3333333333333333,45.04504504504504
2021,drop D/C mismatch,19,1.1786196085686915,0.47368421052631576,0.3157894736842105,30.785641025641024
2022,drop D/C mismatch,33,1.0680192861353355,0.3939393939393939,0.21212121212121213,23.076923076923077
2023,drop D/C mismatch,94,1.8352384148837915,0.1702127659574468,0.44680851063829785,109.030652419842
2024,drop D/C mismatch,101,3.570119191077462,0.0,0.8415841584158416,649.3265427513825
2025,drop D/C mismatch,60,4.817050927677125,0.016666666666666666,0.95,1442.475676680412
2026,drop D/C mismatch,4,3.7741699032620355,0.0,1.0,686.0119047619048
