sample,label,n,clusters,t_min,t_max,growth,growth_lo,growth_hi,oom_per_year,se_oom_cr1,p_wcr_4p2,p_wcr_4p5,C_trend_2024,C_trend_2026,C_trend_now,C_max_obs,model_max_obs,b0,b1
top10,Running top-10 at release (all domains),92,27,2018.0958247775495,2026.6707734428473,5.06181663761696,4.290307114977109,5.934873296618935,0.7043064089546993,0.02599248714761076,0.0438,0.1486,1.1259013004103046e+25,2.8847829239965335e+26,9.398037560015163e+26,1.0001e+27,GPT-6 Astra,25.051500320740963,0.7043064089546993
top10_nsp,"Running top-10, excl. 'Speculative' compute",73,23,2018.0958247775495,2026.6707734428473,4.8409938739369,4.140680139635559,5.666149934885457,0.684934533060827,0.02746100290122455,0.0577,0.3744,1.044970804870255e+25,2.448912246909416e+26,7.723058731712724e+26,1.0001e+27,GPT-6 Astra,25.0191041569917,0.684934533060827
top10_lang,Running top-10 among language models,93,28,2018.2327173169062,2026.6707734428473,6.449576928841638,5.6494126525119075,7.367892022692775,0.8095312272715955,0.0290727406658261,0.0033,0.0049,1.2823208083881503e+25,5.334075324343712e+26,2.0730753253067643e+27,1.0001e+27,GPT-6 Astra,25.10799668967828,0.8095312272715955
record,Record-setting runs,18,6,2018.331279945243,2026.6707734428473,4.851501925717952,3.981273717835575,5.910173468813057,0.6858762081022938,0.03885017801142262,0.1198,0.5135,4.471162207475643e+25,1.052380620403405e+27,3.3241051139236267e+27,1.0001e+27,GPT-6 Astra,25.65042042574675,0.6858762081022938
epochflag,Epoch 'Frontier model' flag (to 2025-07),53,20,2018.331279945243,2025.517453798768,4.969432258395929,4.063881581762074,6.1176669483747395,0.6963067748238747,0.030488508185208048,0.0448,0.2346,1.998971320611132e+25,4.9365110439723386e+26,1.5867856732393772e+27,5.0000000000001e+26,Grok 4,25.300806563307873,0.6963067748238747
top10_2024,"Running top-10, 2018 to May 2024",78,26,2018.0958247775495,2024.2956878850102,5.2261092204731465,4.01865185546281,6.740650386637862,0.7181784818079037,0.03762346694916962,0.0402,0.2887,1.24348639494735e+25,3.396237098193681e+26,1.1324645875107197e+27,5.0000000001e+25,Gemini 1.0 Ultra,25.09464103799227,0.7181784818079037
