regime,pi1,ols,plim,reverse,gamma,bracket_contains_gamma,bracket_condition
target,-5.617977528089888,0.07839455350857619,0.07867518553652139,0.23480559843175627,0.178,True,True
exogenous,0.0,0.17850772700002787,0.178,0.4579186546836055,0.178,True,True
funding,2.0,0.2475473693716445,0.24696551724137933,0.4029141075010088,0.178,False,False
