group,n,median_s_lab_one_rule,median_s_reference,median_s_ra2_labown,median_s_lab-specific curvature,median_s_Meta 10-budget planning law,"median_s_Meta 10-budget law, Meta curvature (ra2 primary)",median_s_OLMo ladder kappa = 1 path,"median_s_OLMo ladder kappa free, own curvature (ra2 primary)"
all lab-own models,22,0.5240794592719221,0.6460906435718374,0.6057814844063034,0.6743100783486453,0.4881707238643025,0.4881707238643025,0.4494679798943832,0.643881906695257
without AI2,13,0.6419673413310052,0.5571620025816658,0.5899702817275277,0.6881926986693,0.5442441365630711,0.589970281727528,0.6419673413310052,0.6419673413310052
Meta,10,0.5788385892157586,0.48579819736135477,0.5093776089156383,0.6244647318691351,0.46690330692102855,0.5093776089156385,0.5788385892157586,0.5788385892157586
AI2,9,0.4438923662852728,0.704347060435072,0.660427458027992,0.6604274580279907,0.4438923662852728,0.4438923662852728,0.3208535909330838,0.6604274580279907
