corpus,sample,conv,n,widths,N_min,N_max,D_min,D_max,M_min,M_max,C_min,C_max,sd_lnM_given_lnC,n_M_gt_100,n_M_gt_341,n_M_gt_1000,emb_share_min,emb_share_max,flops_over_6Nne_min,flops_over_6Nne_max,flops_over_6Ntot_min,flops_over_6Ntot_max
edu,main,P,44,8,393856.0,49165440.0,25001984.0,800014336.0,0.5085276161466266,2031.2356191095223,226213150851072.0,7.300458246832128e+16,2.020997035954772,11,4,2,0.09636173291143707,0.7269500399325584,1.1399617292146678,3.8287292817679557,1.030113041534824,1.0508239031169346
edu,main,T,44,8,1442432.0,54408320.0,25001984.0,800014336.0,0.45952501382141553,554.6288046854202,216381970710528.0,7.048790343155712e+16,1.7423251507770212,6,1,0,0.09636173291143707,0.7269500399325584,1.1399617292146678,3.8287292817679557,1.030113041534824,1.0508239031169346
edu,main+hiM,P,44,8,393856.0,49165440.0,25001984.0,800014336.0,0.5085276161466266,2031.2356191095223,226213150851072.0,7.300458246832128e+16,2.020997035954772,11,4,2,0.09636173291143707,0.7269500399325584,1.1399617292146678,3.8287292817679557,1.030113041534824,1.0508239031169346
edu,main+hiM,T,44,8,1442432.0,54408320.0,25001984.0,800014336.0,0.45952501382141553,554.6288046854202,216381970710528.0,7.048790343155712e+16,1.7423251507770212,6,1,0,0.09636173291143707,0.7269500399325584,1.1399617292146678,3.8287292817679557,1.030113041534824,1.0508239031169346
web,main,P,15,3,393856.0,3148032.0,25001984.0,800014336.0,7.942099699113605,2031.2356191095223,226213150851072.0,1.4634348642828288e+16,1.3702390305025884,8,4,2,0.39982429596368785,0.7269500399325584,1.7494510856306416,3.8287292817679557,1.0454343774957848,1.0508239031169346
web,main,T,15,3,1442432.0,5245184.0,25001984.0,800014336.0,4.766655278442091,554.6288046854202,216381970710528.0,1.3926547159252992e+16,1.039608831086291,5,1,0,0.39982429596368785,0.7269500399325584,1.7494510856306416,3.8287292817679557,1.0454343774957848,1.0508239031169346
web,main+hiM,P,15,3,393856.0,3148032.0,25001984.0,800014336.0,7.942099699113605,2031.2356191095223,226213150851072.0,1.4634348642828288e+16,1.3702390305025884,8,4,2,0.39982429596368785,0.7269500399325584,1.7494510856306416,3.8287292817679557,1.0454343774957848,1.0508239031169346
web,main+hiM,T,15,3,1442432.0,5245184.0,25001984.0,800014336.0,4.766655278442091,554.6288046854202,216381970710528.0,1.3926547159252992e+16,1.039608831086291,5,1,0,0.39982429596368785,0.7269500399325584,1.7494510856306416,3.8287292817679557,1.0454343774957848,1.0508239031169346
