technology,study,y,se
Chinchilla,Hoffmann et al. (2022),0.6734578167803218,0.027258048811577496
Llama 3,Grattafiori et al. (2024),0.6595077631182621,0.02269276276905203
"Marin, Comma",Marin (2026),0.6999688390497418,0.02650015654886752
"Marin, DCLM",Marin (2026),0.7125881529740448,0.02717107119487081
"Marin, Nemotron-CC",Marin (2026),0.7049250317361109,0.023261420933462233
"Porian, RefinedWeb",Porian et al. (2024),0.5175059198557798,0.016515487476865775
"Porian, OpenWebText2",Porian et al. (2024),0.5054103537850714,0.01363423160741403
Farseer (local path),Li et al. (2025),0.7028660618499879,0.013297918713748379
