dataset,output,F,p,n2,d2,nd,R2_lin,R2_quad
OLMo ladder + OLMo-2,y_hellaswag,351.5713124929147,0.0,-0.1789445179815213,-0.08219452041795468,0.14012385335012686,0.9511822306375628,0.9988255337889095
OLMo ladder + OLMo-2,y_arc_c,1.9258566078648967,0.150174119995374,-0.280108551478234,-0.11595580216574555,0.26136786657880307,0.8681057319752149,0.8920858017878318
OLMo ladder + OLMo-2,y_winogrande,2.397791621517345,0.09092016399476699,-0.5912871271098865,-0.22804480684243522,0.6874461984304692,0.832401959051476,0.8687223253904455
OLMo ladder + OLMo-2,y_core,35.362591924485926,2.5190552976894764e-09,-0.2527524293284067,-0.1204160158121529,0.23964410136177267,0.9351283295300734,0.9872307378760706
Gadre et al. (N>=0.1B),y_hellaswag,70.27765805439986,0.0,-0.14462755623029233,-0.08549839129508753,0.1179340320750393,0.9613802524152525,0.9928380536132964
Gadre et al. (N>=0.1B),y_arc_c,30.70257950586378,3.142897053720617e-11,0.042634846373914306,0.036045288196857345,0.17085694846212557,0.7595747314751338,0.9176318666527858
Gadre et al. (N>=0.1B),y_winogrande,3.441964048123244,0.023895719815678174,-0.13290351671636802,0.00013818249644417802,0.2149647250044696,0.7308235260171945,0.77847795762483
Gadre et al. (N>=0.1B),y_core,3.0822621937348904,0.03603913040125639,-0.14280881960329864,-0.030123447320359598,0.1350650181229932,0.934186802487566,0.9448172785014626
