cls,n,n_families,median_w,share_w_gt1,median_s,share_band_gt1,median_M
common-D,32,11,3.8983079252266397,1.0,0.7432822983444884,0.125,524.6927714934627
size-specific-D,30,10,4.01291965800242,0.9333333333333333,0.7507938591221038,0.3,569.6123090058522
singleton,15,15,3.9252446146294586,1.0,0.7452388072139551,0.06666666666666667,546.0896139172642
size-specific-D + singleton (clean; excludes common-D),45,25,3.986234596660721,0.9555555555555556,0.7491366913433287,0.2222222222222222,554.8996212727055
common-D (all 173),83,23,3.0433828355478063,0.963855421686747,0.6714182690657119,0.1686746987951807,296.80558548411165
size-specific-D (all 173),66,20,3.944096648416341,0.8787878787878788,0.746427573710658,0.19696969696969696,536.5612167047532
singleton (all 173),24,24,3.8656188790637738,0.9583333333333334,0.7412476482862493,0.08333333333333333,524.8720075657342
