sample,n,share_trans,svn1,svn2,svn3,svn4,svn5,cond_norm,se_alpha,se_beta,se_a,se_gamma,se_sigma_star,se_E,nfail,profile_LR_max,profile_set_lo,profile_set_hi
random subsample 1 (n=41),41.0,0.41918011465059446,0.734358963794512,0.28037431563931015,0.16978634803361567,0.014025954615492211,0.0077240280837720865,95.07461078985129,0.0448638580912957,0.036191075336064096,0.04810258633006922,0.013393529249519151,0.01266122888093971,0.06827677578550401,0.0,79.61602345423151,0.67,0.72
random subsample 2 (n=41),41.0,0.35223195284531134,0.7380358508569551,0.235986754658816,0.1486299292120906,0.011921293085603378,0.00955886670257127,77.20955567446386,0.04256728923664447,0.06562931593191762,0.06025327676637299,0.01967171371363106,0.020484841418383137,0.09128175745697469,0.0,78.99971229433429,0.65,0.7
random subsample 3 (n=41),41.0,0.2868873919588099,0.7331233293016641,0.22493558060344468,0.16749968399433238,0.012794820150080342,0.01061178261969541,69.08578469568263,0.03665394166475157,0.12530704097083697,0.11788668047376004,0.030554943480954826,0.02847021386475091,0.18667039502284952,0.0,81.43934300084095,0.63,0.68
random subsample 4 (n=41),41.0,0.3283819362815653,0.7342198159291219,0.23902226027319093,0.16739885777425892,0.01413837406888957,0.010704250012436295,68.5914300465795,0.04055131419322766,0.0783904209453804,0.0663342647322091,0.01917537551310546,0.020068161997426174,0.07844779178631359,0.0,101.37238589414811,0.62,0.66
median of 4 random subsamples (n=41),41.0,0.34030694456343835,0.734289389861817,0.23750450746600346,0.16744927088429565,0.013410387382786278,0.010085324661133339,73.14767018507325,0.04155930171493606,0.07200986843864901,0.06329377074929105,0.01942354461336826,0.020276501707904654,0.08486477462164413,0.0,80.52768322753623,0.64,0.69
