param,se_full_n240,se_band,se_random_same_n,ratio_band_to_full,ratio_band_to_random,sqrt_n_benchmark
alpha,0.0148805697956305,0.0974241181380754,0.04155930171493606,6.547069062280318,2.344219323181313,2.4194335156365354
beta,0.0200738305331229,0.0897830243244605,0.07200986843864901,4.472640345165497,1.2468155583557812,2.4194335156365354
a,0.0198365360338869,0.1388156826451633,0.06329377074929105,6.997980010624006,2.1931965974189995,2.4194335156365354
gamma,0.0051305801025298,0.018246727494294,0.01942354461336826,3.556464791436909,0.9394128547338205,2.4194335156365354
sigma_star,0.0056249831316787,0.0109374497311588,0.020276501707904654,1.944441338776898,0.5394150277360178,2.4194335156365354
E,0.0247258264640952,0.1886966007992093,0.08486477462164413,7.631558891397176,2.2234973419829673,2.4194335156365354
