design,variant,spec,M_bin,delta,lo_pct,hi_pct,n_points,n_runs,n_dropped,M_max_evaluated
"Marin, Comma",corner_M1000,chin_M100,M>=256,-1.03866,-1.05659,-0.819026,,82,3,594.584
"Marin, Comma",corner_M1000,convexity b2,,0.0276724,,,,82,3,594.584
"Marin, DCLM",corner_M1000,kappa_full,M<16,-0.0770901,-0.0879911,-0.0103018,57,82,2,594.584
"Marin, DCLM",corner_M1000,kappa_full,16-64,0.0387749,0.0193149,0.0483791,20,82,2,594.584
"Marin, DCLM",corner_M1000,kappa_full,64-256,-0.140258,-0.180528,-0.0609637,14,82,2,594.584
"Marin, DCLM",corner_M1000,kappa_full,"256-1,024",-0.638276,-1.60796,-0.215182,6,82,2,594.584
"Marin, DCLM",corner_M1000,kappa_full,M>=256,-0.638276,-1.60796,-0.215182,,82,2,594.584
"Marin, DCLM",corner_M1000,chin_full,M<16,-0.0702536,-0.0799508,-0.0066443,57,82,2,594.584
"Marin, DCLM",corner_M1000,chin_full,16-64,-0.0273757,-0.0386669,0.00450108,20,82,2,594.584
"Marin, DCLM",corner_M1000,chin_full,64-256,-0.238809,-0.277512,-0.114696,14,82,2,594.584
"Marin, DCLM",corner_M1000,chin_full,"256-1,024",-0.76281,-1.72245,-0.293674,6,82,2,594.584
"Marin, DCLM",corner_M1000,chin_full,M>=256,-0.76281,-1.72245,-0.293674,,82,2,594.584
"Marin, DCLM",corner_M1000,chin_M100,M<16,-0.0664585,-0.0779873,-0.00571509,57,82,2,594.584
"Marin, DCLM",corner_M1000,chin_M100,16-64,-0.159389,-0.203644,-0.113292,20,82,2,594.584
"Marin, DCLM",corner_M1000,chin_M100,64-256,-0.454289,-0.541279,-0.330559,14,82,2,594.584
"Marin, DCLM",corner_M1000,chin_M100,"256-1,024",-1.05449,-2.05981,-0.604403,6,82,2,594.584
"Marin, DCLM",corner_M1000,chin_M100,M>=256,-1.05449,-2.05981,-0.604403,,82,2,594.584
"Marin, DCLM",corner_M1000,convexity b2,,0.0275374,,,,82,2,594.584
"Marin, Nemotron-CC",corner_M1000,kappa_full,M<16,-0.0713693,-0.0760453,-0.0160464,67,85,3,594.584
"Marin, Nemotron-CC",corner_M1000,kappa_full,16-64,0.0448384,0.0177222,0.0580478,24,85,3,594.584
"Marin, Nemotron-CC",corner_M1000,kappa_full,64-256,-0.0950438,-0.120381,-0.05761,14,85,3,594.584
"Marin, Nemotron-CC",corner_M1000,kappa_full,"256-1,024",-0.359664,-0.438581,-0.287897,6,85,3,594.584
"Marin, Nemotron-CC",corner_M1000,kappa_full,M>=256,-0.359664,-0.438581,-0.287897,,85,3,594.584
"Marin, Nemotron-CC",corner_M1000,chin_full,M<16,-0.0715406,-0.0754501,-0.0115022,67,85,3,594.584
"Marin, Nemotron-CC",corner_M1000,chin_full,16-64,-0.032337,-0.0510003,0.00463504,24,85,3,594.584
"Marin, Nemotron-CC",corner_M1000,chin_full,64-256,-0.218755,-0.251254,-0.107935,14,85,3,594.584
"Marin, Nemotron-CC",corner_M1000,chin_full,"256-1,024",-0.521383,-0.59061,-0.374287,6,85,3,594.584
"Marin, Nemotron-CC",corner_M1000,chin_full,M>=256,-0.521383,-0.59061,-0.374287,,85,3,594.584
"Marin, Nemotron-CC",corner_M1000,chin_M100,M<16,-0.0882303,-0.0936163,-0.0277238,67,85,3,594.584
"Marin, Nemotron-CC",corner_M1000,chin_M100,16-64,-0.235981,-0.274055,-0.183736,24,85,3,594.584
"Marin, Nemotron-CC",corner_M1000,chin_M100,64-256,-0.537343,-0.608748,-0.419901,14,85,3,594.584
"Marin, Nemotron-CC",corner_M1000,chin_M100,"256-1,024",-0.933952,-1.04437,-0.825528,6,85,3,594.584
"Marin, Nemotron-CC",corner_M1000,chin_M100,M>=256,-0.933952,-1.04437,-0.825528,,85,3,594.584
"Marin, Nemotron-CC",corner_M1000,convexity b2,,0.0214524,,,,85,3,594.584
