sample,treat,n,clusters,G_treated,n_treated,coef,se_crv1,t_crv1,strata,n_strata,n_strata_with_variation,B,p_ri_beta_two,p_ri_beta_one,p_ri_t_two,p_ri_t_one
models (77),serve_model,77,18,6,26,0.5600180151486084,0.23805191915270263,2.3525036771048877,year x 3 compute bins,9,9,9999,0.0,0.0,0.06460646064606461,0.034103410341034104
models (77),serve_model,77,18,6,26,0.5600180151486084,0.23805191915270263,2.3525036771048877,year x 2 compute bins,6,6,9999,0.0,0.0,0.07300730073007301,0.023002300230023004
models (77),serve_model,77,18,6,26,0.5600180151486084,0.23805191915270263,2.3525036771048877,year,3,3,9999,0.00010001000100010001,0.0,0.06570657065706571,0.0332033203320332
models without Alibaba,serve_model,58,17,5,7,-0.0921651409234725,0.2792480778516621,-0.3300475392078833,year x 3 compute bins,9,4,9999,0.6310631063106311,0.6092609260926093,0.7605760576057605,0.5462546254625462
"decision units (49), any member served",serve_any,49,18,6,11,0.27610297943596146,0.29394377668520205,0.9393054091825624,year x 3 compute bins,9,5,9999,0.16801680168016803,0.12151215121512152,0.38213821382138213,0.24962496249624963
"decision units (49), any member served",serve_any,49,18,6,11,0.27610297943596146,0.29394377668520205,0.9393054091825624,year,3,3,9999,0.1147114711471147,0.059505950595059504,0.4002400240024002,0.1938193819381938
