group,variant,k,members,mean_re,lo_hksj,hi_hksj,se_hksj,tau,Q,p_Q,I2,mean_fixed,note,weight_share_farseer,sample,order,h,fkind,center,k_valid,chin_sigma,chin_se,far_centre,far_se,bw_lo,bw_hi,bw_variants
primary,PRIMARY (reproduces rb1): one estimate per study,4,Hoffmann 0.660 (0.023); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.687259,0.640215,0.734302,0.0147821,0.0229547,8.2512,0.0410957,0.636416,0.703867,,0.397047,,,,,,,,,,,,,
T1.4,"Study-level mean, budgets <= 3e20 FLOP (primary: Farseer first-derivative estimate on its path points <= 3e20)",4,Hoffmann <=3e20 0.698 (0.023); Meta <=3e20 0.686 (0.025); Marin 0.706 (0.026); Farseer FD <=3e20 0.710 (0.006),0.707736,0.689705,0.725767,0.00566566,0,1.01681,0.797185,0,0.707736,,0.840013,,,,,,,,,,,,,
T1.4,"Study-level mean, budgets <= 3e20; Farseer Hessian path, RE over its levels <= 3e20",4,Hoffmann <=3e20 0.698 (0.023); Meta <=3e20 0.686 (0.025); Marin 0.706 (0.026); Farseer Hessian RE <=3e20 0.708 (0.016),0.701827,0.668126,0.735528,0.0105896,0,0.593051,0.898021,0,0.701827,,0.441086,,,,,,,,,,,,,
T1.4,"Study-level mean, budgets <= 3e20; Farseer at its full-path first-derivative estimate",4,Hoffmann <=3e20 0.698 (0.023); Meta <=3e20 0.686 (0.025); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.706658,0.692084,0.721232,0.00457949,0,0.84847,0.837842,0,0.706658,only Chinchilla and Llama 3 are restricted,0.895476,,,,,,,,,,,,,
T1.4,"Study-level mean, budgets <= 3e20; IsoFLOP studies only (k = 3)",3,Hoffmann <=3e20 0.698 (0.023); Meta <=3e20 0.686 (0.025); Marin 0.706 (0.026),0.696818,0.635872,0.757764,0.0141647,0,0.309555,0.856606,0,0.696818,,0,,,,,,,,,,,,,
T1.4,"Study-level mean, budgets <= 3e20; Farseer first-derivative estimate with its bandwidth range as uncertainty (T1.6 treatment) [review]",4,"Hoffmann <=3e20 0.698 (0.023); Meta <=3e20 0.686 (0.025); Marin 0.706 (0.026); Farseer FD <=3e20, bandwidth 0.710 (0.019)",0.7014,0.665129,0.737672,0.0113975,0,0.606396,0.894967,0,0.7014,Farseer s.e. 0.0192 = sqrt(0.0062^2 + range^2/12),0.35256,,,,,,,,,,,,,
check,Check: same construction on all budgets (= rb1's primary),4,Hoffmann 0.660 (0.023); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.687259,0.640215,0.734302,0.0147821,0.0229547,8.2512,0.0410957,0.636416,0.703867,,0.397047,,,,,,,,,,,,,
T1.5 grid,"Chinchilla N_F grid: 137 runs: order 2, h = 0.6, frontier auto, centre path",4,Hoffmann 0.581 (0.040); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.674027,0.589433,0.758621,0.0265813,0.0379131,14.0552,0.00283093,0.786556,0.704024,k_valid = 7,0.341409,137 runs,2,0.6,auto,path,7,0.580774,0.0397972,,,,,
T1.5 grid,"Chinchilla N_F grid: 137 runs: order 2, h = 0.8, frontier auto, centre path",4,Hoffmann 0.658 (0.032); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.690074,0.644773,0.735376,0.0142349,0.0204884,6.47112,0.0908083,0.536402,0.704742,k_valid = 9,0.457206,137 runs,2,0.8,auto,path,9,0.657859,0.0323914,,,,,
T1.5 grid,"Chinchilla N_F grid: 137 runs: order 2, h = 1.0, frontier auto, centre path",4,Hoffmann 0.661 (0.022); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.687404,0.640691,0.734118,0.0146785,0.0227724,8.22378,0.0416063,0.635204,0.703845,k_valid = 9,0.397524,137 runs,2,1,auto,path,9,0.660512,0.022436,,,,,
T1.5 grid,"Chinchilla N_F grid: 137 runs: order 2, h = 1.25, frontier auto, centre path",4,Hoffmann 0.702 (0.011); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.701663,0.676539,0.726786,0.00789443,0.00859803,4.41578,0.219926,0.320619,0.705196,k_valid = 9,0.55985,137 runs,2,1.25,auto,path,9,0.702217,0.0112083,,,,,
T1.5 grid,"Chinchilla N_F grid: 137 runs: order 2, h = 1.5, frontier auto, centre path",4,Hoffmann 0.677 (0.015); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.691265,0.652954,0.729577,0.0120383,0.0179565,7.44268,0.0590496,0.59692,0.703324,k_valid = 9,0.419023,137 runs,2,1.5,auto,path,9,0.677466,0.015325,,,,,
T1.5 grid,"Chinchilla N_F grid: 137 runs: order 2, h = inf, frontier auto, centre path",4,Hoffmann 0.659 (0.017); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.685017,0.6353,0.734734,0.0156223,0.0258043,11.2977,0.0102206,0.734458,0.702481,k_valid = 9,0.354075,137 runs,2,inf,auto,path,9,0.658982,0.0170834,,,,,
T1.5 grid,"Chinchilla N_F grid: 137 runs: order 3, h = 1.0, frontier auto, centre path",4,Hoffmann 0.656 (0.022); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.686115,0.637295,0.734936,0.0153406,0.024292,8.93695,0.030141,0.664315,0.703685,k_valid = 9,0.383577,137 runs,3,1,auto,path,9,0.656458,0.0224769,,,,,
T1.5 grid,"Chinchilla N_F grid: 137 runs: order 3, h = 1.5, frontier auto, centre path",4,Hoffmann 0.685 (0.016); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.694661,0.660806,0.728516,0.0106381,0.0146456,5.82584,0.120398,0.485053,0.704127,k_valid = 9,0.475674,137 runs,3,1.5,auto,path,9,0.68527,0.0160681,,,,,
T1.5 grid,"Chinchilla N_F grid: 137 runs: order 2, h = 1.0, frontier logquad, centre path",4,Hoffmann 0.660 (0.023); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.687539,0.640876,0.734201,0.0146625,0.0226424,8.07478,0.0444913,0.628473,0.703926,k_valid = 9,0.401025,137 runs,2,1,logquad,path,9,0.66025,0.0230354,,,,,
T1.5 grid,"Chinchilla N_F grid: 137 runs: order 2, h = 1.0, frontier cubic, centre path",4,Hoffmann 0.665 (0.022); Meta 0.660 (0.023); Marin 0.706 (0.026); Farseer 0.708 (0.005),0.688655,0.643963,0.733347,0.0140432,0.0213415,7.6183,0.0545955,0.606211,0.70398,k_valid = 9,0.41182,137 runs,2,1,cubic,path,9,0.664563,0.0222187,,,,,
