cell,R,replay_max_abs_diff_obj_truth,replay_max_abs_diff_sigma_s9,share_s64_lower_obj,s9_sigma_star_rmse,s9_sigma_star_median_err,s9_sigma_star_mae,s9_lnMstar_rmse,s9_lnMstar_median_err,s9_lnMstar_mae,s9_a_rmse,s9_a_median_err,s9_a_mae,s9_corner_share,s9_share_obj_above_truth,s64_sigma_star_rmse,s64_sigma_star_median_err,s64_sigma_star_mae,s64_lnMstar_rmse,s64_lnMstar_median_err,s64_lnMstar_mae,s64_a_rmse,s64_a_median_err,s64_a_mae,s64_corner_share,s64_share_obj_above_truth
onpath,500,0.0,0.0,0.668,0.22208802330217317,-0.11874974962723434,0.11874974962723434,23.83100744321621,-2.9441249666332965,21.10603659852728,0.2955023954407461,0.01858528879577248,0.27149547236820076,0.718,0.024,0.18895290753106825,-0.02558318312947,0.043694970244057496,15.53408335780603,0.08244195008423372,6.773574990325874,0.30131056089310754,-0.003938836181401506,0.30865788030469926,0.182,0.0
opt_s0,500,0.0,0.0,0.51,0.2717343902300434,-0.26650471351990823,0.26650471351990823,27.726354893903498,-18.39687236742688,21.706206439110048,0.33072516238207533,0.2578946215913976,0.36259921085884433,0.868,0.0,0.3019554254960244,-0.3246877455552336,0.3246877455552336,24.841815076770192,8.436811234895458,11.188801005908287,0.3912625018445855,-0.33875281899711196,0.40587064604011674,0.562,0.0
opt_s0.05,500,0.0,0.0,0.232,0.08865316595837491,-0.009831318652139154,0.025454653579084552,10.227628911391019,-1.3800805250242312,5.257432156841922,0.2593051718582391,0.04490602896559037,0.2226208512069588,0.132,0.07,0.07094284126617917,-0.004831087677677093,0.020740864716407903,5.7831586055700095,-0.9341446082416301,4.420489807483673,0.2651037197195929,0.022419590406309475,0.23255715428812668,0.008,0.0
opt_s0.1,500,0.0,0.0,0.018,0.025102402907813078,-0.0034808432750292884,0.012188220128905192,4.5801262584441504,-0.43248482941255695,3.583360229359375,0.22538766288239062,0.011121697532722963,0.18050004698372926,0.002,0.002,0.024783801507081493,-0.0031977056510836266,0.012188220518590476,4.510150475221579,-0.2945020537897547,3.5985693595415835,0.2267574272239895,0.007621150492890361,0.1833823967969803,0.0,0.0
opt_s0.2,500,0.0,0.0,0.002,0.014694815200439653,-0.003093481564857725,0.00887083523139548,2.994909311244509,-0.13966178057439138,1.8901425938455287,0.1489266144556998,0.004053770128488732,0.09755551886019001,0.0,0.0,0.014697766959305695,-0.00309348044032709,0.00887083674315542,3.0000560872355773,-0.13966312943149184,1.8911704555918285,0.14917441305361978,0.0039046071094844814,0.09871984566005546,0.0,0.0
kaplan,500,0.0,0.0,0.014,0.102411734895929,-0.003824520715417612,0.06294058377844441,4.9672303137731975,-0.0309634976408939,4.454687496392708,0.26485730634442683,0.006363099363802693,0.23539097614377333,0.0,0.0,0.1040272002430932,-0.005099093055201898,0.062171983767909667,4.999422005649844,-0.13174851843984392,4.495120418350636,0.2644971443064296,0.010438827534779926,0.23539099634797234,0.0,0.0
onpath_hc,500,0.0,0.0,0.73,0.24656885404771034,-0.1650108379487964,0.1650108379487964,25.245579465897546,-6.252890069094699,21.566837591580505,0.3265760538425709,0.23175056968219465,0.36701772451611286,0.696,0.018,0.1907521406003944,-0.01133229773053368,0.03906978394031213,12.895664500287713,0.6513351677536563,5.707405921238308,0.3022454495537406,-0.004978821525867816,0.3000542475704908,0.116,0.0
opt_s0.1_hc,500,0.0,0.0,0.03,0.03749248796406963,0.0029412077682661186,0.01921989795842116,4.162790898126827,-0.14199808074658238,2.2372912675502095,0.2358408091787231,0.007249633028154845,0.13904644382591277,0.0,0.0,0.04372792463907043,0.003124620338014139,0.01915095175981124,4.1989609829061045,-0.05097088703805519,2.2372885212147047,0.23756983940114035,-0.003029023747954329,0.13904643907561035,0.0,0.0
