model,T_arch,N_reported,D,C_6TD,C_T4,C_A,C_X,C_quoted_by_hoffmann
Gopher 280B,279697162240,2.8e+11,3e+11,5.03455e+23,4.73577e+23,4.75464e+23,4.7452e+23,6.3e+23
Chinchilla 70B,70055362560,7e+10,1.4e+12,5.88465e+23,5.63847e+23,5.68251e+23,5.66049e+23,
