key,label,group,form,n_conv,in_set,sensitivity,a,sigma_star,S2,Mstar_1e21,Mstar_1e24,share_M_extrap,share_C_extrap,n,med_w,share_gt1,med_s,med_w_lo,med_w_hi,share_gt1_lo,share_gt1_hi,med_s_lo,med_s_hi,B,sample
chin,Chinchilla refit (Besiroglu sample),Chinchilla,kappa = 1,total,True,False,0.5138995166400605,0.7367885708471132,0.3572414659612088,21.38452464385309,17.64828469179426,0.6103896103896104,0.8831168831168831,77,3.336123407238904,1.0,0.7002508966454464,2.641064584922029,4.8056231572013175,0.9090909090909091,1.0,0.6213646401793983,0.7919081828397314,400,clean
chin_cl,"Chinchilla refit, 9-cluster bootstrap",Chinchilla,kappa = 1,total,False,True,0.5138995166400605,0.7367885708471132,0.3572414659612088,21.38452464385309,17.64828469179426,0.6103896103896104,0.8831168831168831,77,3.336123407238904,1.0,0.7002508966454464,1.8312049528984253,6.477089493476759,0.8435064935064935,1.0,0.45389303256275093,0.8456096074173267,400,clean
chin_nls,"Chinchilla, NLS in levels",Chinchilla,kappa = 1,total,False,True,0.5445761265805437,0.7180720802198791,0.3926178548729987,18.271806593570943,9.870172210427755,0.6103896103896104,0.8831168831168831,77,4.578734927201664,1.0,0.7815990626452012,3.2065548085106075,6.001531764956203,0.974025974025974,1.0,0.6881388053617835,0.8333754590279979,400,clean
chin245,"Chinchilla, all 245 points",Chinchilla,kappa = 1,total,False,True,0.5646443737941063,0.713683621859235,0.40118109673705993,15.50306893984586,6.346750640508776,0.6103896103896104,0.8831168831168831,77,5.495377445604793,1.0,0.8180288779254279,3.1218781047700737,11.928351006665974,0.9737012987012987,1.0,0.6796786509158524,0.9161581633651055,400,clean
besi,Besiroglu et al. (published),Chinchilla,kappa = 1,total,True,False,0.5126121076233184,0.7370283018867925,0.3568,21.58940233164001,18.13710528255443,0.6103896103896104,0.8831168831168831,77,3.3127505226244915,1.0,0.6981360373591428,,,,,,,0,clean
hoff,Hoffmann et al. A3 (TeX),Chinchilla,kappa = 1,total,True,False,0.4564973561929178,0.7621660759879578,0.31205,33.983146558812905,61.98397891716081,0.6103896103896104,0.8831168831168831,77,2.1160272727479117,0.8831168831168831,0.527416298986836,,,,,,,0,clean
farseer,Farseer (non-emb. N),Farseer,kappa = 1,nonemb,True,False,0.5262862914401026,0.7715456830138219,0.29609953372273046,24.83750105926499,17.273890012425067,0.2597402597402597,0.948051948051948,77,2.73735338561897,1.0,0.6346836308188685,2.379575957261801,3.201099938960966,0.9090909090909091,1.0,0.5797550056685555,0.6876072713549292,400,clean
farseer_emb,Farseer (N incl. emb.),Farseer,kappa = 1,total,True,False,0.41107534815931157,0.7243633846088833,0.38052256815817026,19.819241516746818,67.70721355117544,0.37662337662337664,0.948051948051948,77,2.638470205823901,0.8831168831168831,0.620992498686285,2.2303993269717957,3.0951836623699225,0.8564935064935064,0.922077922077922,0.5516497026656758,0.676916590500997,200,clean
farseer_q,"Farseer, q-family (inner)",Farseer,kappa free,nonemb,True,False,0.5206724642363436,0.7100137965003706,0.40842333617876125,24.328946130881675,18.284728300013487,0.2597402597402597,0.948051948051948,77,3.9059880629700987,1.0,0.7439828325436295,3.768670208571479,4.062215721776141,0.987012987012987,1.0,0.7346544132022859,0.7538289184599093,200,clean
gadre_rw,Gadre et al. RefinedWeb,Gadre et al.,kappa = 1,total,True,False,0.5655649742397674,0.796064243465083,0.2561800234202607,3.351168155397674,1.354585352135306,0.45454545454545453,0.948051948051948,77,4.405684207000529,1.0,0.7730204996511044,2.1899252530399633,7.673372937317779,0.9477272727272728,1.0,0.5433632685436498,0.86967474909793,400,clean
