kN,kD,k,overhead,overhead_formula
0.2,24.03727734630977,120.18638673154885,3.8074554692619547,4.138907126971356
0.21000000000000002,19.836103257199902,94.45763455809477,3.16558168401198,3.4154190779693456
0.22,16.7108684832651,75.95849310575045,2.6763910663183217,2.869297205689797
0.23,14.32202578978618,62.26967734689643,2.2940659316508216,2.446022093762655
0.24000000000000002,12.45370867825009,51.890452826042036,1.9888900827800216,2.110619180767204
0.25,10.963577340191286,43.85430936076514,1.7408943350478214,1.8398129637395146
0.26,9.7547931198086,37.51843507618692,1.5362462111502362,1.6176200866597332
0.27,8.759665006426253,32.44320372750464,1.3651095517350886,1.4327633204546184
0.28,7.929743185857622,28.320511378062932,1.2203280920401345,1.277095700908247
0.29000000000000004,7.229618819976648,24.92972006888499,1.096589457793228,1.144608131604195
0.30000000000000004,6.632930284737783,22.109767615792606,0.9898790854213351,1.0307860936099087
0.31,6.119724201727456,19.74104581202405,0.8971145025355112,0.932181836097506
0.32,5.674671500217118,17.733348438178496,0.8158948800694779,0.8461232955985678
0.33,5.285836539233769,16.017686482526575,0.744326057947144,0.7705119439009689
0.34,4.9438119783251535,14.540623465662215,0.6808960726305524,0.7036797754361279
0.35,4.641100423742936,13.260286924979816,0.6243851483100273,0.6442864222931366
0.36,4.3716656418313455,12.143515671753738,0.5737996310592843,0.5912439987022515
0.37,4.130602244774967,11.163789850743154,0.5283228305667378,0.5436614295143241
0.38,3.913889424250194,10.29970901118472,0.4872779812150736,0.5008026796707046
0.39,3.718205155418397,9.533859372867685,0.45010001061317495,0.46205504164333133
0.4,3.540784476217182,8.851961190542955,0.416313790486873,0.4269047951080778
0.41000000000000003,3.379310280521471,8.242220196393832,0.3855172150138033,0.3949183354130512
0.42000000000000004,3.2318283656879365,7.694829442114134,0.3573679135889334,0.3657274042086829
0.43000000000000005,3.0966807621891452,7.201583167881732,0.3315727277413325,0.3390174291159267
0.44,2.972452977968427,6.755574949928243,0.3078793103061077,0.31451824258150896
0.45,2.85793193000101,6.350959844446689,0.2860693685004547,0.2919966378929091
0.46,2.7520721542900968,5.982765552804558,0.2659531909734445,0.27125035584266954
0.47000000000000003,2.653968479876292,5.646741446545302,0.24736518554185727,0.25210319434708484
0.48000000000000004,2.562833788204837,5.339237058760077,0.2301602183383218,0.23440100609626668
0.49,2.477980801692492,5.057103676923453,0.21421059282932098,0.2180084034071399
0.5,2.3988070861203434,4.797614172240687,0.19940354306017172,0.2028060300166612
0.51,2.324782632757213,4.558397319131791,0.18563914270617876,0.18868829022632072
0.52,2.255439523675167,4.337383699375321,0.17282855231108707,0.17556144918551442
0.53,2.1903632888805222,4.13276092241608,0.16089254310667678,0.16334203604925523
0.54,2.1291856448500535,3.9429363793519507,0.149760248219029,0.1519554956231195
0.55,2.0715783668201087,3.766506121491106,0.13936810175105996,0.1413350449099593
0.56,2.0172480961325006,3.6022287430937507,0.12965893383420046,0.13142069943456502
0.5700000000000001,1.9659319223637728,3.449003372568022,0.1205811957473506,0.12215844089062555
0.5800000000000001,1.9173936102952662,3.3058510522332174,0.11208829397125464,0.11349950293996836
0.5900000000000001,1.8714203658575936,3.1718989251823615,0.10413801585598037,0.1053997562066078
0.6000000000000001,1.8278200543955145,3.046366757325857,0.09669203263730886,0.09781917688313402
0.6100000000000001,1.7864188000081727,2.928555409849463,0.08971546800498542,0.09072138608472091
0.62,1.7470589071380358,2.817836946996832,0.08317652242558227,0.08407324928467341
0.63,1.709597055636561,2.713646120058033,0.07704614505103335,0.07784452695277944
0.64,1.6739027287118349,2.615473013612242,0.0712977463755744,0.07200756897667615
0.65,1.6398568398420525,2.522856676680081,0.06590694589733426,0.06653704664271931
0.66,1.6073505302158764,2.435379591236176,0.06085134994247854,0.06140971693742925
0.67,1.5762841127702585,2.3526628548809825,0.056110355556073355,0.056604214744469195
0.6799999999999999,1.5465661426231818,2.274361974445856,0.0516649769837636,0.052100869186936904
