key,label,n,clusters,g_w,g_w_lo,g_w_hi,sigma,e,g_DDstar,g_DDstar_lo,g_DDstar_hi,years_to_cap,cap_multiple,gD_epoch,gD_epoch_lo,gD_epoch_hi,gD5_uncapped_epoch,gD5_capped_epoch,year_unique_trend_epoch,year_unique_capped_epoch,year_effective_trend_epoch,year_effective_capped_epoch,gD_hat,gD_hat_lo,gD_hat_hi,gD5_uncapped_hat,gD5_capped_hat,year_unique_trend_hat,year_unique_capped_hat,year_effective_trend_hat,year_effective_capped_hat
units_ols,Decision units (primary),49,18.0,1.8575361699154302,0.9612472490583075,3.544283054712018,0.6,0.7499999999999999,1.5911200900017186,0.9707923211251498,2.5831302112392516,2.4095476615159663,3.062054342914079,3.243988709815122,1.9792593589223055,5.266507093901022,359.249911852675,107.86853180416814,2027.1507728709328,2027.1507728709328,2028.181922603018,2028.181922603018,3.5588976057777906,2.17139516311181,5.7777511464780265,570.922902160137,171.42555418258237,2027.1187051088177,2027.1187051088177,2028.0715913916472,2028.0715913916472
units_ols,Decision units (primary),49,18.0,1.8575361699154302,0.9612472490583075,3.544283054712018,0.7,1.1666666666666665,2.059492235398512,0.9549360634544116,4.376394512091909,2.4095476615159663,5.701906050816606,4.198909687311826,1.9469314905313417,8.922629081320743,1305.216839700748,200.8639185683284,2027.072120332515,2027.072120332515,2027.9113134532465,2027.9113134532465,4.606517152121306,2.1359290799320516,9.78878970160331,2074.2612913314324,319.2145844570609,2027.0505761991997,2027.0505761991997,2027.8371894679785,2027.8371894679785
units_ols,Decision units (primary),49,18.0,1.8575361699154302,0.9612472490583075,3.544283054712018,0.74,1.423076923076923,2.4138953360980966,0.9453073639215736,6.053704003938483,2.4095476615159663,8.359461685565968,4.921469640276585,1.927300418828454,12.342341451623446,2887.1812709044266,294.48297048740517,2027.0367778848038,2027.0367778848038,2027.7897154741054,2027.7897154741054,5.399219321169159,2.114392329859256,13.540469271355137,4588.33212163215,467.99474850352806,2027.0193225157534,2027.0193225157534,2027.729659146965,2027.729659146965
units_fe,Within developers,49,18.0,1.5913072149217005,0.46926221996958506,5.592729743955601,0.7,1.1666666666666665,1.7194110118964139,0.4136676152142247,7.451227197387821,3.2119169365042217,5.701906050816606,3.505549295224936,0.8433889319879316,15.191623218438124,529.3956797419085,200.8639185683284,2027.1235966276474,2027.1235966276474,2028.0884209788192,2028.0884209788192,3.845849079549681,0.9252605724889831,16.666343916794634,841.31994997743,319.2145844570609,2027.0953837682423,2027.0953837682423,2027.9913528097582,2027.9913528097582
units_big,Decision units above 1e24 FLOP,11,6.0,1.757600186697822,0.7812121717501129,4.148126518342471,0.7,1.1666666666666665,1.9308125146349004,0.7497166710134784,5.258081656319802,2.6458311027431787,5.701906050816606,3.936556415574262,1.5285285074398598,10.720220073626882,945.327732947216,200.8639185683284,2027.0889077448228,2027.0889077448228,2027.9690716319765,2027.9690716319765,4.318696042316026,1.6769097959656092,11.760881114662093,1502.3225753998702,319.2145844570609,2027.0652808939583,2027.0652808939583,2027.8877819221611,2027.8877819221611
units_wls,"Decision units, compute-weighted",49,18.0,2.208329811363223,0.382121324169148,13.082678130539016,0.7,1.1666666666666665,2.520042844270045,0.3255128616355786,20.082268354343725,1.8834208573812738,5.701906050816606,5.137884051890505,0.6636582962410389,40.9438936874326,3580.3171264231037,200.8639185683284,2027.0284166202011,2027.0284166202011,2027.7609480019983,2027.7609480019983,5.6366420745277805,0.7280826577480312,44.91850565772428,5689.869299980172,319.2145844570609,2027.0118692105987,2027.0118692105987,2027.704015568112,2027.704015568112
flagships,Flagship runs above 1e25 FLOP (descriptive),4,,1.6983437651722362,,,0.7,1.1666666666666665,1.855082384340138,,,2.817152475543036,5.701906050816606,3.782157203841116,,,773.9232267983191,200.8639185683284,2027.100167817759,2027.100167817759,2028.007812641802,2028.007812641802,4.149308589360808,,,1229.9251304312995,319.2145844570609,2027.0750938435312,2027.0750938435312,2027.9215440103803,2027.9215440103803
