scenario,scenario_label,estimator,estimator_label,param,truth,R,fail_share,mean,median,bias,mc_se_bias,median_bias,sd,rmse,mae
exog,(a) Exogenous budget,E1_pooled_huber,"Pooled Huber-LSE (ML practice, E free)",alpha,0.3478,400,0.0,0.4038601330823602,0.40164718504972863,0.05606013308236012,0.003906667515577582,0.0538471850497286,0.07813335031155165,0.09608484220230737,0.06566798052169084
exog,(a) Exogenous budget,E1_pooled_huber,"Pooled Huber-LSE (ML practice, E free)",beta,0.3658,400,0.0,0.4258163041668583,0.4173953623961999,0.060016304166858256,0.006558863762057526,0.051595362396199856,0.13117727524115053,0.14410557106403687,0.07496041715139584
exog,(a) Exogenous budget,E1_pooled_huber,"Pooled Huber-LSE (ML practice, E free)",a,0.5126121076233184,400,0.0,0.50657143370113,0.5072384979375504,-0.006040673922188401,0.005553987095680068,-0.005373609685768055,0.11107974191360136,0.11110513954074092,0.07263631361190642
exog,(a) Exogenous budget,E1_pooled_huber,"Pooled Huber-LSE (ML practice, E free)",gamma,0.17828649103139016,400,0.0,0.19693422871266658,0.1995142456265052,0.018647737681276418,0.0012418251687365497,0.021227754595115028,0.024836503374730996,0.03103301291790749,0.022321008547975044
exog,(a) Exogenous budget,E1_pooled_huber,"Pooled Huber-LSE (ML practice, E free)",sigma_star,0.7370283018867925,400,0.0,0.7075762539625806,0.7082061501226853,-0.02945204792421181,0.0011384540598626679,-0.02882215176410713,0.022769081197253356,0.03720965073540422,0.02898858469023019
exog,(a) Exogenous budget,E1_pooled_huber,"Pooled Huber-LSE (ML practice, E free)",lnMstar,2.8979598554678856,400,0.0,3.4300113645517754,3.548585820956201,0.5320515090838902,0.0762756393914266,0.6506259654883155,1.5255127878285322,1.6138308774410826,1.0781511866181894
exog,(a) Exogenous budget,E1_pooled_huber,"Pooled Huber-LSE (ML practice, E free)",sd_omega,0.25,400,0.0,0.21847739539055688,0.21912349742937043,-0.031522604609443124,0.001384400515862679,-0.030876502570629558,0.02768801031725358,0.041933088985946464,0.031860122911308436
exog,(a) Exogenous budget,E1_pooled_huber,"Pooled Huber-LSE (ML practice, E free)",tfp_growth,0.15,400,0.0,0.06948604749234967,0.06932362456116757,-0.08051395250765032,0.0005163659582583234,-0.08067637543883242,0.010327319165166467,0.08117193748913806,0.08067637543883242
exog,(a) Exogenous budget,E1b_pooled_huber_Etrue,"Pooled Huber-LSE, E fixed at truth (decomposition of E1)",alpha,0.3478,400,0.0,0.4462225883261271,0.44410935531522133,0.09842258832612703,0.0017473417200480693,0.0963093553152213,0.034946834400961385,0.10442812803251754,0.0963093553152213
exog,(a) Exogenous budget,E1b_pooled_huber_Etrue,"Pooled Huber-LSE, E fixed at truth (decomposition of E1)",beta,0.3658,400,0.0,0.4721677509130564,0.46520698636357,0.1063677509130564,0.002558503684986125,0.09940698636356998,0.0511700736997225,0.11800817317300932,0.09940698636356998
