v,I_S,I_lnMstar_center,I_S_Eknown
0.025118864315095794,1.5782592331975475e-10,9.1637318094188e-07,1.5782592332872976e-10
0.0446683592150963,1.5782262931411336e-09,2.89775855958093e-06,1.5782262936329814e-09
0.07943282347242814,1.5780629276797832e-08,9.162835018120834e-06,1.5780629323078478e-08
0.1412537544622754,1.5775685227475517e-07,2.8968608257031105e-05,1.5775685681894233e-07
0.251188643150958,1.5759983411836266e-06,9.153862541243084e-05,1.5759987937402322e-06
