scenario,sigma,median_s_models,share_w_gt1_models,median_s_decisions_49,share_w_gt1_decisions_49,n_decisions_49,median_s_decisions_56,share_w_gt1_decisions_56,n_decisions_56
"reference (kappa-free Chinchilla, sigma* = 0.701)",,0.7491366913433287,0.974025974025974,0.7345318547777187,0.9795918367346939,49,0.7357100432996362,0.9642857142857143,56
constant sigma* = 0.7,0.7,0.7500509282616311,0.974025974025974,0.7354597973558612,0.9795918367346939,49,0.736636953493925,0.9642857142857143,56
constant sigma* = 0.65,0.65,0.8248321158534945,0.974025974025974,0.8118896783770948,0.9795918367346939,49,0.8129401627255173,0.9642857142857143,56
constant sigma* = 0.622,0.622,0.859993050032674,0.974025974025974,0.8482636995816494,0.9795918367346939,49,0.849219352335961,0.9642857142857143,56
constant sigma* = 0.62,0.62,0.8623225104991608,0.974025974025974,0.8506858358588216,0.9795918367346939,49,0.8516342077722019,0.9642857142857143,56
constant sigma* = 0.6,0.6,0.8843023335917268,0.974025974025974,0.8736271652944344,0.9795918367346939,49,0.8744997453083792,0.9642857142857143,56
constant sigma* = 0.594,0.593781,0.8906550354593205,0.974025974025974,0.8802896992369305,0.9795918367346939,49,0.8811377646884115,0.9642857142857143,56
constant sigma* = 0.55,0.55,0.9291330361702683,0.974025974025974,0.92102600280616,0.9795918367346939,49,0.9216941808979489,0.9642857142857143,56
sigma*(C_i) at the lower end of its identified set (Chinchilla-Llama 3 drift),,0.9780209378878655,0.974025974025974,0.9570703872769184,0.9795918367346939,49,0.9629589067309671,0.9642857142857143,56
