year,n_units,n_models,s_agg_units,s_agg_models,median_s_units,median_w_units,median_M_models,w_agg_units,w_agg_models,m_agg_units,m_agg_models
2023,16,24,0.24168170584229384,0.27073534599212346,0.48732276107047223,1.9507044918401044,145.62996779959934,1.3187074711295725,1.3712443000003114,0.31870747112957254,0.3712443000003114
2024,27,40,0.5384500202871144,0.5847245285923777,0.7736156415553739,4.417266311464716,1217.4237713709067,2.166612596586107,2.4080401296286267,1.166612596586107,1.4080401296286267
2025,6,13,0.814274844512894,0.8291467257178425,0.7446735224229226,4.55529352087315,2437.6524345322396,5.384300243966818,5.852975333376048,4.384300243966818,4.852975333376048
