m_label,m,s_planned,g_label,g,L,phi,rho,p,s_fleet
"2025, decision units",4.384300243966818,0.814274844512894,5.06x,5.06181663761696,1.0,0.49480784452506826,1.0,1.0,0.6844814889767228
"2025, decision units",4.384300243966818,0.814274844512894,5.06x,5.06181663761696,1.0,0.49480784452506826,1.0,2.0,0.8126910191129817
"2025, decision units",4.384300243966818,0.814274844512894,5.06x,5.06181663761696,1.0,0.49480784452506826,4.4,1.0,0.33022661521012
"2025, decision units",4.384300243966818,0.814274844512894,5.06x,5.06181663761696,1.0,0.49480784452506826,4.4,2.0,0.49649677947235793
"2025, decision units",4.384300243966818,0.814274844512894,5.06x,5.06181663761696,1.0,0.49480784452506826,10.4,1.0,0.172592847970496
"2025, decision units",4.384300243966818,0.814274844512894,5.06x,5.06181663761696,1.0,0.49480784452506826,10.4,2.0,0.2943781352056118
"2025, decision units",4.384300243966818,0.814274844512894,5.06x,5.06181663761696,2.0,0.2962804304362891,1.0,1.0,0.5650249362932194
"2025, decision units",4.384300243966818,0.814274844512894,5.06x,5.06181663761696,2.0,0.2962804304362891,1.0,2.0,0.7220650907090181
"2025, decision units",4.384300243966818,0.814274844512894,5.06x,5.06181663761696,2.0,0.2962804304362891,4.4,1.0,0.2279323360915478
"2025, decision units",4.384300243966818,0.814274844512894,5.06x,5.06181663761696,2.0,0.2962804304362891,4.4,2.0,0.37124575905712515
"2025, decision units",4.384300243966818,0.814274844512894,5.06x,5.06181663761696,2.0,0.2962804304362891,10.4,1.0,0.11103379106744542
"2025, decision units",4.384300243966818,0.814274844512894,5.06x,5.06181663761696,2.0,0.2962804304362891,10.4,2.0,0.19987473281216359
"2025, decision units",4.384300243966818,0.814274844512894,5.06x,5.06181663761696,3.0,0.20395756849403063,1.0,1.0,0.4720757691311933
"2025, decision units",4.384300243966818,0.814274844512894,5.06x,5.06181663761696,3.0,0.20395756849403063,1.0,2.0,0.6413742811754974
"2025, decision units",4.384300243966818,0.814274844512894,5.06x,5.06181663761696,3.0,0.20395756849403063,4.4,1.0,0.16890357800308375
"2025, decision units",4.384300243966818,0.814274844512894,5.06x,5.06181663761696,3.0,0.20395756849403063,4.4,2.0,0.2889948857742964
"2025, decision units",4.384300243966818,0.814274844512894,5.06x,5.06181663761696,3.0,0.20395756849403063,10.4,1.0,0.07917429558400392
"2025, decision units",4.384300243966818,0.814274844512894,5.06x,5.06181663761696,3.0,0.20395756849403063,10.4,2.0,0.1467312479698344
"2025, decision units",4.384300243966818,0.814274844512894,4.2x,4.2,1.0,0.5309128127844294,1.0,1.0,0.6994904416840863
"2025, decision units",4.384300243966818,0.814274844512894,4.2x,4.2,1.0,0.5309128127844294,1.0,2.0,0.823176670521237
"2025, decision units",4.384300243966818,0.814274844512894,4.2x,4.2,1.0,0.5309128127844294,4.4,1.0,0.3459856545221589
"2025, decision units",4.384300243966818,0.814274844512894,4.2x,4.2,1.0,0.5309128127844294,4.4,2.0,0.5141000624482702
"2025, decision units",4.384300243966818,0.814274844512894,4.2x,4.2,1.0,0.5309128127844294,10.4,1.0,0.18288336600214466
"2025, decision units",4.384300243966818,0.814274844512894,4.2x,4.2,1.0,0.5309128127844294,10.4,2.0,0.30921622749712935
"2025, decision units",4.384300243966818,0.814274844512894,4.2x,4.2,2.0,0.3286603126760753,1.0,1.0,0.5903226825478833
"2025, decision units",4.384300243966818,0.814274844512894,4.2x,4.2,2.0,0.3286603126760753,1.0,2.0,0.7423935897111361
"2025, decision units",4.384300243966818,0.814274844512894,4.2x,4.2,2.0,0.3286603126760753,4.4,1.0,0.2466973012759277
"2025, decision units",4.384300243966818,0.814274844512894,4.2x,4.2,2.0,0.3286603126760753,4.4,2.0,0.39576134643661504
"2025, decision units",4.384300243966818,0.814274844512894,4.2x,4.2,2.0,0.3286603126760753,10.4,1.0,0.12169175935998561
"2025, decision units",4.384300243966818,0.814274844512894,4.2x,4.2,2.0,0.3286603126760753,10.4,2.0,0.21697896653786677
"2025, decision units",4.384300243966818,0.814274844512894,4.2x,4.2,3.0,0.22913924119418685,1.0,1.0,0.5011511513527663
"2025, decision units",4.384300243966818,0.814274844512894,4.2x,4.2,3.0,0.22913924119418685,1.0,2.0,0.6676891276420135
"2025, decision units",4.384300243966818,0.814274844512894,4.2x,4.2,3.0,0.22913924119418685,4.4,1.0,0.18588099024972474
"2025, decision units",4.384300243966818,0.814274844512894,4.2x,4.2,3.0,0.22913924119418685,4.4,2.0,0.3134901255320428
"2025, decision units",4.384300243966818,0.814274844512894,4.2x,4.2,3.0,0.22913924119418685,10.4,1.0,0.08808848091017853
"2025, decision units",4.384300243966818,0.814274844512894,4.2x,4.2,3.0,0.22913924119418685,10.4,2.0,0.16191418704569524
"2025, models",4.852975333376048,0.8291467257178425,5.06x,5.06181663761696,1.0,0.49480784452506826,1.0,1.0,0.7059939251544257
"2025, models",4.852975333376048,0.8291467257178425,5.06x,5.06181663761696,1.0,0.49480784452506826,1.0,2.0,0.8276628829033134
"2025, models",4.852975333376048,0.8291467257178425,5.06x,5.06181663761696,1.0,0.49480784452506826,4.4,1.0,0.3530639291880094
"2025, models",4.852975333376048,0.8291467257178425,5.06x,5.06181663761696,1.0,0.49480784452506826,4.4,2.0,0.5218732412738066
"2025, models",4.852975333376048,0.8291467257178425,5.06x,5.06181663761696,1.0,0.49480784452506826,10.4,1.0,0.1875818932837453
"2025, models",4.852975333376048,0.8291467257178425,5.06x,5.06181663761696,1.0,0.49480784452506826,10.4,2.0,0.3159056134900618
"2025, models",4.852975333376048,0.8291467257178425,5.06x,5.06181663761696,2.0,0.2962804304362891,1.0,1.0,0.5898010799711288
"2025, models",4.852975333376048,0.8291467257178425,5.06x,5.06181663761696,2.0,0.2962804304362891,1.0,2.0,0.7419809778740869
"2025, models",4.852975333376048,0.8291467257178425,5.06x,5.06181663761696,2.0,0.2962804304362891,4.4,1.0,0.2462967846846949
"2025, models",4.852975333376048,0.8291467257178425,5.06x,5.06181663761696,2.0,0.2962804304362891,4.4,2.0,0.39524579973462165
"2025, models",4.852975333376048,0.8291467257178425,5.06x,5.06181663761696,2.0,0.2962804304362891,10.4,1.0,0.12146146795534243
"2025, models",4.852975333376048,0.8291467257178425,5.06x,5.06181663761696,2.0,0.2962804304362891,10.4,2.0,0.21661282429398482
"2025, models",4.852975333376048,0.8291467257178425,5.06x,5.06181663761696,3.0,0.20395756849403063,1.0,1.0,0.4974371932690306
"2025, models",4.852975333376048,0.8291467257178425,5.06x,5.06181663761696,3.0,0.20395756849403063,1.0,2.0,0.6643847174425841
"2025, models",4.852975333376048,0.8291467257178425,5.06x,5.06181663761696,3.0,0.20395756849403063,4.4,1.0,0.18364333673289243
"2025, models",4.852975333376048,0.8291467257178425,5.06x,5.06181663761696,3.0,0.20395756849403063,4.4,2.0,0.3103018131116881
"2025, models",4.852975333376048,0.8291467257178425,5.06x,5.06181663761696,3.0,0.20395756849403063,10.4,1.0,0.08690240020018045
"2025, models",4.852975333376048,0.8291467257178425,5.06x,5.06181663761696,3.0,0.20395756849403063,10.4,2.0,0.15990837849686446
"2025, models",4.852975333376048,0.8291467257178425,4.2x,4.2,1.0,0.5309128127844294,1.0,1.0,0.7203975666140584
"2025, models",4.852975333376048,0.8291467257178425,4.2x,4.2,1.0,0.5309128127844294,1.0,2.0,0.8374780115876173
"2025, models",4.852975333376048,0.8291467257178425,4.2x,4.2,1.0,0.5309128127844294,4.4,1.0,0.3693118725688874
"2025, models",4.852975333376048,0.8291467257178425,4.2x,4.2,1.0,0.5309128127844294,4.4,2.0,0.5394123573558779
"2025, models",4.852975333376048,0.8291467257178425,4.2x,4.2,1.0,0.5309128127844294,10.4,1.0,0.1985516462466327
"2025, models",4.852975333376048,0.8291467257178425,4.2x,4.2,1.0,0.5309128127844294,10.4,2.0,0.33131930003753157
"2025, models",4.852975333376048,0.8291467257178425,4.2x,4.2,2.0,0.3286603126760753,1.0,1.0,0.61464063325106
"2025, models",4.852975333376048,0.8291467257178425,4.2x,4.2,2.0,0.3286603126760753,1.0,2.0,0.7613342815651657
"2025, models",4.852975333376048,0.8291467257178425,4.2x,4.2,2.0,0.3286603126760753,4.4,1.0,0.26605264514465543
"2025, models",4.852975333376048,0.8291467257178425,4.2x,4.2,2.0,0.3286603126760753,4.4,2.0,0.4202868595788243
"2025, models",4.852975333376048,0.8291467257178425,4.2x,4.2,2.0,0.3286603126760753,10.4,1.0,0.13297065426992932
"2025, models",4.852975333376048,0.8291467257178425,4.2x,4.2,2.0,0.3286603126760753,10.4,2.0,0.23472921168574096
"2025, models",4.852975333376048,0.8291467257178425,4.2x,4.2,3.0,0.22913924119418685,1.0,1.0,0.5265167399761381
"2025, models",4.852975333376048,0.8291467257178425,4.2x,4.2,3.0,0.22913924119418685,1.0,2.0,0.6898276660685273
"2025, models",4.852975333376048,0.8291467257178425,4.2x,4.2,3.0,0.22913924119418685,4.4,1.0,0.20174268069511672
"2025, models",4.852975333376048,0.8291467257178425,4.2x,4.2,3.0,0.22913924119418685,4.4,2.0,0.3357502133125935
"2025, models",4.852975333376048,0.8291467257178425,4.2x,4.2,3.0,0.22913924119418685,10.4,1.0,0.0965954135688362
"2025, models",4.852975333376048,0.8291467257178425,4.2x,4.2,3.0,0.22913924119418685,10.4,2.0,0.1761732948608081
"2025, decision units excl. Alibaba",2.1146583342497047,0.6789374972517197,5.06x,5.06181663761696,1.0,0.49480784452506826,1.0,1.0,0.5113249304544498
"2025, decision units excl. Alibaba",2.1146583342497047,0.6789374972517197,5.06x,5.06181663761696,1.0,0.49480784452506826,1.0,2.0,0.6766578386299713
"2025, decision units excl. Alibaba",2.1146583342497047,0.6789374972517197,5.06x,5.06181663761696,1.0,0.49480784452506826,4.4,1.0,0.1921194234920135
"2025, decision units excl. Alibaba",2.1146583342497047,0.6789374972517197,5.06x,5.06181663761696,1.0,0.49480784452506826,4.4,2.0,0.3223157339878719
"2025, decision units excl. Alibaba",2.1146583342497047,0.6789374972517197,5.06x,5.06181663761696,1.0,0.49480784452506826,10.4,1.0,0.09141338287167552
"2025, decision units excl. Alibaba",2.1146583342497047,0.6789374972517197,5.06x,5.06181663761696,1.0,0.49480784452506826,10.4,2.0,0.16751376573952748
"2025, decision units excl. Alibaba",2.1146583342497047,0.6789374972517197,5.06x,5.06181663761696,2.0,0.2962804304362891,1.0,1.0,0.3851949590563692
