m_label,m,s_planned,g_label,g,L,phi,rho,p,s_fleet
"2025, decision units excl. Alibaba",2.1146583342497047,0.6789374972517197,5.06x,5.06181663761696,2.0,0.2962804304362891,1.0,2.0,0.5561599203606314
"2025, decision units excl. Alibaba",2.1146583342497047,0.6789374972517197,5.06x,5.06181663761696,2.0,0.2962804304362891,4.4,1.0,0.12464496322075878
"2025, decision units excl. Alibaba",2.1146583342497047,0.6789374972517197,5.06x,5.06181663761696,2.0,0.2962804304362891,4.4,2.0,0.22166099933227015
"2025, decision units excl. Alibaba",2.1146583342497047,0.6789374972517197,5.06x,5.06181663761696,2.0,0.2962804304362891,10.4,1.0,0.05682039359524509
"2025, decision units excl. Alibaba",2.1146583342497047,0.6789374972517197,5.06x,5.06181663761696,2.0,0.2962804304362891,10.4,2.0,0.10753084240160282
"2025, decision units excl. Alibaba",2.1146583342497047,0.6789374972517197,5.06x,5.06181663761696,3.0,0.20395756849403063,1.0,1.0,0.30133473043450937
"2025, decision units excl. Alibaba",2.1146583342497047,0.6789374972517197,5.06x,5.06181663761696,3.0,0.20395756849403063,1.0,2.0,0.46311640408443594
"2025, decision units excl. Alibaba",2.1146583342497047,0.6789374972517197,5.06x,5.06181663761696,3.0,0.20395756849403063,4.4,1.0,0.08927214641631576
"2025, decision units excl. Alibaba",2.1146583342497047,0.6789374972517197,5.06x,5.06181663761696,3.0,0.20395756849403063,4.4,2.0,0.16391155637279328
"2025, decision units excl. Alibaba",2.1146583342497047,0.6789374972517197,5.06x,5.06181663761696,3.0,0.20395756849403063,10.4,1.0,0.039819832270392604
"2025, decision units excl. Alibaba",2.1146583342497047,0.6789374972517197,5.06x,5.06181663761696,3.0,0.20395756849403063,10.4,2.0,0.07658986881111522
"2025, decision units excl. Alibaba",2.1146583342497047,0.6789374972517197,4.2x,4.2,1.0,0.5309128127844294,1.0,1.0,0.5289016936702929
"2025, decision units excl. Alibaba",2.1146583342497047,0.6789374972517197,4.2x,4.2,1.0,0.5309128127844294,1.0,2.0,0.6918714209814334
"2025, decision units excl. Alibaba",2.1146583342497047,0.6789374972517197,4.2x,4.2,1.0,0.5309128127844294,4.4,1.0,0.20328813190431422
"2025, decision units excl. Alibaba",2.1146583342497047,0.6789374972517197,4.2x,4.2,1.0,0.5309128127844294,4.4,2.0,0.3378877037249458
"2025, decision units excl. Alibaba",2.1146583342497047,0.6789374972517197,4.2x,4.2,1.0,0.5309128127844294,10.4,1.0,0.09743369885887193
"2025, decision units excl. Alibaba",2.1146583342497047,0.6789374972517197,4.2x,4.2,1.0,0.5309128127844294,10.4,2.0,0.17756644243781644
"2025, decision units excl. Alibaba",2.1146583342497047,0.6789374972517197,4.2x,4.2,2.0,0.3286603126760753,1.0,1.0,0.41003098452913667
"2025, decision units excl. Alibaba",2.1146583342497047,0.6789374972517197,4.2x,4.2,2.0,0.3286603126760753,1.0,2.0,0.5815914529935833
"2025, decision units excl. Alibaba",2.1146583342497047,0.6789374972517197,4.2x,4.2,2.0,0.3286603126760753,4.4,1.0,0.13640896701896915
"2025, decision units excl. Alibaba",2.1146583342497047,0.6789374972517197,4.2x,4.2,2.0,0.3286603126760753,4.4,2.0,0.2400702053184207
"2025, decision units excl. Alibaba",2.1146583342497047,0.6789374972517197,4.2x,4.2,2.0,0.3286603126760753,10.4,1.0,0.06264118989645702
"2025, decision units excl. Alibaba",2.1146583342497047,0.6789374972517197,4.2x,4.2,2.0,0.3286603126760753,10.4,2.0,0.11789716132227236
"2025, decision units excl. Alibaba",2.1146583342497047,0.6789374972517197,4.2x,4.2,3.0,0.22913924119418685,1.0,1.0,0.32639575119105213
"2025, decision units excl. Alibaba",2.1146583342497047,0.6789374972517197,4.2x,4.2,3.0,0.22913924119418685,1.0,2.0,0.49215439795846955
"2025, decision units excl. Alibaba",2.1146583342497047,0.6789374972517197,4.2x,4.2,3.0,0.22913924119418685,4.4,1.0,0.09920076290536532
"2025, decision units excl. Alibaba",2.1146583342497047,0.6789374972517197,4.2x,4.2,3.0,0.22913924119418685,4.4,2.0,0.18049616822164805
"2025, decision units excl. Alibaba",2.1146583342497047,0.6789374972517197,4.2x,4.2,3.0,0.22913924119418685,10.4,1.0,0.04451733442382172
"2025, decision units excl. Alibaba",2.1146583342497047,0.6789374972517197,4.2x,4.2,3.0,0.22913924119418685,10.4,2.0,0.08524001078139777
"2024, decision units",1.166612596586107,0.5384500202871144,5.06x,5.06181663761696,1.0,0.49480784452506826,1.0,1.0,0.36598472452678577
"2024, decision units",1.166612596586107,0.5384500202871144,5.06x,5.06181663761696,1.0,0.49480784452506826,1.0,2.0,0.5358547836668859
"2024, decision units",1.166612596586107,0.5384500202871144,5.06x,5.06181663761696,1.0,0.49480784452506826,4.4,1.0,0.11597753233839658
"2024, decision units",1.166612596586107,0.5384500202871144,5.06x,5.06181663761696,1.0,0.49480784452506826,4.4,2.0,0.2078492245186686
"2024, decision units",1.166612596586107,0.5384500202871144,5.06x,5.06181663761696,1.0,0.49480784452506826,10.4,1.0,0.052585949442399214
"2024, decision units",1.166612596586107,0.5384500202871144,5.06x,5.06181663761696,1.0,0.49480784452506826,10.4,2.0,0.09991763517317763
"2024, decision units",1.166612596586107,0.5384500202871144,5.06x,5.06181663761696,2.0,0.2962804304362891,1.0,1.0,0.2568616650410723
"2024, decision units",1.166612596586107,0.5384500202871144,5.06x,5.06181663761696,2.0,0.2962804304362891,1.0,2.0,0.4087349820358765
"2024, decision units",1.166612596586107,0.5384500202871144,5.06x,5.06181663761696,2.0,0.2962804304362891,4.4,1.0,0.07283404468251978
"2024, decision units",1.166612596586107,0.5384500202871144,5.06x,5.06181663761696,2.0,0.2962804304362891,4.4,2.0,0.13577877220343676
"2024, decision units",1.166612596586107,0.5384500202871144,5.06x,5.06181663761696,2.0,0.2962804304362891,10.4,1.0,0.03216600761725054
"2024, decision units",1.166612596586107,0.5384500202871144,5.06x,5.06181663761696,2.0,0.2962804304362891,10.4,2.0,0.06232719810547838
"2024, decision units",1.166612596586107,0.5384500202871144,5.06x,5.06181663761696,3.0,0.20395756849403063,1.0,1.0,0.1922060606470972
"2024, decision units",1.166612596586107,0.5384500202871144,5.06x,5.06181663761696,3.0,0.20395756849403063,1.0,2.0,0.3224376506570902
"2024, decision units",1.166612596586107,0.5384500202871144,5.06x,5.06181663761696,3.0,0.20395756849403063,4.4,1.0,0.05130284045025644
"2024, decision units",1.166612596586107,0.5384500202871144,5.06x,5.06181663761696,3.0,0.20395756849403063,4.4,2.0,0.09759859571630994
"2024, decision units",1.166612596586107,0.5384500202871144,5.06x,5.06181663761696,3.0,0.20395756849403063,10.4,1.0,0.022367063591319774
"2024, decision units",1.166612596586107,0.5384500202871144,5.06x,5.06181663761696,3.0,0.20395756849403063,10.4,2.0,0.0437554463320637
"2024, decision units",1.166612596586107,0.5384500202871144,4.2x,4.2,1.0,0.5309128127844294,1.0,1.0,0.38247573908594984
"2024, decision units",1.166612596586107,0.5384500202871144,4.2x,4.2,1.0,0.5309128127844294,1.0,2.0,0.5533200016064382
"2024, decision units",1.166612596586107,0.5384500202871144,4.2x,4.2,1.0,0.5309128127844294,4.4,1.0,0.12339588982606461
"2024, decision units",1.166612596586107,0.5384500202871144,4.2x,4.2,1.0,0.5309128127844294,4.4,2.0,0.21968371247142449
"2024, decision units",1.166612596586107,0.5384500202871144,4.2x,4.2,1.0,0.5309128127844294,10.4,1.0,0.05620735114318879
"2024, decision units",1.166612596586107,0.5384500202871144,4.2x,4.2,1.0,0.5309128127844294,10.4,2.0,0.10643241799510791
"2024, decision units",1.166612596586107,0.5384500202871144,4.2x,4.2,2.0,0.3286603126760753,1.0,1.0,0.2771533342347594
"2024, decision units",1.166612596586107,0.5384500202871144,4.2x,4.2,2.0,0.3286603126760753,1.0,2.0,0.43401732087372774
"2024, decision units",1.166612596586107,0.5384500202871144,4.2x,4.2,2.0,0.3286603126760753,4.4,1.0,0.08015589683109893
"2024, decision units",1.166612596586107,0.5384500202871144,4.2x,4.2,2.0,0.3286603126760753,4.4,2.0,0.14841542237792862
"2024, decision units",1.166612596586107,0.5384500202871144,4.2x,4.2,2.0,0.3286603126760753,10.4,1.0,0.03555637145268593
"2024, decision units",1.166612596586107,0.5384500202871144,4.2x,4.2,2.0,0.3286603126760753,10.4,2.0,0.06867104955919916
"2024, decision units",1.166612596586107,0.5384500202871144,4.2x,4.2,3.0,0.22913924119418685,1.0,1.0,0.21093126906995108
"2024, decision units",1.166612596586107,0.5384500202871144,4.2x,4.2,3.0,0.22913924119418685,1.0,2.0,0.34837859828651657
"2024, decision units",1.166612596586107,0.5384500202871144,4.2x,4.2,3.0,0.22913924119418685,4.4,1.0,0.057274177196699326
"2024, decision units",1.166612596586107,0.5384500202871144,4.2x,4.2,3.0,0.22913924119418685,4.4,2.0,0.10834309289300614
"2024, decision units",1.166612596586107,0.5384500202871144,4.2x,4.2,3.0,0.22913924119418685,10.4,1.0,0.02505941578720479
"2024, decision units",1.166612596586107,0.5384500202871144,4.2x,4.2,3.0,0.22913924119418685,10.4,2.0,0.048893586852153656
