parameter_set,E,A,B,alpha,beta,huber_1e3_objective,l1_objective,w_chin70b,Mstar_576e23,scale_s_if_likelihood
Besiroglu et al. published,1.8172,482.00999999999993,2085.43,0.3478,0.3658,0.001022842773457777,1.1349570120934176,1.0305637099988985,18.391244955314153,
Huber(1e-3) optimum (this module),1.8172180965904308,477.8258471037787,2143.417418983301,0.3473104962279842,0.36717243390259796,0.0010182740178006045,1.130507709114931,1.0402021191806545,17.921010970422547,
LAD optimum (this module),1.816859443631034,482.0127253557758,2085.1619140342113,0.3478139582621024,0.36584783143267186,0.0010186452732994426,1.1294948980815929,1.0316285842480826,18.338244053635595,
"Their Huber log-likelihood with free scale, BFGS from Hoffmann (re-run)",1.8166860573718278,482.0953695722848,2076.1511038694075,0.34782651571341316,0.36563874545733627,0.0010186770394927346,1.1295067498798155,1.0305446927289685,18.391805268719,4.706960319803719e-06
