surface,output,n_runs,n_censored,R2_ols,tobit_scale,tobit_converged,center_N,center_D,n_clusters_wild,ols_n,ols_d,ols_n2,ols_d2,ols_nd,tobit_n,tobit_d,tobit_n2,tobit_d2,tobit_nd
strict,y_hellaswag,86,2,0.9936792951004968,0.09927830073912014,True,521068447.8189448,21721137199.790493,17,0.5655993072332014,0.5015953355211098,-0.12672432836443379,-0.0774052314594807,0.08284096156952339,0.5665723517273156,0.504269534211395,-0.12805679174676102,-0.07930311885872035,0.08332994317383345
strict,y_core,86,13,0.957156691245998,,,521068447.8189448,21721137199.790493,17,0.5716812989624137,0.49006286261302423,-0.1282820035461045,-0.034604565218056105,0.09427754444200692,,,,,
strict,y_arc_c,86,52,0.8774938084324848,0.4139039575408415,True,521068447.8189448,21721137199.790493,17,0.4508152873953392,0.290176740056502,0.030730170875990864,0.014062931732823608,0.20766474764831344,1.717217044736272,0.9810503188213694,-0.40472630306426804,-0.1434127425502819,0.0006738213129380559
strict,y_winogrande,86,16,0.8076678292739372,0.6021657502584449,True,521068447.8189448,21721137199.790493,17,0.4399546583304644,0.4156119499325336,-0.1533149529133952,-0.01380443971675685,0.2594795892592978,0.4777542397303573,0.45250967488587623,-0.17471204475961155,-0.02762263347322265,0.2610641085850562
legacy,y_hellaswag,88,2,0.9942010880363991,0.09953796813951522,True,557264848.1254148,24508376223.365517,19,0.5537542487198601,0.492870166705928,-0.12534386686313645,-0.07581702603666438,0.0874178889758033,0.5536612378982537,0.49567959069309153,-0.12631939846841164,-0.07719088495290179,0.08865578813066517
legacy,y_core,88,13,0.9594992797212227,,,557264848.1254148,24508376223.365517,19,0.5877081457047342,0.4664933655043553,-0.13306636459006416,-0.04308429615212078,0.0736659534431654,,,,,
legacy,y_arc_c,88,52,0.8586273712829839,0.4127386628060729,True,557264848.1254148,24508376223.365517,19,0.5654704442518496,0.22878230855245718,0.007005089805166537,-0.014694960513492533,0.12666988569986698,1.4847370135571893,0.8358220153057021,-0.34369060063675766,-0.10611664073849256,0.05694327487645461
legacy,y_winogrande,88,16,0.815123589296864,0.6269588724177511,True,557264848.1254148,24508376223.365517,19,0.5132415827337792,0.3704582800797324,-0.16918658134192832,-0.0361518488554583,0.20033339181182813,0.5460493379758156,0.4203426511975281,-0.19301673396330382,-0.052067691231239326,0.21081804831302056
