C,mine,rb1,abs_diff
1e+22,0.536197,0.536197,1.66587e-07
1e+23,0.478613,0.478613,1.35096e-07
1e+24,0.421029,0.421029,1.03606e-07
1e+25,0.363445,0.363445,7.21146e-08
