anchor,assumption,model,C,M,Mstar_lo,Mstar_hi,sign,w_lo,w_hi,s_lo,s_hi
Chinchilla (Epoch extraction),Normal inputs only,Meta-Llama-3-8B,7.2272351232e+23,1867.9342473118008,0.04568172018284338,9143.04138978276,not identified,0.20430119122059265,40890.19064595858,0.0,0.9999755442568449
Chinchilla (Epoch extraction),Normal inputs only,Qwen3-0.6B-Base,1.2874678272e+23,60397.62575590984,0.2564355594901814,1628.7517192178007,w>1,2.467693657732215,235527.4981207212,0.5947633139686432,0.9999957542112577
Chinchilla (Epoch extraction),Normal inputs only,Llama-3.1-405B,3.798787719168e+25,38.437525546170825,0.0008690997154901531,480577.6034026833,not identified,7.998193272848687e-05,44226.830202668905,0.0,0.999977389290722
Chinchilla (Epoch extraction),Normal inputs only,Llama-2-70b-hf,8.27719839744e+23,28.99531803831451,0.03988699034878176,10471.330494880724,not identified,0.002769019472023148,726.9367225948175,0.0,0.9986243644475264
Chinchilla (Epoch extraction),Slope in cross-sweep range,Meta-Llama-3-8B,7.2272351232e+23,1867.9342473118008,5.246270617383794,154.32611015154208,w>1,1.865222062182484,356.04992261022574,0.4638708064444045,0.9971914050909801
Chinchilla (Epoch extraction),Slope in cross-sweep range,Qwen3-0.6B-Base,1.2874678272e+23,60397.62575590984,6.679496102467218,98.54579606120333,w>1,4.975599793882898,9042.242832299973,0.7990192054374188,0.9998894079689579
Chinchilla (Epoch extraction),Slope in cross-sweep range,Llama-3.1-405B,3.798787719168e+25,38.437525546170825,3.0127041878420493,432.3289802963736,not identified,0.08890804757021106,12.758479807372991,0.0,0.9216207561482277
Chinchilla (Epoch extraction),Slope in cross-sweep range,Llama-2-70b-hf,8.27719839744e+23,28.99531803831451,5.14758022238165,159.86607665317223,not identified,0.18137255035800717,5.632805470858528,0.0,0.8224685718025365
Chinchilla (Epoch extraction),Cross-sweep range + M* nondecreasing,Meta-Llama-3-8B,7.2272351232e+23,1867.9342473118008,11.355784612719843,154.32611015154208,w>1,1.865222062182484,164.49187009231306,0.4638708064444045,0.9939206721922561
Chinchilla (Epoch extraction),Cross-sweep range + M* nondecreasing,Qwen3-0.6B-Base,1.2874678272e+23,60397.62575590984,11.355784612719843,98.54579606120333,w>1,4.975599793882898,5318.666020510567,0.7990192054374188,0.9998119829302792
Chinchilla (Epoch extraction),Cross-sweep range + M* nondecreasing,Llama-3.1-405B,3.798787719168e+25,38.437525546170825,11.355784612719843,432.3289802963736,not identified,0.08890804757021106,3.3848410177766297,0.0,0.7045651495156895
Chinchilla (Epoch extraction),Cross-sweep range + M* nondecreasing,Llama-2-70b-hf,8.27719839744e+23,28.99531803831451,11.355784612719843,159.86607665317223,not identified,0.18137255035800717,2.553352236518846,0.0,0.6083579908413397
Chinchilla (Epoch extraction),Anchor's own slope persists (95% CI),Meta-Llama-3-8B,7.2272351232e+23,1867.9342473118008,4.586596755639925,94.87314860607941,w>1,2.106466552951873,407.2593137853004,0.5252713608964446,0.9975445619875322
Chinchilla (Epoch extraction),Anchor's own slope persists (95% CI),Qwen3-0.6B-Base,1.2874678272e+23,60397.62575590984,6.090275606328173,70.53901103152937,w>1,5.409381670035193,9917.05953227353,0.8151359876232409,0.9998991636586686
Chinchilla (Epoch extraction),Anchor's own slope persists (95% CI),Llama-3.1-405B,3.798787719168e+25,38.437525546170825,2.391532012996045,187.38894677183845,not identified,0.20512162647977147,16.07234414479669,0.0,0.9377813223142224
Chinchilla (Epoch extraction),Anchor's own slope persists (95% CI),Llama-2-70b-hf,8.27719839744e+23,28.99531803831451,4.485467984737093,97.10998352083143,not identified,0.29858225680879263,6.464279343198571,0.0,0.8453037149373571
Chinchilla (Epoch extraction),Parametric extrapolation (point),Meta-Llama-3-8B,7.2272351232e+23,1867.9342473118008,21.030102209417475,21.030102209417475,w>1,3.0699411504954277,88.8219290953005,0.6742608568119881,0.9887415190124157
Chinchilla (Epoch extraction),Parametric extrapolation (point),Qwen3-0.6B-Base,1.2874678272e+23,60397.62575590984,20.867162645321578,20.867162645321578,w>1,7.334814188453099,2894.3861119255207,0.8636638946390408,0.9996545035937398
Chinchilla (Epoch extraction),Parametric extrapolation (point),Llama-3.1-405B,3.798787719168e+25,38.437525546170825,21.40913684069437,21.40913684069437,w>1,1.1575481518985242,1.7953795069920329,0.13610505242492554,0.44301469627700407
Chinchilla (Epoch extraction),Parametric extrapolation (point),Llama-2-70b-hf,8.27719839744e+23,28.99531803831451,21.04296770341372,21.04296770341372,w>1,1.0834408895242778,1.3779101145325008,0.07701471333698273,0.2742632560330095
Meta Llama 3 (digitized),Normal inputs only,Meta-Llama-3-8B,7.2272351232e+23,1867.9342473118008,0.16851723018519515,2905.544955565694,not identified,0.6428860251271259,11084.529725886177,0.0,0.9999097841744549
Meta Llama 3 (digitized),Normal inputs only,Qwen3-0.6B-Base,1.2874678272e+23,60397.62575590984,0.9459759841203604,517.5970598722922,w>1,3.28667693079937,63846.89122110443,0.6957413152996499,0.9999843375302873
Meta Llama 3 (digitized),Normal inputs only,Llama-3.1-405B,3.798787719168e+25,38.437525546170825,0.003206058708449136,152721.59140446517,not identified,0.00025168363682364725,11989.027351518518,0.0,0.9999165903979798
Meta Llama 3 (digitized),Normal inputs only,Llama-2-70b-hf,8.27719839744e+23,28.99531803831451,0.14714080614951866,3327.6587297812493,not identified,0.008713428988020229,197.058306237976,0.0,0.9949253598130883
Meta Llama 3 (digitized),Slope in cross-sweep range,Meta-Llama-3-8B,7.2272351232e+23,1867.9342473118008,6.688987592414688,122.3455516057554,w>1,1.9767117796593803,279.2551520696553,0.4941093535789439,0.996419045476552
Meta Llama 3 (digitized),Slope in cross-sweep range,Qwen3-0.6B-Base,1.2874678272e+23,60397.62575590984,8.516348052069418,78.1244325130535,w>1,5.273005784593206,7091.963055835127,0.8103548448739002,0.9998589953173576
Meta Llama 3 (digitized),Slope in cross-sweep range,Llama-3.1-405B,3.798787719168e+25,38.437525546170825,3.8411935643038926,342.7386818573623,not identified,0.11214819797366025,10.006661966574585,0.0,0.9000665753134945
Meta Llama 3 (digitized),Slope in cross-sweep range,Llama-2-70b-hf,8.27719839744e+23,28.99531803831451,6.5631574788341105,126.73748668954518,not identified,0.2287824920289065,4.417891560856663,0.0,0.7736476809751998
