year,n,share_lt1,share_lt1_allband
2019,4.0,0.0,0.0
2020,10.0,0.2,0.0
2021,19.0,0.47368421052631576,0.05263157894736842
2022,34.0,0.4117647058823529,0.0
2023,97.0,0.17525773195876287,0.0
2024,106.0,0.0,0.0
2025,61.0,0.01639344262295082,0.0
2026,4.0,0.0,0.0
