corpus,conv,sample,scheme,statistic,estimate,pop,se,ci_lo,ci_hi,n_draws,n_obs,n_widths,bw_hx,bw_hz,bw_mx,bw_mz
edu,P,main,wild,sig_chin,0.7198990609785932,0.7198990609785932,0.014652759764248438,0.6911601647727745,0.7464869154307388,999,44,8,0.5888994530112819,0.6786272791121187,0.4,0.6
edu,P,main,wild,sig_kappa,0.6621583106378347,0.6621583106378347,0.01446165074975011,0.6350082153303718,0.6864658056673966,999,44,8,0.5888994530112819,0.6786272791121187,0.4,0.6
edu,P,main,wild,sig_chin_nls,0.7172337692552757,0.7172337692552757,0.015372529320828962,0.6863862962547833,0.7434313180258959,999,44,8,0.5888994530112819,0.6786272791121187,0.4,0.6
edu,P,main,wild,sig_kappa_nls,0.6691935443270791,0.6691935443270791,0.020835773105119602,0.6318540473682501,0.7066820925502113,999,44,8,0.5888994530112819,0.6786272791121187,0.4,0.6
edu,P,main,wild,kappa,0.35794954351119285,0.35794954351119285,0.09291163353217902,0.19270272288389356,0.49664870618166623,999,44,8,0.5888994530112819,0.6786272791121187,0.4,0.6
edu,P,main,wild,kappa_nls,0.46509356583165296,0.46509356583165296,0.08984928664177656,0.3014222567071596,0.5949738433947049,999,44,8,0.5888994530112819,0.6786272791121187,0.4,0.6
edu,P,main,wild,alpha,0.2790729796022007,0.2790729796022007,0.008987273888300222,0.25898467313105117,0.297862921926369,999,44,8,0.5888994530112819,0.6786272791121187,0.4,0.6
edu,P,main,wild,beta,0.4990942780148665,0.4990942780148665,0.050379162441417207,0.40762426021724407,0.5907547916865133,999,44,8,0.5888994530112819,0.6786272791121187,0.4,0.6
edu,P,main,wild,a1,0.39375006483880354,0.39375006483880354,0.027368082318628712,0.34452871628873527,0.44339123605354597,999,44,8,0.5888994530112819,0.6786272791121187,0.4,0.6
edu,P,main,wild,b1,0.6266756669978443,0.6266756669978443,0.03885426951827504,0.5601679348201275,0.6966764006989257,999,44,8,0.5888994530112819,0.6786272791121187,0.4,0.6
edu,P,main,wild,a_chin,0.6413714701171206,0.6413714701171206,0.019762752475025035,0.6062967083940171,0.683088167400831,999,44,8,0.5888994530112819,0.6786272791121187,0.4,0.6
