conv,k_C,Cmin,Cmax,sigma_mean,sigma_re,se_re,tau,I2,p_Q,se,lo,hi,drift_per_decade,se_drift,lo_drift,hi_drift,p_drift,B
ne,8,5e+18,1e+21,0.7066120088257621,0.7028660618499879,0.013297918713748379,0.03306559883327745,0.8494591882362206,6.989542060249508e-08,0.004839389850533565,0.6998925601387409,0.7174589714175852,-0.01529778158438963,0.008412747778311835,-0.03176370519765283,-0.002135101112631106,0.048,999
emb,8,5e+18,1e+21,0.6834694487367797,0.6737676594548975,0.018862179443235573,0.04903881432745136,0.915856934154253,3.0722553905685873e-15,0.005513082680298456,0.6750651727817998,0.695630798421795,-0.02259892705846075,0.011261777478631293,-0.044178121957314964,-0.004317120343925705,0.023,999
