set,tau,rationale,level,year,n,share_identified,share_identified_cw
"PI-3 own-lab anchors (Meta, Marin, DeepSeek)",4.4,both (3.4 x 1.3),model,2025,13,0.7692307692307693,0.48646881457147517
"PI-3 own-lab anchors (Meta, Marin, DeepSeek)",4.4,both (3.4 x 1.3),decision,all,49,0.6122448979591837,0.13694133650117749
"PI-3 own-lab anchors (Meta, Marin, DeepSeek)",4.4,both (3.4 x 1.3),decision,2023,16,0.25,0.02386630148522716
"PI-3 own-lab anchors (Meta, Marin, DeepSeek)",4.4,both (3.4 x 1.3),decision,2024,27,0.8518518518518519,0.08157910141232513
"PI-3 own-lab anchors (Meta, Marin, DeepSeek)",4.4,both (3.4 x 1.3),decision,2025,6,0.5,0.42637120327361794
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),1.0,none,model,all,77,0.23376623376623376,0.027536777559981653
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),1.0,none,model,2023,24,0.0,0.0
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),1.0,none,model,2024,40,0.325,0.014509831926085646
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),1.0,none,model,2025,13,0.38461538461538464,0.09596024165154965
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),1.0,none,decision,all,49,0.16326530612244897,0.004334362999269115
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),1.0,none,decision,2023,16,0.0,0.0
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),1.0,none,decision,2024,27,0.25925925925925924,0.002961012844845988
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),1.0,none,decision,2025,6,0.16666666666666666,0.012328080303949846
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),1.3,tokenizer,model,all,77,0.2077922077922078,0.025224899835848108
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),1.3,tokenizer,model,2023,24,0.0,0.0
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),1.3,tokenizer,model,2024,40,0.3,0.014319561578168705
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),1.3,tokenizer,model,2025,13,0.3076923076923077,0.08365864251211033
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),1.3,tokenizer,decision,all,49,0.12244897959183673,0.0020224852751355715
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),1.3,tokenizer,decision,2023,16,0.0,0.0
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),1.3,tokenizer,decision,2024,27,0.2222222222222222,0.002770841409352241
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),1.3,tokenizer,decision,2025,6,0.0,0.0
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),1.84,DataDecide tilt (0.26 x reference),model,all,77,0.14285714285714285,0.01006298132942807
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),1.84,DataDecide tilt (0.26 x reference),model,2023,24,0.0,0.0
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),1.84,DataDecide tilt (0.26 x reference),model,2024,40,0.225,0.006580791226138694
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),1.84,DataDecide tilt (0.26 x reference),model,2025,13,0.15384615384615385,0.02978809425604108
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),1.84,DataDecide tilt (0.26 x reference),decision,all,49,0.10204081632653061,0.0017997407260477967
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),1.84,DataDecide tilt (0.26 x reference),decision,2023,16,0.0,0.0
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),1.84,DataDecide tilt (0.26 x reference),decision,2024,27,0.18518518518518517,0.0024656773481313114
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),1.84,DataDecide tilt (0.26 x reference),decision,2025,6,0.0,0.0
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),3.4,DataDecide M* factor,model,all,77,0.1038961038961039,0.008188306331453423
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),3.4,DataDecide M* factor,model,2023,24,0.0,0.0
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),3.4,DataDecide M* factor,model,2024,40,0.15,0.004011116719605021
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),3.4,DataDecide M* factor,model,2025,13,0.15384615384615385,0.02978809425604108
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),3.4,DataDecide M* factor,decision,all,49,0.08163265306122448,0.0006119647889965151
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),3.4,DataDecide M* factor,decision,2023,16,0.0,0.0
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),3.4,DataDecide M* factor,decision,2024,27,0.14814814814814814,0.0008384028300544177
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),3.4,DataDecide M* factor,decision,2025,6,0.0,0.0
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),4.4,both (3.4 x 1.3),model,all,77,0.09090909090909091,0.006435089076293856
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),4.4,both (3.4 x 1.3),model,2023,24,0.0,0.0
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),4.4,both (3.4 x 1.3),model,2024,40,0.125,0.0016079280656432504
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),4.4,both (3.4 x 1.3),model,2025,13,0.15384615384615385,0.02978809425604108
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),4.4,both (3.4 x 1.3),decision,all,49,0.08163265306122448,0.0006119647889965151
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),4.4,both (3.4 x 1.3),decision,2023,16,0.0,0.0
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),4.4,both (3.4 x 1.3),decision,2024,27,0.14814814814814814,0.0008384028300544177
PI-4 all ex-ante technologies as anchors (with bootstrap-t IsoFLOP anchors),4.4,both (3.4 x 1.3),decision,2025,6,0.0,0.0
