C,Mstar_lo,Mstar_hi,n_anchors,set
1e+23,3.236024570865798,57.328207215479985,5,PI-1
1e+24,2.259497215768423,88.81972886760842,5,PI-1
1e+25,1.5776541729716616,137.61016817538413,5,PI-1
1e+23,8.009047968362925,57.328207215479985,5,PI-2
1e+24,8.009047968362925,88.81972886760842,5,PI-2
1e+25,8.009047968362925,137.61016817538413,5,PI-2
1e+23,14.529070710741573,36.776947161324685,1,PI-3 Meta anchor
1e+24,10.144667971368305,56.979253915429986,1,PI-3 Meta anchor
1e+25,7.083335906213175,88.27908859638214,1,PI-3 Meta anchor
1e+23,0.395964408955701,1609.1972872679773,30,PI-4 (total-N anchors)
1e+24,0.2764751811941354,3293.068315950109,30,PI-4 (total-N anchors)
1e+25,0.19304393043285278,6738.949300570493,30,PI-4 (total-N anchors)
