C,Mstar_eq3,Mstar_farseer_chin,Mstar_chin,Mstar_meta_a2
1e+19,32.292098331831525,31.641208636489008,24.305114275342984,13.431716996249538
1e+20,25.219000633962352,28.033703876320374,22.798098938129414,15.910718311322103
1e+21,28.29569655544326,24.83750105926499,21.38452464385309,18.847252160905857
1e+22,42.699262614998965,22.005706473559357,20.05859767012141,22.325762235636855
1e+23,82.39043256928127,19.496772893737432,18.814883528750943,26.44627742796816
1e+24,195.18629633656877,17.273890012425067,17.64828469179426,31.327288287638048
