param_set,alpha,beta,a_true,a_kaplan_range,a_small_limit,max_abs_err_closed_form,max_abs_err_bruteforce_lnN
Besiroglu et al. (2024),0.3478,0.3658,0.5126121076233184,0.7924035526750317,0.7593412676446166,9.321637863191068e-05,1.1129620514083172e-07
"Hoffmann et al. (2022), TeX precision",0.3392,0.2849,0.4564973561929178,0.7566066287114821,0.7158891029399448,0.00012070947888553896,1.5975321687733413e-07
"Hoffmann et al. (2022), rounded",0.34,0.28,0.45161290322580644,0.7524273084599385,0.711864406779661,0.00012235256463399846,7.57237845760983e-08
