model,k,rmse_in,loglik,aic,bic,hold out N >= 3.8e9 (4 largest sizes),hold out top 10% of 6ND
Chinchilla (Huber),5,0.008740398667042446,1341.6278210011799,-2671.2556420023598,-2647.247152734593,0.012646021938177873,0.02474738558462361
Chinchilla (NLS),5,0.008499126619348516,1352.936748643015,-2693.87349728603,-2669.8650080182633,0.013794176976664227,0.021950747521772573
Kaplan-q (NLS),6,0.0024680519746638602,1852.4965825340676,-3690.993165068135,-3662.983260922407,0.0035695021072859492,0.005232049276953739
"Translog in ln(L-E), E free (NLS)",7,0.0020513375492795588,1927.2111797394746,-3838.422359478949,-3806.41104045526,0.003318896163323304,0.0046865540147664
Farseer Eq. 3 (NLS),9,0.0017646923921754687,1988.0195024643967,-3956.0390049287935,-3916.024856149182,0.0026328296806512486,0.0025791314284628226
