design,n_budgets,C_min,C_max,decades,E_hat,gamma_hat,E_lo,E_hi,E_at_boundary,gamma_lo,gamma_hi,L_min,gamma_at_joint_E_kappafree,gamma_at_joint_E_kappa1,joint_E_q_in_set
Chinchilla,9,6e+18,3e+21,2.6989700043360187,1.7445649597355655,0.16816726992189018,1.684028005296792,1.7977641015150938,False,0.15669049178459027,0.1796945819134909,2.2014437977735843,0.1707592375161338,0.1843024026625002,1.0
Llama 3,8,6e+18,1e+21,2.221848749616356,0.5568674241154686,0.12732286510601049,0.5200700172355919,0.5850787693900409,False,0.1111194653913392,0.143315197116235,0.7360481375975356,,,
"Marin, DCLM",7,3e+18,3e+20,2.0,1.6467322451711202,0.1016828691472735,1.2783191753055092,1.9014070518567439,False,0.0833692304946126,0.1198499622448473,2.967185126434451,,,
"Marin, Nemotron-CC",7,3e+18,3e+20,2.0,1.5144046054706164,0.09977886080807255,1.3685550447511348,1.6383767320821756,False,0.09219153078387891,0.10727803877358899,2.9170912143896306,,,
"Marin, Comma",5,3e+18,3e+20,2.0,1.435387284296968,0.08328350334365964,0.0,2.4183155333264135,True,0.04885563674682664,0.1608991260438666,3.1205071397760173,,,
