convention,sigma_kappa,scale,median_s_units,median_s_models,share_gt1_units
T (ra1 reproduction),0.666932,1.1683508004867273,0.7876538239533334,0.8012386633409502,0.9795918367346939
N_F (T4),0.655998,1.2268186210550183,0.8034976693197695,0.8166764293694317,0.9795918367346939
