path,corpus,conv,n_budgets,n_groups,df_resid,C_J,Mstar_J,Mstar_J_lo,Mstar_J_hi,e,e_lo,e_hi,resid_sd_pooled,q_sup,q_boot,q_normal,q_grid,crit_rule,q_anchor_pointwise,B,studentize,simultaneous,C_band_lo,C_band_hi
Chinchilla,Chinchilla,total,9.0,1.0,7.0,3.0000000000000094e+21,20.65915521525489,13.790105653556932,30.949776958228533,-0.0033086562576918888,-0.12204386297128077,0.11542655045589699,0.2711169154251895,2.725557476460201,2.7254630754582188,2.725557476460201,2.7254630689631703,max,2.364624251592784,9999.0,pooled,True,4.7943562070580553e+20,3.996848041352849e+25
Llama 3,Llama 3,total,8.0,1.0,6.0,9.999999999999983e+20,15.062172299773199,11.155380481199321,20.33718480247338,0.008268003741692398,-0.08587714672908008,0.10241315421246487,0.18514650138803732,2.8706831805146376,2.8706831805146376,2.7637103448088047,2.8706831805146376,max,2.6185293883544887,9999.0,pooled,True,4.7943562070580553e+20,3.996848041352849e+25
Marin,DCLM,total,19.0,3.0,15.0,2.9999999999999954e+20,15.03313674894397,12.19711010459446,18.528585753056444,0.1984999385410169,0.13231030513975195,0.2646895719422819,0.20162966712747166,2.767447380916946,2.6979822654327887,2.767447380916946,2.6979797771423555,max,2.131449545559776,9999.0,pooled,True,2.9999999999999954e+20,3.996848041352849e+25
Marin,Nemotron-CC,total,19.0,3.0,15.0,2.9999999999999954e+20,15.5155295748299,12.48415373678432,19.28297769019858,0.1984999385410169,0.13231030513975195,0.2646895719422819,0.20162966712747166,2.767447380916946,2.6979822654327887,2.767447380916946,2.6979797771423555,max,2.2163113690960974,9999.0,pooled,True,2.9999999999999954e+20,3.996848041352849e+25
Marin,Comma,total,19.0,3.0,15.0,2.9999999999999954e+20,20.803111328909182,16.173467503111656,26.75798748040443,0.1984999385410169,0.13231030513975195,0.2646895719422819,0.20162966712747166,2.767447380916946,2.6979822654327887,2.767447380916946,2.6979797771423555,max,2.25085806098288,9999.0,pooled,True,2.9999999999999954e+20,3.996848041352849e+25
DeepSeek LLM law,published law,ds,,,,3e+20,20.626944908335126,,,-0.04859999999999998,,,,,,,,,,,,,,
