target,attenuation,R2_lnD_on_X,required_reliability,implied_noise_sd,sd_lnD
beta_data: Ho 0.040 vs Besiroglu 0.366,0.10825587752870422,0.7806731274521017,0.8044165505054007,1.8002384536020077,4.070652067839494
gamma: Ho 0.025 vs Chinchilla E=0 refit,0.47645910102808026,0.7806731274521017,0.8851734119775736,1.3793840933615846,4.070652067839494
