technology,study,n_obs,sigma_star,se_sigma_star,sigma_star_q,se_sigma_star_q,sigma_kappa_ra1,se_sigma_kappa_wild
Chinchilla,Hoffmann et al. (2022),240,0.7367885709473568,0.0061602868250986,0.7005534249155089,0.0140178339395276,0.7005534219623528,0.011562402234116488
Farseer,Li et al. (2025),404,0.7715456830138219,0.0102766241841234,0.7100137965003706,0.0025547957636765,0.7100137957247379,0.0038033051572511183
"Gadre, C4",Gadre et al. (2025),34,0.7952908342556049,0.0195252468445287,0.6067287961698127,0.0538451746595743,0.6067287961698127,0.04539839720959178
"Gadre, RedPajama",Gadre et al. (2025),35,0.7948841498996213,0.0130375196645968,0.6231797839540552,0.0589226453579437,0.6231797839540552,0.05179649334893955
"Gadre, RefinedWeb",Gadre et al. (2025),35,0.796064243465083,0.0146588191236848,0.594477159190701,0.0623370300904487,0.594477159190701,0.050759227215629796
OLMo ladder,Bhagia et al. (2024),30,0.8249713524417156,0.0338409099440554,0.5441918103531439,0.0211359204387029,0.5441918103531439,0.018555582992355792
Muennighoff,Muennighoff et al. (2023),33,0.734547630504754,0.0307177181083405,0.5107306168712504,0.0555983378260319,0.5107306168712504,0.047009072455060655
