M,T_over_D,lo95,hi95,se_ln_w
1.0,-1.9276646887191216,-2.1455720080386222,-1.5563256583678187,0.13860997224850838
1.1220184543019633,-1.8826411311014053,-2.109551375637132,-1.4941462828876653,0.13867301761276038
1.2589254117941673,-1.835727193936144,-2.072271536116339,-1.4321655803948765,0.13874560254706197
1.4125375446227544,-1.7868435068887207,-2.0329774963614584,-1.3676414712746163,0.13882771208835512
1.5848931924611136,-1.7359073671455842,-1.9919447224149107,-1.3004617248603143,0.13891932934782264
1.7782794100389228,-1.6828325994952784,-1.9491704684200546,-1.2274396402146255,0.13902043552813395
1.9952623149688797,-1.6275294105347609,-1.9045808080239788,-1.1500737564330112,0.1391310099425606
2.23872113856834,-1.569904236754371,-1.858098676006182,-1.0691228307814251,0.13925103003591538
2.51188643150958,-1.5098595862444188,-1.8096437349757342,-0.9845835402280124,0.13938047140726534
2.8183829312644537,-1.4472938737555965,-1.7591322364060724,-0.9015524602141778,0.13951930783436853
3.1622776601683795,-1.3821012488341597,-1.7064790903747518,-0.8151005524681186,0.13966751129977453
3.548133892335755,-1.314171416741122,-1.6527976623864251,-0.7250868763104366,0.13982505201853385
3.981071705534973,-1.2433894518524662,-1.5968851268814521,-0.6313646840037489,0.13999189846744825
4.466835921509632,-1.1696356032247088,-1.538820424447087,-0.5337811814813832,0.14016801741580218
5.011872336272724,-1.0927850919968431,-1.4784045180509837,-0.43217727921691973,0.14035337395750247
5.623413251903491,-1.0127079002859058,-1.4154868296092766,-0.3263873328283163,0.1405479315445592
6.309573444801933,-0.9292685512190225,-1.3501857192492261,-0.21623887299361694,0.1407516520218334
7.07945784384138,-0.8423258797297803,-1.2834682750977455,-0.1015523242378184,0.14096449566297933
7.943282347242816,-0.7517327937311464,-1.2129592747514786,0.017859287867698484,0.1411864212075035
8.912509381337456,-0.6573360252608846,-1.138764847225492,0.14219064157063688,0.14141738589886554
10.0,-0.5589758711784576,-1.0614896603124664,0.2716444363653123,0.14165734552354278
11.220184543019636,-0.4564859229747049,-0.9811415372845091,0.4064317234998859,0.1419062544509781
12.589254117941675,-0.3496927852371903,-0.897605628892206,0.5467948525023119,0.1421640656743353
14.125375446227547,-0.238415782294901,-0.8113453597325834,0.6937494549394586,0.14243073085198063
15.848931924611142,-0.1224666525460123,-0.7226573245303537,0.8480659688991994,0.14270620034961196
17.78279410038923,-0.0016492299515431519,-0.6297678962369768,1.008862331948091,0.14299042328295794
19.952623149688797,0.12424088784393295,-0.5297242017401894,1.1763781700245775,0.14328334756096744
20.0,0.12688903094732518,-0.5276195182340502,1.1799015860181203,0.14328947287031663
22.3872113856834,0.255416685326016,-0.42545763913592904,1.3508942978381187,0.14358491992941372
25.11886431509581,0.39210008944368524,-0.3187907856008974,1.5327032663581388,0.14389508601483555
28.18382931264455,0.5345223450716401,-0.2078751404142121,1.722109853343283,0.14421379036874163
31.622776601683793,0.6829244062369595,-0.0924654108135946,1.9194315743740582,0.14454097651200304
35.48133892335755,0.8375573437719892,0.027804703359401585,2.125445683198288,0.14487658697936354
39.810717055349734,0.9986827700831173,0.15704319204115846,2.3466074360959306,0.1452205633639961
44.668359215096324,1.166573281754097,0.28827858072473056,2.5773186541259943,0.1455728463620375
50.11872336272725,1.3415129207327072,0.4230154551116464,2.81853320877855,0.14593337581703494
56.23413251903491,1.5237976548810057,0.5632731777040285,3.0702728722503423,0.14630209076424086
63.09573444801933,1.713735878702187,0.7092779662203565,3.33291134131553,0.1466789294746932
70.79457843841381,1.9116489350911825,0.8612653077210496,3.6069207811542476,0.1470638294990223
79.43282347242817,2.117871658991718,1.0194803384239421,3.8881645964334863,0.14745672771092755
89.12509381337459,2.3327529438796093,1.1841782390829394,4.176340694181765,0.1478575603502688
100.0,2.5566563320306654,1.3556246465675277,4.481932834019685,0.14826626306572158
112.20184543019641,2.789960629571886,1.5340960823070247,4.803708271680057,0.1486827709569464
125.89254117941675,3.033060547356421,1.7198803982905695,5.139338577785774,0.1491070186162255
141.2537544622754,3.2863673687466584,1.9132772413422656,5.490174107861858,0.14953894016952474
158.48931924611142,3.5503096454351146,2.114598536420259,5.856618042796094,0.14997846931693767
177.82794100389228,3.8253339224803757,2.321896482432677,6.238896516210726,0.15042553937247544
199.52623149688807,4.111905493784771,2.535758403542145,6.637694553513301,0.15088008330316607
223.872113856834,4.410509189291815,2.757837699752568,7.053726849369245,0.15134203376743072
251.18864315095823,4.721650195235344,2.9888292958617093,7.48773905417192,0.15181132315270693
281.8382931264455,5.045854908827922,3.23442147114596,7.940509116356888,0.15228788361229104
316.22776601683796,5.3836718288346805,3.4937710688616,8.412848682987384,0.1527716471013761
341.0,5.612624090192888,3.6694904275407256,8.733286148461234,0.15309242669590237
354.81338923357566,5.735672483539125,3.7639122569648555,8.905604561143218,0.15326254541226225
398.1071705534973,6.102452397670946,4.044934659199737,9.423365153864996,0.1537605102087195
446.6835921509635,6.4846320999317335,4.337542275535204,9.971557306673894,0.1542654730594871
501.18723362727246,6.8828581728230915,4.642130829201319,10.528604082240948,0.1547773654708937
562.341325190349,7.297804346553322,4.955267226778025,11.106698129738907,0.1552961189185856
630.9573444801937,7.730172638873382,5.281234435334793,11.709504485558305,0.15582166487835375
707.945784384138,8.180694542770484,5.620558201064997,12.338079961514905,0.15635393485605067
794.3282347242822,8.650132264028791,5.973785812837571,12.993526581206963,0.15689286041659098
891.2509381337459,9.139280010750827,6.341486984920342,13.67699351498939,0.15743837321203275
1000.0,9.648965337021373,6.7242547758736135,14.389679097793367,0.1579904050087358
1122.018454301964,10.180050542987061,7.122706545096059,15.13283293333962,0.1585488877135978
1258.9254117941675,10.733434133720234,7.537484948565741,15.907758088445837,0.15911375339936948
1412.5375446227554,11.310052339335495,7.969258975382408,16.720660880827527,0.15968493432905087
1584.893192461114,11.910880698930416,8.418725026782758,17.57239278990411,0.1602623629793748
1778.2794100389228,12.536935711030395,8.886608039369273,18.460945330203636,0.16084597206338147
1875.0,12.833698713261457,9.108237671093526,18.8825035904251,0.16111650416186968
1995.262314968881,13.189276553329771,9.373662654364095,19.38791176168278,0.16143569455209378
2238.72113856834,13.86900687463881,9.87968957209993,20.354954350580744,0.16203146369530025
2511.886431509582,14.577276662068211,10.403891102229961,21.365669458221834,0.16263321304145573
2818.382931264455,15.315284186610016,10.94944547670631,22.42144944118882,0.16324087645671126
3162.2776601683795,16.084278030406587,11.515814934378893,23.523019664820605,0.1638543881430846
3548.1338923357566,16.885559199137468,12.094222151955435,24.689208690643056,0.16447368265578433
3981.0717055349733,17.720483323097753,12.700197699092634,25.911263608424996,0.16509869491970036
4466.835921509635,18.59046295069211,13.329390239862041,27.18725988326465,0.16572936024507717
5000.0,19.477917392643235,13.969933861506,28.4915485700151,0.16635245161072718
5011.872336272725,19.49696993822433,13.983673055124003,28.51957875918299,0.1663656143423829
5623.413251903491,20.441537940025725,14.664181868587026,29.91070661263925,0.16700739333639103
6309.573444801937,21.425765003135268,15.37196832641258,31.36323959469264,0.1676546337794908
7079.457843841381,22.451316270920945,16.108126261733982,32.86894427138706,0.1683072726642435
7943.282347242822,23.519926800216837,16.873793387660655,34.4042535480112,0.1689652474352002
8912.509381337459,24.633404496741576,17.670153058250822,36.00530103279156,0.1696284960000014
10000.0,25.793633173764785,18.510126129215667,37.67490241491127,0.1702969567397733
