scheme,draws,share_grid_better,max_abs_dalpha,max_abs_dbeta,sd_beta_warm,sd_beta_grid,sd_alpha_warm,sd_alpha_grid
pairs,40,0.0,1.4103387679931245e-08,1.0136605055333092e-08,0.014839412636793581,0.014839413371302327,0.013761591851863616,0.013761591769169485
cluster,40,0.0,3.4663137860047044e-08,1.2886015587909583e-08,0.0504725104924556,0.05047250986301459,0.02209616944580871,0.02209616991045508
