sample,n,theta_naive,se_naive,theta_year,se_year,tau,se_tau,inflation,inflation_lo,inflation_hi,sA_from_inflation,g_phys,g_A,sA_from_rates,inflation_formula,corr_lnC_year
All rows (n=231),231,0.028189908111819175,0.002022157879022578,0.02459072093885794,0.0018164425442921278,0.02123886765000039,0.002452150836645311,1.1463636296760151,1.0973087637851935,1.214071651490047,0.12767644217514162,1.1174446504158007,0.8636943871148977,0.43595849193472597,1.7729191658786119,0.6175124977503728
Record-setting releases,36,0.03293401775569689,0.0023558851922147787,0.022831626918692706,0.0026904704488948626,0.03519197852150732,0.006710843263112794,1.442473542204439,1.2433182221046812,1.7847046344763047,0.30674638338824245,2.643123297849329,1.5413697257244052,0.3683528009345348,1.5831622486089072,0.8723658780003426
