design,budget_C,log10C,sigma,sigma_pop,S,S_pop,se_sigma,n_draws_finite,B
Llama 3,6e+18,18.7782,0.681873,0.694376,0.933099,0.880286,0.0272114,999,999
Llama 3,1e+19,19,0.675863,0.692281,0.95918,0.889002,0.025731,999,999
Llama 3,3e+19,19.4771,0.73378,0.71527,0.725614,0.796146,0.0232072,999,999
Llama 3,6e+19,19.7782,0.749479,0.710371,0.668519,0.815429,0.0284363,999,999
Llama 3,1e+20,20,0.669879,0.674652,0.985613,0.964493,0.0498105,999,999
Llama 3,3e+20,20.4771,0.618143,0.617637,1.2355,1.23815,0.013499,999,999
Llama 3,6e+20,20.7782,0.584783,0.593055,1.42007,1.37237,0.0151337,999,999
Llama 3,1e+21,21,0.609459,0.608625,1.2816,1.2861,0.0166275,999,999
"Marin, Comma",3e+18,18.4771,0.740465,0.733233,0.701007,0.727645,0.121783,999,999
"Marin, Comma",9e+18,18.9542,0.718777,0.706099,0.782503,0.832464,0.0397501,999,999
"Marin, Comma",1.8e+19,19.2553,0.673549,0.687668,0.969344,0.908378,0.036878,999,999
"Marin, Comma",1.8e+20,20.2553,0.760148,0.764424,0.631067,0.616348,0.141338,999,999
"Marin, Comma",3e+20,20.4771,0.685774,0.720323,0.916413,0.776532,0.0892387,999,999
"Marin, DCLM",3e+18,18.4771,0.728336,0.71596,0.745986,0.793454,0.153944,999,999
"Marin, DCLM",9e+18,18.9542,0.70026,0.704442,0.856081,0.839128,0.0446188,999,999
"Marin, DCLM",1.8e+19,19.2553,0.690845,0.692597,0.895004,0.887683,0.053159,999,999
"Marin, DCLM",3e+19,19.4771,0.735267,0.691675,0.720101,0.891532,0.112368,999,999
"Marin, DCLM",9e+19,19.9542,0.767335,0.707095,0.606425,0.828474,0.118124,999,999
"Marin, DCLM",1.8e+20,20.2553,0.697319,0.706902,0.868127,0.829248,0.0715371,999,999
"Marin, DCLM",3e+20,20.4771,0.736857,0.708526,0.714231,0.822763,0.0599608,999,999
"Marin, Nemotron-CC",3e+18,18.4771,0.750192,0.743194,0.665984,0.691087,0.0946064,999,999
"Marin, Nemotron-CC",9e+18,18.9542,0.700208,0.709839,0.856294,0.817542,0.0446107,999,999
"Marin, Nemotron-CC",1.8e+19,19.2553,0.712583,0.706357,0.806691,0.83143,0.0658653,999,999
"Marin, Nemotron-CC",3e+19,19.4771,0.713105,0.695703,0.804636,0.874789,0.0778009,999,999
"Marin, Nemotron-CC",9e+19,19.9542,0.722296,0.693288,0.768947,0.884805,0.0731674,999,999
"Marin, Nemotron-CC",1.8e+20,20.2553,0.669653,0.696206,0.986623,0.872713,0.0425032,999,999
"Marin, Nemotron-CC",3e+20,20.4771,0.732649,0.706271,0.729819,0.831773,0.0519995,999,999
Chinchilla,6e+18,18.7782,0.672476,0.695983,0.974084,0.873635,0.0639445,999,999
Chinchilla,1e+19,19,0.697715,0.749374,0.866499,0.668895,0.0595169,999,999
Chinchilla,3e+19,19.4771,0.725055,0.720678,0.758413,0.775165,0.0449228,999,999
Chinchilla,6e+19,19.7782,0.663265,0.66357,1.01539,1.014,0.0427112,999,999
Chinchilla,1e+20,20,0.754974,0.714641,0.649099,0.79861,0.0600033,999,999
Chinchilla,3e+20,20.4771,0.695264,0.674883,0.876604,0.963475,0.0618679,999,999
Chinchilla,6e+20,20.7782,0.549914,0.615302,1.63693,1.25044,0.0474395,999,999
Chinchilla,1e+21,21,0.609274,0.618241,1.2826,1.23498,0.0387456,999,999
Chinchilla,3e+21,21.4771,0.569379,0.594421,1.5126,1.36462,0.0543821,999,999
Chinchilla (132 runs),6e+18,18.7782,0.6735,0.69596,0.96956,0.873729,0.0621582,999,999
Chinchilla (132 runs),1e+19,19,0.698087,0.716515,0.864973,0.791289,0.0360528,999,999
Chinchilla (132 runs),3e+19,19.4771,0.772687,0.738178,0.58837,0.709374,0.051694,999,999
Chinchilla (132 runs),6e+19,19.7782,0.662163,0.663251,1.02041,1.01545,0.0395078,999,999
Chinchilla (132 runs),1e+20,20,0.753971,0.714359,0.652621,0.799713,0.0601495,999,999
Chinchilla (132 runs),3e+20,20.4771,0.694579,0.674748,0.879444,0.96407,0.0597325,999,999
Chinchilla (132 runs),6e+20,20.7782,0.664875,0.643919,1.00808,1.10598,0.0634195,999,999
Chinchilla (132 runs),1e+21,21,0.610691,0.618621,1.27498,1.233,0.0401266,999,999
Chinchilla (132 runs),3e+21,21.4771,0.574971,0.595718,1.47843,1.35729,0.0493267,999,999
