sample,models,families,developers,singleton_families,sd_n,sd_d,corr_nd,within_sd_n,within_sd_d,within_corr_nd,fams_with_D_variation,models_in_them,sd_logM_given_c,median_M,share_C_equals_6ND,date_min,date_max,n_exact_N,exact_over_reported_mean,exact_over_reported_sd
All dense base models,128,38,22,4,1.6676492984466336,1.4934904677460603,0.45635711584868277,1.2903026506537312,0.41666387419686407,0.34799668203618217,18,66,1.6357476518045693,213.44485561299007,1.0,2021-03,2024-07,86,0.025741781503536013,0.06334164826659253
"Overlap (N<=14B, D<=5T)",90,34,21,10,1.3142882150258568,1.4106262599644126,0.4520805542268727,1.0354910086968958,0.43534850401113756,0.3590801069260228,12,37,1.4161994086715202,297.2102481106669,1.0,2021-03,2024-07,55,0.029741027318843302,0.07235904811312477
