estimator,est,se,F,ar_lo,ar_hi,ar_type,n_obs,n_clusters,fs_coef,fs_se
IV: frontier FLOP/$,0.37449263194143967,0.09249736100276215,2.290369342083134,-1.0,2.5,unbounded,128,22,1.437447775007007,0.9498156346058261
IV: frontier FLOP/$ + developer FE,0.2200741099492447,0.11969341832550122,1.7190063663022122,-1.0,2.5,unbounded,128,22,1.65716227215133,1.2639395244495082
IV: frontier FLOP/$ + developer FE + trend,-11.497585631033871,234.4242464014861,0.001988101345789848,-1.0,2.5,unbounded,128,22,0.022871249907979507,0.512944809679773
IV: own-hardware FLOP/$,0.2762527030476709,0.08304721825371784,10.671748502942513,-0.05499999999999994,0.42500000000000004,interval,24,8,12.182148464787607,3.729117752322994
IV: China x post-export-control + dev FE + year FE,0.9531804350173161,0.4854611257303589,2.3581838411856193,0.41999999999999993,2.5,unbounded,128,22,-1.0751483736650105,0.7001314275577543
