period,n_clean,s_clean_ref,s_clean_ref_lo,s_clean_ref_hi,s_clean_labown,tech_min,tech_min_key,tech_max,tech_max_key,tech_median,n_tech,envelope_min,envelope_max
2023,24,0.2765747619447369,0.18810404181216706,0.3993579645758782,0.2727432333283492,0.007246671372526216,minicpm,0.5802231887213408,gadre_rw,0.21807419445901416,32,0.00689780357587165,0.6018185158291881
2024,40,0.5847245285923777,0.4660980615197284,0.6793413127541056,0.5552945350456888,0.053989183245384494,minicpm,0.7389192234802766,muen_q,0.5117994364476001,32,0.04283209890335048,0.8140259943124444
2025,13,0.8291467257178424,0.773109304991043,0.8721327901975464,0.8238572711071476,0.24037692695254803,marin_comma_a2,0.9555876690696404,muen_q,0.7684875852596136,32,0.20534503914947813,0.957602147121531
All 2019-2025,77,0.6575274933783338,0.5598258263894678,0.7356336966352088,0.6392482756710708,0.09953138428522519,olmo,0.8550458372858207,muen_q,0.5759293386527309,32,0.07315201101040986,0.8798552121568152
