u_n,u_d,a_true,a_isoflop_sim,a_isoflop_formula,a_param_Efixed,sigma_param_Efixed,a_param_Efree,sigma_param_Efree,E_param_Efree,sigma_true
0.003,-0.003,0.5126121076233184,0.48593759662435293,0.4871295064715781,0.49384946206707697,0.7382649122992738,0.4937050751781337,0.7386255630226776,1.815625642796534,0.7370283018867925
0.003,0.0,0.5126121076233184,0.499283298946157,0.49987080704744824,0.5021162614803227,0.7429511900081393,0.5051604806532558,0.7342008917374175,1.854238205013718,0.7370283018867925
0.0,-0.003,0.5126121076233184,0.4992832989844696,0.49987080704744824,0.5039046474706274,0.7327799747970188,0.5011635346800227,0.7414871589391208,1.7786290788803623,0.7370283018867925
0.003,0.003,0.5126121076233184,0.512612114195994,0.5126121076233184,0.5130816708407037,0.7471970906682524,0.5178481450615167,0.7291173705169334,1.8916577763156928,0.7370283018867925
-0.003,-0.003,0.5126121076233184,0.5126121141601463,0.5126121076233184,0.5122163774807453,0.7271733184450785,0.5079706513357845,0.7440407612911908,1.7412468871491469,0.7370283018867925
0.0,0.006,0.5126121076233184,0.5390868605208211,0.5380947087750588,0.5385716577246689,0.7436200189445391,0.5393009778980373,0.7260054014505029,1.8905459464119874,0.7370283018867925
0.01,-0.01,0.5126121076233184,0.4244016051547625,0.4276701037841839,0.4527289064243237,0.7361913019683135,0.45099952525952364,0.7386651160272134,1.8056140658880822,0.7370283018867925
