tech,year,n,C_total,multiple,multiple_lo,multiple_hi,multiple_trunc,multiple_trunc_lo,multiple_trunc_hi,median_w,T_total
chin,2019,1,4.6386183e+21,1.7380105143961542,1.3233714186083847,2.447795964132149,1.7380105143961542,1.3233714186083847,2.447795964132149,2.738010514396154,2687322459223.471
chin,2020,1,2e+21,1.010413954908171,0.7644168239654101,1.3977512695752734,1.010413954908171,0.7644168239654101,1.3977512695752734,2.010413954908171,673609303272.114
chin,2021,10,1.0678699790864e+23,0.6342592238447841,0.3782825834006377,1.0493415844900766,0.6470990182475305,0.4030418845090806,1.05820924589877,1.9284340238307474,20256511729957.848
chin,2022,21,1.58884167487836e+24,-0.3969367831098777,-0.5033492295890778,-0.22677477532369808,0.032302845388092374,0.017935485183758988,0.07203029228153911,1.0680192861353355,11617462942512.648
chin,2023,81,1.4077566432773893e+25,0.5258534502184868,0.1991733646057753,1.147693936107616,0.5406398639748532,0.2857374560482318,1.155294535407538,1.9978822725722232,417261679926729.1
chin,2024,95,1.2212499067743729e+26,1.1558943154728405,0.5961756451308786,2.2671206909827877,1.1558943154728405,0.6268236055191683,2.2671206909827877,3.6578917699623608,6976573285121595.0
chin,2025,58,9.233900535879168e+25,3.217455890630981,2.112138942314759,5.668306374796556,3.217455890630981,2.112138942314759,5.668306374796556,5.01242186237803,1.5634773883405452e+16
chin,2026,4,2.0311969177599927e+25,2.784504600492222,1.7552494862627537,5.095033249164115,2.784504600492222,1.7552494862627537,5.095033249164115,3.7741699032620355,816815624557797.4
chin,all,271,2.5055579893768978e+26,2.0022243092544447,1.2271079854503097,3.690776561387281,2.005782485353751,1.2512424943127838,3.6939906424991444,2.8609703365191614,2.388065937944654e+16
besi,2019,1,4.6386183e+21,1.7214779611147275,,,1.7214779611147275,,,2.7214779611147275,2661759724491.1543
besi,2020,1,2e+21,1.0005832608745227,,,1.0005832608745227,,,2.0005832608745227,667055507249.6819
besi,2021,10,1.0678699790864e+23,0.6238270473635728,,,0.6368158134701711,,,1.91630297579102,20057666358126.01
besi,2022,21,1.58884167487836e+24,-0.4013247279740858,,,0.031374220462290346,,,1.0603390707657585,11473080618173.61
besi,2023,81,1.4077566432773893e+25,0.5113144502713728,,,0.526286416749103,,,1.984858292159926,410990334551479.75
besi,2024,95,1.2212499067743729e+26,1.1299275097796577,,,1.1299275097796577,,,3.617099781005742,6884494752706703.0
besi,2025,58,9.233900535879168e+25,3.165452343743368,,,3.165452343743368,,,4.954632535075936,1.5415904762661104e+16
besi,2026,4,2.0311969177599927e+25,2.7351006215324603,,,2.7351006215324603,,,3.724170007510346,802923396501956.1
besi,all,271,2.5055579893768978e+26,1.9655478495897039,,,1.9691384510039383,,,2.829170724704199,2.3549172808629284e+16
hoff,2019,1,4.6386183e+21,0.9744796745812214,,,0.9744796745812214,,,1.9744796745812214,1506746417163.4995
hoff,2020,1,2e+21,0.5536814856366057,,,0.5536814856366057,,,1.5536814856366057,369120990424.4038
hoff,2021,10,1.0678699790864e+23,0.20485716794338532,,,0.2568137197446105,,,1.4149300567663017,11127236650772.137
hoff,2022,21,1.58884167487836e+24,-0.5368099033173642,,,0.01102701577980609,,,0.8135320200479889,5958519248286.759
hoff,2023,81,1.4077566432773893e+25,-0.001123962310368507,,,0.15896785766172128,,,1.3871646124724064,177444950450330.5
hoff,2024,95,1.2212499067743729e+26,0.2394354670792805,,,0.35541299778843194,,,2.2690285009511575,3242930573507740.5
hoff,2025,58,9.233900535879168e+25,1.2849835668562066,,,1.2849835668562066,,,2.7485446657437533,6977682056168187.0
hoff,2026,4,2.0311969177599927e+25,1.0185203821347963,,,1.0185203821347963,,,1.9982305221827492,312389948532113.6
hoff,all,271,2.5055579893768978e+26,0.6694799683539214,,,0.7385002527506752,,,1.8460713967750102,1.072940915196502e+16
farseer_emb,2019,1,4.6386183e+21,1.669051316127574,1.4022669216893369,1.9340072635594157,1.669051316127574,1.4022669216893369,1.9340072635594157,2.669051316127574,2580697326209.4834
farseer_emb,2020,1,2e+21,1.0514248284453607,0.8786424570383314,1.2187407031547255,1.0514248284453607,0.8786424570383314,1.2187407031547255,2.0514248284453607,700949885630.2405
farseer_emb,2021,10,1.0678699790864e+23,0.43848611998136117,0.28004410421762616,0.6240368065980533,0.47349932245441706,0.3571263780724481,0.6335916273617249,1.7351099591480308,19988983520780.72
farseer_emb,2022,21,1.58884167487836e+24,-0.5812763523951454,-0.675127504532374,-0.46497859837186095,0.02240035184027931,0.016458467748908797,0.030148429087192508,0.8560250285287444,11032045732999.998
farseer_emb,2023,81,1.4077566432773893e+25,0.021099931520729334,-0.18158073728291355,0.2832722514911837,0.22731887480258522,0.14756825849339922,0.3591883850273907,1.6465065044777984,266752976157478.3
farseer_emb,2024,95,1.2212499067743729e+26,0.24701274160782655,-0.04009726312135216,0.6116680787816051,0.43310958929473053,0.26711721209538297,0.6558398148469915,2.806620020474501,4945741067960410.0
farseer_emb,2025,58,9.233900535879168e+25,1.6174608975201554,1.1162516983119923,2.202208846950254,1.6174608975201554,1.1235541560612554,2.202208846950254,3.332683678771804,1.0208922478373494e+16
farseer_emb,2026,4,2.0311969177599927e+25,1.1367454479764239,0.6486643344097555,1.7149468275964894,1.1367454479764239,0.6486643344097555,1.7149468275964894,2.0905160342221265,366801295077086.25
farseer_emb,all,271,2.5055579893768978e+26,0.8063706677750822,0.43824922470733646,1.246894223332652,0.9125067956794515,0.6031476153942237,1.2904133737634733,2.080011704121807,1.582252049403409e+16
gadre_rw,2019,1,4.6386183e+21,2.4476861528296636,1.0320264799889731,3.8841982299552926,2.4476861528296636,1.0320264799889731,3.8841982299552926,3.4476861528296636,3784627260390.7583
gadre_rw,2020,1,2e+21,1.7018217454208218,0.6667916526950555,2.561468804213391,1.7018217454208218,0.6667916526950555,2.561468804213391,2.7018217454208218,1134547830280.548
gadre_rw,2021,10,1.0678699790864e+23,1.418146995183893,0.36672362948966386,2.583698284693855,1.418146995183893,0.37603393053832007,2.583698284693855,2.733748086485448,28864416777722.42
gadre_rw,2022,21,1.58884167487836e+24,0.2548515735950986,-0.3631359884686992,0.9942711592248512,0.2548515735950986,0.018182304983902983,0.9942711592248512,1.876792784956526,23430162581608.9
gadre_rw,2023,81,1.4077566432773893e+25,1.523503106961659,0.19407509097210607,3.539480213935627,1.523503106961659,0.2453519027608987,3.539480213935627,2.905444771700198,709254622760508.0
gadre_rw,2024,95,1.2212499067743729e+26,2.410408880043597,0.43010570748710747,5.748970187736509,2.410408880043597,0.4494088948690453,5.748970187736509,4.6148972504255195,8337055340544931.0
gadre_rw,2025,58,9.233900535879168e+25,4.478341391978982,1.3458769365323564,9.640338484730439,4.478341391978982,1.3458769365323564,9.640338484730439,5.950178459223339,1.7643946011236084e+16
gadre_rw,2026,4,2.0311969177599927e+25,4.26887016772361,1.1689505825224105,9.394637687103506,4.26887016772361,1.1689505825224105,9.394637687103506,5.291503316223924,1207788011107248.5
gadre_rw,all,271,2.5055579893768978e+26,3.2592510199891715,0.8253335551380024,7.169123972970457,3.2592510199891715,0.8280287385699457,7.169123972970457,3.885780241112719,2.7955257740098776e+16
meta_a2,2019,1,4.6386183e+21,1.1500092856307167,0.85263167509638,1.3260780081481607,1.1500092856307167,0.85263167509638,1.3260780081481607,2.1500092856307167,1778151372498.8564
meta_a2,2020,1,2e+21,0.7361260330498081,0.554060521819278,0.8654760347169155,0.7361260330498081,0.554060521819278,0.8654760347169155,1.736126033049808,490750688699.8721
