sample,scheme,kappa_huber,a1_huber,b1_huber,E_huber,lnA_huber,lnB_huber,gamma_path_huber,a_path_huber,sigma_star_huber,se_kappa,z_kappa1,p_kappa1,ci_lo,ci_hi,se_sigma_star_gen,kappa_gauss,sigma_star_gauss,LR_gauss,p_LR_gauss,qLR_laplace,sigma_star_kappa1,B
n240,pairs,0.7738708382573869,0.4242726607468513,0.4309173006470277,1.757149077691619,7.741635755685286,9.214466348215746,0.16544165483729295,0.5038848911938503,0.7004787867156893,0.059685852981867335,-3.7886559451753423,0.0001514645044843363,0.6628136932674011,0.885116059436061,0.015280406887016807,0.7370081902003665,0.6804963629597038,46.1633014660069,1.0879586932615878e-11,31.201823491013307,0.736788570448849,300
n240,cluster,0.7738708382573869,0.4242726607468513,0.4309173006470277,1.757149077691619,7.741635755685286,9.214466348215746,0.16544165483729295,0.5038848911938503,0.7004787867156893,0.11129214877315124,-2.031851880257395,0.04216865321619082,0.53132521097303,0.9602043240865764,0.01770936801987096,0.7370081902003665,0.6804963629597038,46.1633014660069,1.0879586932615878e-11,31.201823491013307,0.736788570448849,300
n245,pairs,0.7000138185291698,0.4651553812659837,0.5475626678531506,1.8046404374188978,8.528504031820722,11.770514703718119,0.17605564039351917,0.5406861942763067,0.66385236434082,0.05220641536421966,-5.746155513225097,9.129534703463017e-09,0.6174477071744652,0.8217507054284037,0.017522066905334508,0.7983744935189938,0.6366574679341399,6.935280011284466,0.008451183147519135,45.676474293122155,0.7136836231685306,300
n245,cluster,0.7000138185291698,0.4651553812659837,0.5475626678531506,1.8046404374188978,8.528504031820722,11.770514703718119,0.17605564039351917,0.5406861942763067,0.66385236434082,0.16861399357241674,-1.7791298047987425,0.07521848330657055,0.5614015798877409,1.240588309943402,0.02839643441942481,0.7983744935189938,0.6366574679341399,6.935280011284466,0.008451183147519135,45.676474293122155,0.7136836231685306,300
